"census_id","HR_code","census_type"
"48061029",4832,"DA"
"48061025",4832,"DA"
"48061133",4832,"DA"
"48061019",4832,"DA"
"48060983",4832,"DA"
"48061136",4832,"DA"
"48061023",4832,"DA"
"48061173",4832,"DA"
"48061020",4832,"DA"
"48060985",4832,"DA"
"48061021",4832,"DA"
"48061011",4832,"DA"
"48061141",4832,"DA"
"48061170",4832,"DA"
"48061138",4832,"DA"
"48061169",4832,"DA"
"48060921",4832,"DA"
"48061139",4832,"DA"
"48060986",4832,"DA"
"48060990",4832,"DA"
"48061010",4832,"DA"
"48060991",4832,"DA"
"48060992",4832,"DA"
"48061022",4832,"DA"
"48061009",4832,"DA"
"48060922",4832,"DA"
"48060988",4832,"DA"
"48050195",4832,"DA"
"48061171",4832,"DA"
"48060994",4832,"DA"
"48061168",4832,"DA"
"48060919",4832,"DA"
"48060995",4832,"DA"
"48061167",4832,"DA"
"48060920",4832,"DA"
"48061142",4832,"DA"
"48061143",4832,"DA"
"48060989",4832,"DA"
"48061008",4832,"DA"
"48061140",4832,"DA"
"48061975",4832,"DA"
"48060916",4832,"DA"
"48061006",4832,"DA"
"48061165",4832,"DA"
"48061179",4832,"DA"
"48060915",4832,"DA"
"48061005",4832,"DA"
"48060996",4832,"DA"
"48060906",4832,"DA"
"48060917",4832,"DA"
"48060997",4832,"DA"
"48061007",4832,"DA"
"48061178",4832,"DA"
"48060914",4832,"DA"
"48061164",4832,"DA"
"48060998",4832,"DA"
"48060999",4832,"DA"
"48060912",4832,"DA"
"48061176",4832,"DA"
"48061000",4832,"DA"
"48062028",4832,"DA"
"48062026",4832,"DA"
"48060909",4832,"DA"
"48061159",4832,"DA"
"48062030",4832,"DA"
"48061976",4832,"DA"
"48062029",4832,"DA"
"48061181",4832,"DA"
"48061162",4832,"DA"
"48062031",4832,"DA"
"48061156",4832,"DA"
"48061153",4832,"DA"
"48061155",4832,"DA"
"48061182",4832,"DA"
"48061154",4832,"DA"
"48061157",4832,"DA"
"48061183",4832,"DA"
"48061188",4832,"DA"
"48061180",4832,"DA"
"48061150",4832,"DA"
"48061585",4832,"DA"
"48061186",4832,"DA"
"48061185",4832,"DA"
"48061967",4832,"DA"
"48061187",4832,"DA"
"48061586",4832,"DA"
"48061191",4832,"DA"
"48061193",4832,"DA"
"48061972",4832,"DA"
"48061190",4832,"DA"
"48061973",4832,"DA"
"48061960",4832,"DA"
"48061970",4832,"DA"
"48061968",4832,"DA"
"48061974",4832,"DA"
"48061969",4832,"DA"
"48061650",4832,"DA"
"48061108",4832,"DA"
"48062008",4832,"DA"
"48061035",4832,"DA"
"48061718",4832,"DA"
"48062022",4832,"DA"
"48061753",4832,"DA"
"48061752",4832,"DA"
"48062020",4832,"DA"
"48062021",4832,"DA"
"48061755",4832,"DA"
"48061756",4832,"DA"
"48061757",4832,"DA"
"48061748",4832,"DA"
"48061749",4832,"DA"
"48061746",4832,"DA"
"48062105",4832,"DA"
"48062017",4832,"DA"
"48062018",4832,"DA"
"48062023",4832,"DA"
"48062024",4832,"DA"
"48050167",4832,"DA"
"48050226",4832,"DA"
"48050168",4832,"DA"
"48030095",4832,"DA"
"48030093",4832,"DA"
"48030094",4832,"DA"
"48050210",4832,"DA"
"48050211",4832,"DA"
"48050204",4832,"DA"
"48050209",4832,"DA"
"48050208",4832,"DA"
"48050199",4832,"DA"
"48050198",4832,"DA"
"48061907",4832,"DA"
"48030105",4832,"DA"
"48050218",4832,"DA"
"48050219",4832,"DA"
"48050212",4832,"DA"
"48050220",4832,"DA"
"48030092",4832,"DA"
"48030091",4832,"DA"
"48030097",4832,"DA"
"48030096",4832,"DA"
"48030099",4832,"DA"
"48030098",4832,"DA"
"48030101",4832,"DA"
"48030102",4832,"DA"
"48062058",4832,"DA"
"48062060",4832,"DA"
"48062059",4832,"DA"
"48062061",4832,"DA"
"48050217",4832,"DA"
"48030090",4832,"DA"
"48030087",4832,"DA"
"48030088",4832,"DA"
"48030089",4832,"DA"
"48050215",4832,"DA"
"48050213",4832,"DA"
"48050214",4832,"DA"
"48050216",4832,"DA"
"48050202",4832,"DA"
"48050207",4832,"DA"
"48050206",4832,"DA"
"48050205",4832,"DA"
"48050200",4832,"DA"
"48061933",4832,"DA"
"48061939",4832,"DA"
"48061932",4832,"DA"
"48061914",4832,"DA"
"48061930",4832,"DA"
"48061935",4832,"DA"
"48061934",4832,"DA"
"48061937",4832,"DA"
"48061936",4832,"DA"
"48061929",4832,"DA"
"48061926",4832,"DA"
"48062035",4832,"DA"
"48062034",4832,"DA"
"48061921",4832,"DA"
"48061918",4832,"DA"
"48061919",4832,"DA"
"48061924",4832,"DA"
"48061923",4832,"DA"
"48061915",4832,"DA"
"48062063",4832,"DA"
"48062036",4832,"DA"
"48062051",4832,"DA"
"48062048",4832,"DA"
"48062037",4832,"DA"
"48062046",4832,"DA"
"48062047",4832,"DA"
"48062056",4832,"DA"
"48062054",4832,"DA"
"48062045",4832,"DA"
"48062044",4832,"DA"
"48062053",4832,"DA"
"48062057",4832,"DA"
"48062055",4832,"DA"
"48062052",4832,"DA"
"48062062",4832,"DA"
"48062043",4832,"DA"
"48062041",4832,"DA"
"48062042",4832,"DA"
"48061212",4832,"DA"
"48061203",4832,"DA"
"48061961",4832,"DA"
"48061234",4832,"DA"
"48061233",4832,"DA"
"48061235",4832,"DA"
"48061615",4832,"DA"
"48061616",4832,"DA"
"48061236",4832,"DA"
"48061237",4832,"DA"
"48061962",4832,"DA"
"48061241",4832,"DA"
"48061653",4832,"DA"
"48061620",4832,"DA"
"48061619",4832,"DA"
"48061952",4832,"DA"
"48061945",4832,"DA"
"48061951",4832,"DA"
"48061397",4832,"DA"
"48061946",4832,"DA"
"48061963",4832,"DA"
"48061950",4832,"DA"
"48061948",4832,"DA"
"48061947",4832,"DA"
"48061391",4832,"DA"
"48061392",4832,"DA"
"48061965",4832,"DA"
"48061390",4832,"DA"
"48061393",4832,"DA"
"48062032",4832,"DA"
"48061942",4832,"DA"
"48061941",4832,"DA"
"48062033",4832,"DA"
"48050196",4832,"DA"
"48061938",4832,"DA"
"48050173",4832,"DA"
"48050197",4832,"DA"
"48050169",4832,"DA"
"48050172",4832,"DA"
"48050171",4832,"DA"
"48050170",4832,"DA"
"48050203",4832,"DA"
"48061910",4832,"DA"
"48061909",4832,"DA"
"48061908",4832,"DA"
"48061903",4832,"DA"
"48061902",4832,"DA"
"48061913",4832,"DA"
"48062085",4832,"DA"
"48061904",4832,"DA"
"48062088",4832,"DA"
"48061905",4832,"DA"
"48061906",4832,"DA"
"48062086",4832,"DA"
"48062087",4832,"DA"
"48061912",4832,"DA"
"48061911",4832,"DA"
"48150115",4832,"DA"
"48061898",4832,"DA"
"48061901",4832,"DA"
"48061896",4832,"DA"
"48061897",4832,"DA"
"48061895",4832,"DA"
"48061900",4832,"DA"
"48061894",4832,"DA"
"48061856",4832,"DA"
"48061863",4832,"DA"
"48060728",4832,"DA"
"48060733",4832,"DA"
"48060730",4832,"DA"
"48060735",4832,"DA"
"48060731",4832,"DA"
"48060734",4832,"DA"
"48060732",4832,"DA"
"48060738",4832,"DA"
"48060736",4832,"DA"
"48060767",4832,"DA"
"48060737",4832,"DA"
"48060552",4832,"DA"
"48060551",4832,"DA"
"48060553",4832,"DA"
"48060554",4832,"DA"
"48060550",4832,"DA"
"48060817",4832,"DA"
"48060562",4832,"DA"
"48060549",4832,"DA"
"48061478",4832,"DA"
"48060548",4832,"DA"
"48061483",4832,"DA"
"48060547",4832,"DA"
"48060545",4832,"DA"
"48061479",4832,"DA"
"48061474",4832,"DA"
