"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"4590011.00",2085.00,2075.00,230.00,1845.00,0.00,2085.00,2025.00,55.00,0.00,1900.00,660.00,375.00,860.00,1020.00,740.00,55.00,45.00,120.00,35.00,0.00,1895.00,1110.00,1045.00,65.00,790.00,2085.00,230.00,1535.00,325.00,650.00,55.00,505.00,90.00,1255.00,355.00,900.00,0.00
"4590012.00",1440.00,1415.00,145.00,1270.00,25.00,1440.00,1395.00,45.00,0.00,1315.00,395.00,390.00,530.00,640.00,490.00,0.00,60.00,40.00,40.00,0.00,1315.00,750.00,675.00,75.00,570.00,1440.00,155.00,875.00,405.00,335.00,25.00,200.00,110.00,830.00,380.00,455.00,0.00
"4590013.00",3950.00,3905.00,660.00,3240.00,40.00,3950.00,3760.00,180.00,0.00,3400.00,625.00,850.00,1920.00,1910.00,1580.00,100.00,80.00,85.00,25.00,30.00,3400.00,2115.00,1995.00,120.00,1285.00,3945.00,670.00,2380.00,900.00,515.00,115.00,295.00,105.00,1700.00,1220.00,480.00,0.00
"4590014.00",3250.00,3185.00,345.00,2840.00,65.00,3250.00,3080.00,165.00,0.00,3020.00,885.00,710.00,1425.00,1440.00,1090.00,45.00,115.00,140.00,0.00,0.00,3020.00,1590.00,1515.00,75.00,1430.00,3250.00,360.00,1870.00,1025.00,555.00,90.00,250.00,215.00,1795.00,740.00,1050.00,0.00
"4590015.00",4670.00,4610.00,500.00,4110.00,60.00,4670.00,4515.00,155.00,0.00,4285.00,1510.00,980.00,1795.00,2120.00,1535.00,70.00,185.00,320.00,0.00,0.00,4285.00,2320.00,2195.00,125.00,1970.00,4670.00,500.00,2935.00,1230.00,1465.00,205.00,855.00,405.00,2900.00,290.00,2605.00,0.00
"4590100.00",1940.00,1925.00,510.00,1415.00,0.00,1940.00,1850.00,85.00,0.00,1490.00,255.00,360.00,875.00,985.00,880.00,25.00,50.00,0.00,0.00,25.00,1490.00,1165.00,1095.00,70.00,325.00,1940.00,520.00,1270.00,150.00,125.00,20.00,80.00,25.00,665.00,620.00,45.00,0.00
"4590101.00",1025.00,1025.00,205.00,820.00,0.00,1025.00,985.00,40.00,0.00,860.00,115.00,210.00,540.00,535.00,480.00,0.00,25.00,0.00,0.00,0.00,860.00,600.00,560.00,40.00,260.00,1025.00,205.00,685.00,135.00,40.00,0.00,35.00,0.00,380.00,340.00,45.00,0.00
"4590102.00",1045.00,1045.00,245.00,805.00,0.00,1050.00,1030.00,20.00,0.00,840.00,140.00,250.00,445.00,545.00,495.00,0.00,15.00,20.00,0.00,0.00,840.00,660.00,645.00,0.00,185.00,1045.00,245.00,720.00,85.00,90.00,0.00,65.00,15.00,395.00,380.00,0.00,0.00
"4590103.00",1725.00,1720.00,290.00,1430.00,0.00,1725.00,1715.00,0.00,0.00,1510.00,440.00,340.00,725.00,895.00,785.00,40.00,40.00,0.00,0.00,15.00,1505.00,1000.00,945.00,55.00,510.00,1720.00,295.00,1215.00,220.00,125.00,20.00,45.00,60.00,710.00,665.00,40.00,0.00
"4590200.00",5690.00,5645.00,1505.00,4140.00,45.00,5695.00,5480.00,205.00,0.00,4460.00,730.00,1130.00,2600.00,3140.00,2685.00,110.00,225.00,85.00,0.00,25.00,4455.00,3385.00,3295.00,90.00,1075.00,5690.00,1520.00,3780.00,400.00,475.00,185.00,280.00,0.00,2110.00,1705.00,405.00,0.00
