"","census_id","CLSC_code","census_type"
"5945","2456097","16122","CSD"
"5951","2456105","05111","CSD"
"5958","2457005","16121","CSD"
"5996","2457010","16121","CSD"
"6015","2457020","16221","CSD"
"6039","2457025","16221","CSD"
"6048","2457030","16221","CSD"
"6065","2457033","16221","CSD"
"6073","2457035","16221","CSD"
"6099","2457040","16221","CSD"
"6137","2457045","16221","CSD"
"6143","2457050","16221","CSD"
"6146","2457057","16221","CSD"
"6150","2457068","16221","CSD"
"6159","2457075","16221","CSD"
"6163","2458007","16111","CSD"
"6298","2458012","16111","CSD"
"6346","2458033","16213","CSD"
"6428","2458037","16221","CSD"
"8625","2466007","06523","CSD"
"12000","2466032","06225","CSD"
"12042","2466047","06212","CSD"
"12055","2466058","06211","CSD"
"12122","2466062","06211","CSD"
"12144","2466072","06222","CSD"
"12197","2466087","06121","CSD"
"12233","2466092","06121","CSD"
"12234","2466097","06111","CSD"
"12292","2466102","06111","CSD"
"12336","2466107","06111","CSD"
"12373","2466112","06111","CSD"
"12380","2466117","06111","CSD"
"12389","2466127","06111","CSD"
"12414","2466142","06113","CSD"
"12496","2467005","16342","CSD"
"12502","2467010","16342","CSD"
"12517","2467015","16342","CSD"
"12550","2467020","16342","CSD"
"12578","2467025","16342","CSD"
"12591","2467030","16342","CSD"
"12618","2467035","16342","CSD"
"12662","2467040","16341","CSD"
"12669","2467045","16341","CSD"
"12684","2467050","16341","CSD"
"12764","2467055","16341","CSD"
"12768","2467802","16341","CSD"
"12912","2470005","16341","CSD"
"12920","2470012","16341","CSD"
"12928","2470022","16321","CSD"
"12952","2470030","16321","CSD"
"12955","2470035","16321","CSD"
"12960","2470040","16321","CSD"
"12967","2470052","16321","CSD"
"14254","2480005","07152","CSD"
"14255","2480010","07152","CSD"
"14257","2480015","07152","CSD"
"14259","2480020","07152","CSD"
"14261","2480027","07152","CSD"
"14268","2480037","07152","CSD"
"14273","2480045","07152","CSD"
"14275","2480050","07151","CSD"
"14280","2480055","07151","CSD"
"14282","2480060","07151","CSD"
"14283","2480065","07151","CSD"
"14286","2480070","07152","CSD"
"14288","2480078","07152","CSD"
"14291","2480085","07151","CSD"
"14294","2480090","07152","CSD"
"14295","2480095","07152","CSD"
"14296","2480103","07152","CSD"
"14297","2480110","07152","CSD"
"14298","2480115","07152","CSD"
"14301","2480125","07152","CSD"
"14302","2480130","07152","CSD"
"14305","2480135","07152","CSD"
"14308","2480140","07151","CSD"
"14312","2480145","07151","CSD"
"14752","2482005","07151","CSD"
"14758","2482010","07151","CSD"
"14784","2482020","07131","CSD"
"14801","2482025","07131","CSD"
"14818","2482030","07111","CSD"
"14839","2482035","07131","CSD"
"14961","2485005","08152","CSD"
"14968","2485010","08152","CSD"
"14969","2485015","08151","CSD"
"14970","2485020","08151","CSD"
"14972","2485025","08151","CSD"
"14978","2485030","08151","CSD"
"14979","2485037","08151","CSD"
"14982","2485045","08151","CSD"
"14984","2485050","08151","CSD"
"14985","2485055","08151","CSD"
"14986","2485060","08151","CSD"
"14987","2485065","08151","CSD"
"14988","2485070","08151","CSD"
"14989","2485075","08151","CSD"
"14990","2485080","08151","CSD"
"14991","2485085","08151","CSD"
"14992","2485090","08151","CSD"
"14996","2485095","08151","CSD"
"14998","2485100","08151","CSD"
"15000","2485105","08151","CSD"
"15001","2485802","08152","CSD"
"15002","2485803","08151","CSD"
"15003","2485804","08151","CSD"
"15004","2485806","08151","CSD"
"15010","2485905","08151","CSD"
"15015","2485907","08151","CSD"
"15515","2493005","02131","CSD"
"15518","2493012","02131","CSD"
"15526","2493020","02131","CSD"
"15533","2493025","02131","CSD"
"15537","2493030","02131","CSD"
"15544","2493035","02131","CSD"
"15548","2493042","02131","CSD"
"15604","2493045","02131","CSD"
"15610","2493055","02131","CSD"
"15615","2493060","02131","CSD"
"15619","2493065","02131","CSD"
"15623","2493070","02131","CSD"
"15628","2493075","02131","CSD"
"15630","2493080","02121","CSD"
"15631","2493902","02131","CSD"
"15635","2493904","02131","CSD"
"15640","2493906","02131","CSD"
"15644","2493908","02131","CSD"
"15946","2494205","02161","CSD"
"15952","2494210","02161","CSD"
"15954","2494215","02161","CSD"
"15956","2494220","02161","CSD"
"15958","2494225","02161","CSD"
"15959","2494230","02151","CSD"
"15961","2494235","02151","CSD"
"15968","2494240","02151","CSD"
"15976","2494245","02151","CSD"
"15981","2494250","02141","CSD"
"15985","2494255","02141","CSD"
"15993","2494260","02141","CSD"
"15996","2494265","02141","CSD"
"15998","2494926","02161","CSD"
"16000","2494928","02141","CSD"
"16007","2494930","02151","CSD"
"16015","2495005","09121","CSD"
"16020","2495010","09121","CSD"
"16026","2495018","09121","CSD"
"16028","2495025","09121","CSD"
"16034","2495032","09122","CSD"
"16037","2495040","09122","CSD"
"16039","2495045","09122","CSD"
"16046","2495050","09122","CSD"
"16049","2495802","09121","CSD"
"16052","2495902","09122","CSD"
"16173","2497022","09131","CSD"
"16187","2497035","09111","CSD"
"16193","2497040","09111","CSD"
"16194","2497802","09141","CSD"
"16197","2497804","09141","CSD"
"16200","2497806","09171","CSD"
"16201","2497808","09111","CSD"
"16202","2497810","09111","CSD"
"16203","2497902","09131","CSD"
"16208","2497904","09131","CSD"
"16211","2497906","09111","CSD"
"16214","2497908","09111","CSD"
"16215","2497912","09111","CSD"
"16216","2497914","09111","CSD"
"16219","2498005","09161","CSD"
"16222","2498010","09161","CSD"
"16225","2498012","09161","CSD"
"16227","2498014","09161","CSD"
"16230","2498015","09161","CSD"
"16232","2498020","09151","CSD"
"16233","2498025","09151","CSD"
"16235","2498030","09151","CSD"
"16236","2498035","09151","CSD"
"16237","2498040","09151","CSD"
"16244","2498045","09151","CSD"
"16245","2498050","09151","CSD"
"16247","2498055","09151","CSD"
"16248","2498802","09161","CSD"
"16249","2498804","09161","CSD"
"16252","2498806","09151","CSD"
"16253","2498808","09151","CSD"
"16256","2498904","09151","CSD"
"16257","2498912","09151","CSD"
"16259","2499005","10013","CSD"
"16266","2499010","18011","CSD"
"16267","2499015","10012","CSD"
"16272","2499020","10014","CSD"
"16279","2499025","10014","CSD"
"16297","2499030","18011","CSD"
"16301","2499035","18011","CSD"
"16304","2499040","18011","CSD"
"16307","2499045","18011","CSD"
"16310","2499050","18011","CSD"
"16313","2499055","18011","CSD"
"16325","2499060","10011","CSD"
"16336","2499065","09171","CSD"
"16341","2499070","18011","CSD"
"16344","2499075","17011","CSD"
"16346","2499080","17011","CSD"
"16347","2499085","17011","CSD"
"16348","2499090","17012","CSD"
"16349","2499095","17012","CSD"
"16352","2499100","17012","CSD"
"16353","2499105","17012","CSD"
"16354","2499110","17012","CSD"
"16355","2499115","17012","CSD"
"16356","2499120","17011","CSD"
"16357","2499125","17011","CSD"
"16358","2499130","17012","CSD"
"16360","2499135","17011","CSD"
"16361","2499140","17011","CSD"
"16370","2499804","18011","CSD"
"16379","2499806","18011","CSD"
"16383","2499808","18011","CSD"
"16385","2499810","18011","CSD"
"16387","2499812","18011","CSD"
"16389","2499814","18011","CSD"
"16392","2499816","18011","CSD"
"16394","2499818","18011","CSD"
"16395","2499877","17011","CSD"
"16399","2499878","17011","CSD"
"16400","2499879","17011","CSD"
"16401","2499883","17011","CSD"
"16402","2499887","17011","CSD"
"16403","2499888","17012","CSD"
"16405","2499889","17012","CSD"
"16406","2499890","17012","CSD"
"16408","2499891","17012","CSD"
"16411","2499892","17012","CSD"
"16413","2499893","17012","CSD"
"16416","2499894","17012","CSD"
"16423","2499902","17012","CSD"
"16425","2499904","17011","CSD"
"5565","4080001.00","02151","CT"
"5574","4080002.01","02151","CT"
"5580","4080002.02","02151","CT"
"5590","4080003.01","02151","CT"
"5598","4080003.02","02151","CT"
"5604","4080004.00","02151","CT"
"5612","4080005.00","02151","CT"
"5619","4080006.00","02151","CT"
"5627","4080007.00","02151","CT"
"5634","4080008.00","02151","CT"
"56431","4080100.00","02141","CT"
"5652","4080101.00","02141","CT"
"5663","4080102.00","02141","CT"
"56691","4080103.00","02141","CT"
"5681","4080104.00","02141","CT"
"5695","4080105.00","02141","CT"
"5702","4080106.00","02141","CT"
"5709","4080107.02","02141","CT"
"57161","4080107.03","02141","CT"
"57301","4080107.04","02141","CT"
"5733","4080108.00","02141","CT"
"5738","4080109.00","02141","CT"
"57421","4080110.00","02141","CT"
"5753","4080120.01","02141","CT"
"57601","4080130.00","02151","CT"
"5768","4080131.00","02151","CT"
"5776","4080132.00","02151","CT"
"5783","4080133.00","02151","CT"
"5792","4080140.00","02151","CT"
"5804","4080150.00","02151","CT"
"5815","4080160.00","02161","CT"
"5830","4080161.00","02161","CT"
"5835","4080162.00","02161","CT"
"5849","4080163.00","02161","CT"
"5874","4210001.01","03124","CT"
"5887","4210001.02","03124","CT"
"5896","4210002.00","03125","CT"
"5902","4210003.00","03124","CT"
"5920","4210004.00","03125","CT"
"5921","4210005.00","03124","CT"
"5929","4210006.00","03124","CT"
"5939","4210007.00","03125","CT"
"5944","4210008.00","03125","CT"
"5946","4210009.00","03125","CT"
"59511","4210010.00","03125","CT"
"5956","4210011.00","03125","CT"
"5959","4210012.00","03125","CT"
"5965","4210013.00","03125","CT"
"5967","4210014.00","03124","CT"
"5970","4210015.00","03124","CT"
"5978","4210016.00","03124","CT"
