2006 Profile of Census - Canada, provinces, territories / Cumulative Profiles

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59","COL60","COL61","COL62","COL63","COL64","COL65","COL66","COL67","COL68","COL69","COL70","COL71","COL72","COL73","COL74","COL75","COL76","COL77","COL78","COL79","COL80","COL81","COL82","COL83","COL84","COL85","COL86","COL87","COL88","COL89","COL90","COL91","COL92"

01,31612895.00,15475970.00,864600.00,926860.00,1065860.00,1095285.00,211475.00,1047950.00,975940.00,987715.00,1083500.00,1285535.00,1290130.00,1158970.00,1026395.00,780135.00,593810.00,493465.00,386485.00,251420.00,161925.00,16136930.00,825940.00,882515.00,1014060.00,1045210.00,204345.00,1032435.00,1009635.00,1032510.00,1124775.00,1324925.00,1330470.00,1198330.00,1058225.00,809730.00,640770.00,560325.00,493095.00,395285.00,358685.00,12437465.00,8509785.00,3878500.00,49185.00,12437470.00,8421050.00,230285.00,3786135.00,31241030.00,21129945.00,4141850.00,5448850.00,520385.00,31241030.00,29480160.00,6604285.00,22875880.00,1760865.00,31241030.00,24788720.00,6186950.00,265360.00,25664220.00,17146135.00,16021180.00,1124955.00,8518090.00,14714260.00,10644330.00,1133150.00,1622725.00,939290.00,195510.00,20085.00,32235.00,126925.00,4207810.00,1679020.00,2528790.00,17382115.00,2683510.00,14698605.00,4074295.00,1735800.00,2338500.00,8680270.00,8.40,30628935.00,11.40,1972050.00,14.50
10,505465.00,245730.00,11655.00,13240.00,15135.00,17360.00,3265.00,15300.00,13040.00,14605.00,17345.00,20080.00,20815.00,21130.00,19535.00,14895.00,11000.00,8460.00,5965.00,3850.00,2320.00,259735.00,11215.00,12665.00,14320.00,16745.00,3295.00,15895.00,14385.00,16340.00,19190.00,21585.00,21955.00,21670.00,19840.00,15265.00,11150.00,9065.00,7540.00,5580.00,5330.00,197185.00,155195.00,41670.00,320.00,197180.00,148430.00,3605.00,45150.00,500610.00,475990.00,90.00,23680.00,855.00,500605.00,496705.00,98585.00,398115.00,3905.00,500610.00,490855.00,8380.00,1370.00,422385.00,248680.00,202525.00,46150.00,173705.00,190380.00,140370.00,23930.00,3665.00,14635.00,540.00,110.00,920.00,6205.00,65360.00,28820.00,36540.00,290830.00,74635.00,216200.00,66195.00,38115.00,28075.00,153415.00,8.20,497395.00,10.10,27525.00,14.80
11,135855.00,65595.00,3370.00,4065.00,4825.00,5000.00,945.00,4185.00,3500.00,3750.00,4210.00,5145.00,5210.00,5010.00,4905.00,3655.00,2875.00,2340.00,1665.00,1115.00,770.00,70255.00,3320.00,3855.00,4550.00,4940.00,990.00,4400.00,3865.00,4090.00,4515.00,5555.00,5660.00,5195.00,5135.00,3745.00,2955.00,2645.00,2100.00,1805.00,1925.00,53135.00,39360.00,13715.00,60.00,53130.00,37990.00,590.00,14555.00,134205.00,116990.00,60.00,17100.00,55.00,134205.00,132215.00,29665.00,102550.00,1990.00,134205.00,129155.00,4785.00,270.00,110205.00,75210.00,66855.00,8350.00,34995.00,61410.00,48910.00,6815.00,305.00,4045.00,445.00,55.00,265.00,560.00,18545.00,7460.00,11085.00,72815.00,13590.00,59225.00,18845.00,8185.00,10660.00,38960.00,4.80,132875.00,7.00,8010.00,9.60
12,913465.00,439830.00,21295.00,24645.00,28560.00,31190.00,6020.00,28055.00,23910.00,25870.00,29300.00,36670.00,37410.00,34760.00,33280.00,25475.00,19395.00,15570.00,11340.00,7545.00,5560.00,473630.00,20745.00,23500.00,27685.00,30245.00,5990.00,28720.00,26685.00,28765.00,31635.00,39055.00,39800.00,36945.00,34600.00,26450.00,20755.00,17575.00,15095.00,12325.00,13050.00,376845.00,271155.00,103870.00,1815.00,376840.00,257570.00,4885.00,114390.00,903090.00,805690.00,1000.00,95015.00,1385.00,903090.00,887990.00,182285.00,705710.00,15095.00,903090.00,854495.00,45195.00,3400.00,756595.00,476125.00,432595.00,43530.00,280470.00,402955.00,293220.00,43705.00,23965.00,33020.00,2625.00,500.00,1695.00,4220.00,117770.00,51165.00,66610.00,507750.00,94275.00,413470.00,131075.00,57330.00,73745.00,263995.00,7.00,891010.00,9.60,49905.00,13.50
13,729995.00,355495.00,17555.00,20065.00,23035.00,24460.00,4740.00,22310.00,20280.00,22015.00,24090.00,29355.00,30105.00,28640.00,27005.00,20085.00,15325.00,11860.00,8765.00,6280.00,4255.00,374495.00,16875.00,18810.00,21910.00,23240.00,4435.00,22315.00,21525.00,23675.00,25325.00,30680.00,31330.00,29995.00,27435.00,20240.00,15955.00,13700.00,11720.00,9920.00,9850.00,295960.00,223370.00,71235.00,1350.00,295960.00,209125.00,4270.00,82560.00,719650.00,405045.00,73750.00,240085.00,765.00,719650.00,708465.00,146270.00,562190.00,11185.00,719650.00,690695.00,26395.00,2560.00,601425.00,382965.00,344770.00,38195.00,218455.00,323070.00,251625.00,36090.00,6365.00,21385.00,2110.00,450.00,2015.00,3020.00,91990.00,38615.00,53375.00,408210.00,85650.00,322565.00,101220.00,52390.00,48825.00,213965.00,7.30,709060.00,9.30,40690.00,13.60
24,7546130.00,3687695.00,191565.00,203985.00,243600.00,242185.00,45385.00,238440.00,245335.00,232795.00,250340.00,308570.00,318140.00,289785.00,257795.00,208800.00,150170.00,121940.00,92485.00,58080.00,33695.00,3858435.00,183710.00,195000.00,234655.00,232820.00,44290.00,233730.00,247540.00,234525.00,251960.00,310555.00,325895.00,298300.00,266560.00,219265.00,165395.00,146205.00,128045.00,98695.00,85585.00,3189345.00,1917735.00,1267940.00,3665.00,3189345.00,2069035.00,25865.00,1094440.00,7435905.00,336785.00,4010880.00,3017865.00,70375.00,7435905.00,7155510.00,1499220.00,5656295.00,280390.00,7435905.00,6535430.00,851560.00,48910.00,6184490.00,4015200.00,3735505.00,279695.00,2169290.00,3474255.00,2525440.00,192315.00,445250.00,230575.00,48390.00,4670.00,6465.00,21145.00,944770.00,347855.00,596910.00,4238825.00,725120.00,3513705.00,1000895.00,474895.00,526005.00,2117400.00,8.50,7349675.00,12.50,444010.00,14.30
35,12160280.00,5930705.00,343475.00,369675.00,420705.00,427185.00,83170.00,400450.00,360525.00,382025.00,430215.00,507135.00,486390.00,423345.00,378535.00,283545.00,222635.00,187510.00,149580.00,97240.00,60550.00,6229580.00,327290.00,351915.00,397740.00,405930.00,79845.00,396815.00,383170.00,409925.00,453770.00,525280.00,505585.00,446055.00,395995.00,298440.00,243600.00,214440.00,189325.00,153035.00,131260.00,4555025.00,3235495.00,1312295.00,7235.00,4555025.00,3187935.00,113195.00,1253900.00,12028895.00,10335700.00,49205.00,1377325.00,266655.00,12028900.00,11131465.00,2572655.00,8558810.00,897430.00,12028895.00,8512020.00,3398725.00,118150.00,9819420.00,6587580.00,6164245.00,423330.00,3231840.00,5690960.00,4038035.00,470410.00,736060.00,320075.00,69035.00,4920.00,12645.00,39780.00,1624835.00,648305.00,976530.00,6638325.00,899525.00,5738800.00,1556255.00,635795.00,920460.00,3335250.00,8.60,11926140.00,11.10,797595.00,14.80
46,1148400.00,563275.00,34945.00,38055.00,42565.00,42615.00,8210.00,39115.00,34720.00,34975.00,36350.00,43515.00,44820.00,40525.00,35290.00,26530.00,20225.00,17210.00,14140.00,10180.00,7500.00,585125.00,33160.00,35785.00,40670.00,41210.00,7905.00,38635.00,35530.00,35750.00,37310.00,44560.00,44910.00,41315.00,36440.00,27220.00,21895.00,19605.00,18520.00,16195.00,16415.00,448780.00,309295.00,127895.00,11585.00,448780.00,297370.00,7445.00,143960.00,1133510.00,1017565.00,1925.00,103525.00,10500.00,1133515.00,1084590.00,265970.00,818620.00,48920.00,1133510.00,974735.00,151230.00,7550.00,908450.00,611285.00,577705.00,33570.00,297170.00,523445.00,378365.00,45390.00,46605.00,38605.00,8385.00,480.00,1065.00,4550.00,160705.00,76425.00,84275.00,595940.00,121485.00,474455.00,151805.00,69830.00,81975.00,298305.00,8.90,1061860.00,12.20,72220.00,20.00
47,968160.00,475240.00,29400.00,31165.00,35405.00,38455.00,7225.00,33805.00,28930.00,26815.00,27680.00,34745.00,37765.00,35215.00,29120.00,21690.00,17900.00,15990.00,13750.00,9775.00,7660.00,492920.00,28100.00,29905.00,33725.00,36450.00,7025.00,33440.00,29320.00,28125.00,28875.00,36580.00,38015.00,35010.00,29105.00,22020.00,19205.00,17795.00,16750.00,14325.00,16165.00,387145.00,277855.00,99125.00,10160.00,387140.00,256585.00,5210.00,125345.00,953850.00,902650.00,485.00,47450.00,3265.00,953850.00,936855.00,231130.00,705725.00,16995.00,953845.00,901080.00,48160.00,4610.00,766235.00,524305.00,494900.00,29400.00,241930.00,424210.00,336325.00,30755.00,9300.00,34305.00,6455.00,585.00,735.00,5745.00,141690.00,67550.00,74140.00,485555.00,94100.00,391460.00,138990.00,70080.00,68905.00,256520.00,7.10,897570.00,9.90,60890.00,16.30
48,3290350.00,1646800.00,103835.00,104605.00,115160.00,121825.00,24605.00,128375.00,121750.00,118500.00,119595.00,133515.00,138420.00,120425.00,95475.00,66795.00,50165.00,41685.00,32705.00,20225.00,13755.00,1643555.00,98765.00,99505.00,109650.00,116080.00,23555.00,123005.00,118775.00,115805.00,118255.00,134770.00,136320.00,117040.00,93795.00,66910.00,52245.00,45235.00,38765.00,30095.00,28535.00,1256195.00,917905.00,330280.00,8015.00,1256200.00,858810.00,22330.00,375055.00,3256355.00,2990800.00,2195.00,222885.00,40470.00,3256355.00,3086650.00,746605.00,2340040.00,169705.00,3256355.00,2702220.00,527030.00,27100.00,2625140.00,1942825.00,1859960.00,82860.00,682320.00,1686540.00,1253085.00,133390.00,155480.00,99730.00,19300.00,2320.00,3640.00,19600.00,487705.00,201685.00,286025.00,1805640.00,278970.00,1526670.00,331795.00,134215.00,197580.00,889645.00,6.40,3185130.00,9.10,234415.00,11.90
59,4113485.00,2013990.00,103290.00,113180.00,132275.00,140335.00,27080.00,134085.00,120260.00,122835.00,140555.00,162680.00,167040.00,156595.00,142575.00,106810.00,83055.00,70200.00,55635.00,36890.00,25690.00,2099500.00,98590.00,107525.00,124745.00,133230.00,26215.00,131825.00,125015.00,131740.00,150090.00,172160.00,177100.00,163515.00,146845.00,108780.00,86715.00,73430.00,64800.00,53035.00,50360.00,1643150.00,1145050.00,494000.00,4105.00,1643150.00,1074850.00,41510.00,526785.00,4074385.00,3653365.00,2070.00,295645.00,123305.00,4074385.00,3761225.00,801110.00,2960120.00,313155.00,4074385.00,2904245.00,1119215.00,50930.00,3394910.00,2226385.00,2092770.00,133615.00,1168525.00,1890050.00,1353790.00,145845.00,195150.00,130280.00,37370.00,5940.00,2295.00,19385.00,538010.00,200895.00,337115.00,2284465.00,282200.00,2002265.00,572435.00,192250.00,380185.00,1112810.00,9.90,3978215.00,13.10,236785.00,15.10
60,30370.00,15280.00,890.00,940.00,1095.00,1230.00,215.00,955.00,825.00,920.00,1050.00,1310.00,1495.00,1420.00,1165.00,800.00,515.00,305.00,205.00,120.00,65.00,15090.00,855.00,890.00,1055.00,1050.00,200.00,925.00,930.00,1120.00,1150.00,1445.00,1540.00,1365.00,1085.00,600.00,370.00,290.00,190.00,125.00,110.00,12615.00,8050.00,3840.00,720.00,12610.00,8015.00,160.00,4440.00,30195.00,26510.00,105.00,3445.00,130.00,30195.00,29325.00,6910.00,22415.00,875.00,30195.00,26990.00,3005.00,195.00,24490.00,19120.00,17310.00,1805.00,5370.00,16140.00,11650.00,1195.00,410.00,2130.00,420.00,25.00,25.00,280.00,4140.00,1885.00,2260.00,18145.00,2785.00,15360.00,2200.00,885.00,1310.00,0.00,0.00,0.00,0.00,0.00,0.00
61,41465.00,21225.00,1595.00,1560.00,1865.00,1805.00,345.00,1635.00,1675.00,1520.00,1625.00,1865.00,1755.00,1455.00,1165.00,730.00,360.00,270.00,180.00,90.00,80.00,20235.00,1630.00,1535.00,1740.00,1760.00,335.00,1520.00,1675.00,1585.00,1625.00,1790.00,1605.00,1335.00,935.00,515.00,355.00,250.00,175.00,130.00,85.00,14235.00,7525.00,6570.00,145.00,14235.00,9980.00,430.00,3825.00,41055.00,37010.00,50.00,3665.00,325.00,41055.00,39990.00,11915.00,28070.00,1065.00,41055.00,37985.00,2810.00,260.00,31135.00,23830.00,21350.00,2475.00,7310.00,20540.00,10920.00,2065.00,150.00,5405.00,425.00,30.00,200.00,1340.00,6695.00,3890.00,2805.00,22640.00,5215.00,17425.00,1800.00,1165.00,640.00,0.00,0.00,0.00,0.00,0.00,0.00
62,29470.00,15105.00,1745.00,1690.00,1650.00,1650.00,285.00,1240.00,1195.00,1090.00,1140.00,955.00,765.00,665.00,565.00,335.00,185.00,135.00,65.00,35.00,20.00,14365.00,1685.00,1625.00,1615.00,1510.00,275.00,1215.00,1230.00,1075.00,1070.00,905.00,750.00,580.00,460.00,270.00,170.00,95.00,60.00,25.00,25.00,7855.00,1780.00,6065.00,10.00,7855.00,5345.00,780.00,1725.00,29325.00,25830.00,20.00,1165.00,2305.00,29325.00,29170.00,11970.00,17205.00,150.00,29325.00,28820.00,455.00,55.00,19340.00,12635.00,10670.00,1965.00,6705.00,10300.00,2585.00,1225.00,20.00,5095.00,15.00,0.00,265.00,1090.00,5590.00,4465.00,1125.00,12955.00,5955.00,6995.00,790.00,660.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00


