"COL0","COL1","COL2","COL3","COL4"
"4210160.01",5110.00,760.00,3275.00,1075.00
"4210160.03",4510.00,740.00,2695.00,1075.00
"4210160.04",2135.00,340.00,1460.00,335.00
"4210160.05",4865.00,615.00,3090.00,1160.00
"4210170.03",5480.00,1360.00,3620.00,500.00
"4210170.04",6380.00,1535.00,4535.00,315.00
"4210170.05",6260.00,1390.00,4270.00,600.00
"4210170.06",4750.00,1000.00,3260.00,490.00
"4210170.07",5610.00,1135.00,3875.00,605.00
"4210190.00",3385.00,795.00,2320.00,265.00
"4210200.00",8995.00,2040.00,6040.00,915.00
"4210210.01",5490.00,1230.00,3775.00,480.00
"4210210.02",4605.00,855.00,3025.00,730.00
"4210220.01",9440.00,2030.00,6230.00,1175.00
"4210220.02",6430.00,1240.00,4200.00,990.00
"4210230.01",7335.00,1345.00,5140.00,845.00
"4210230.02",8310.00,2135.00,5530.00,640.00
"4210240.01",8130.00,1170.00,5630.00,1330.00
"4210240.02",6865.00,560.00,4120.00,2190.00
"4210260.01",4195.00,430.00,2460.00,1310.00
"4210260.02",3565.00,325.00,1985.00,1250.00
"4210260.03",4070.00,570.00,2775.00,725.00
"4210270.01",4230.00,445.00,2855.00,930.00
"4210270.03",5150.00,435.00,2580.00,2135.00
"4210270.04",2895.00,375.00,1965.00,545.00
"4210271.01",3970.00,575.00,2245.00,1150.00
"4210271.02",4285.00,510.00,2485.00,1290.00
"4210272.00",1430.00,185.00,885.00,365.00
"4210273.01",4505.00,380.00,2830.00,1295.00
"4210273.02",3040.00,585.00,1840.00,615.00
"4210273.03",3400.00,495.00,2100.00,810.00
"4210273.04",4185.00,560.00,2490.00,1135.00
"4210280.01",4105.00,640.00,2545.00,925.00
"4210280.02",4475.00,705.00,2880.00,895.00
"4210280.03",5605.00,845.00,3510.00,1250.00
"4210290.01",3810.00,590.00,2630.00,595.00
"4210290.03",2380.00,425.00,1575.00,380.00
"4210290.04",7710.00,1375.00,4740.00,1600.00
"4210300.00",3325.00,250.00,1235.00,1840.00
"4210310.00",2020.00,230.00,1310.00,480.00
"4210311.01",6970.00,630.00,4235.00,2105.00
"4210311.02",2830.00,305.00,1550.00,975.00
"4210320.01",9935.00,1325.00,6380.00,2230.00
"4210320.02",4915.00,695.00,3060.00,1155.00
"4210320.03",3715.00,640.00,2645.00,435.00
"4210320.04",3450.00,435.00,2005.00,1015.00
"4210320.05",3370.00,495.00,2465.00,415.00
"4210320.07",4475.00,730.00,2990.00,750.00
"4210320.08",7320.00,1375.00,5245.00,700.00
"4210330.00",2175.00,215.00,1430.00,525.00
"4210340.01",1870.00,280.00,1185.00,405.00
"4210340.02",4770.00,615.00,3000.00,1160.00
"4210340.03",5365.00,745.00,3910.00,710.00
"4210360.01",7175.00,1320.00,4960.00,895.00
"4210360.02",7135.00,1460.00,4950.00,720.00
"4210370.00",7800.00,1760.00,5220.00,820.00
"4210500.00",7585.00,1640.00,4890.00,1055.00
"4210510.00",3700.00,650.00,2470.00,575.00
"4210520.00",7345.00,1925.00,4810.00,610.00
"4210530.00",4125.00,725.00,2575.00,825.00
"4210540.00",7080.00,975.00,4240.00,1870.00
"4210600.03",2295.00,380.00,1515.00,405.00
"4210600.04",7420.00,1460.00,4985.00,980.00
"4210600.05",3770.00,485.00,2640.00,645.00
"4210600.06",5330.00,775.00,3560.00,995.00
"4210605.00",9925.00,2220.00,6515.00,1190.00
"4210610.00",6030.00,1690.00,4040.00,300.00
"4210700.00",2945.00,545.00,1670.00,720.00
"4210800.01",6005.00,865.00,4090.00,1050.00
"4210800.02",5515.00,770.00,3550.00,1200.00
"4210801.00",3610.00,445.00,2250.00,920.00
"4210802.00",2740.00,375.00,1755.00,610.00
"4210810.00",4315.00,450.00,2365.00,1500.00
"4210811.00",7885.00,1190.00,4935.00,1765.00
"4210812.00",4480.00,405.00,2445.00,1630.00
"4210820.01",4150.00,465.00,2615.00,1075.00
"4210820.03",5410.00,815.00,3660.00,940.00
"4210820.04",4435.00,1010.00,2945.00,480.00
"4210825.00",7855.00,1440.00,5490.00,925.00
"4210830.01",4890.00,625.00,3000.00,1265.00
"4210830.02",6955.00,910.00,4400.00,1650.00
"4210835.03",7335.00,1655.00,4890.00,795.00
"4210835.04",4245.00,855.00,3005.00,380.00
"4210835.05",4125.00,655.00,2980.00,495.00
"4210835.06",3280.00,775.00,2275.00,225.00
"4210835.07",4670.00,790.00,3190.00,685.00
"4210840.01",5240.00,650.00,3495.00,1090.00
"4210840.02",4515.00,600.00,2920.00,995.00
"4210845.03",4660.00,1045.00,3130.00,485.00
"4210845.04",4650.00,970.00,3100.00,580.00
"4210845.05",6645.00,1515.00,4295.00,835.00
"4210845.06",1190.00,220.00,790.00,180.00
"4210846.02",6265.00,1200.00,4185.00,885.00
"4210846.03",1245.00,235.00,790.00,220.00
"4210846.04",8165.00,1780.00,5320.00,1060.00
"4210850.02",2660.00,605.00,1695.00,360.00
"4210850.03",3865.00,770.00,2525.00,575.00
"4210850.04",4795.00,1080.00,3160.00,555.00
"4210850.05",4230.00,1060.00,2620.00,555.00
"4210900.00",5610.00,1195.00,3550.00,870.00
"4210901.00",4390.00,825.00,2875.00,695.00
"4210902.00",1600.00,280.00,945.00,375.00
"4330000.00",212105.00,34250.00,136635.00,41215.00
"4330001.00",5495.00,750.00,3530.00,1215.00
"4330002.00",1635.00,240.00,1210.00,185.00
"4330003.00",3050.00,425.00,2180.00,445.00
"4330004.00",4415.00,660.00,2990.00,760.00
"4330005.00",2140.00,250.00,1460.00,430.00
"4330006.00",2630.00,230.00,1745.00,650.00
"4330007.00",2340.00,245.00,1745.00,355.00
"4330008.00",3005.00,480.00,1905.00,620.00
"4330009.01",4050.00,830.00,2690.00,535.00
"4330009.02",5755.00,385.00,2845.00,2525.00
"4330010.00",3315.00,355.00,1920.00,1040.00
"4330011.00",1870.00,200.00,1335.00,340.00
"4330012.00",1875.00,110.00,1400.00,365.00
"4330013.00",1750.00,110.00,1400.00,235.00
"4330014.00",3320.00,300.00,2055.00,975.00
"4330015.01",2845.00,290.00,1780.00,780.00
"4330015.02",5925.00,885.00,3710.00,1325.00
"4330016.00",4015.00,470.00,2720.00,825.00
"4330017.00",2655.00,285.00,1870.00,505.00
"4330018.00",5485.00,670.00,3310.00,1500.00
"4330019.01",5835.00,730.00,3525.00,1580.00
"4330019.02",6945.00,985.00,4230.00,1730.00
"4330100.00",5285.00,845.00,3285.00,1155.00
"4330110.01",4175.00,835.00,2680.00,660.00
"4330110.03",6450.00,1370.00,4430.00,650.00
"4330110.04",5750.00,1100.00,3745.00,910.00
"4330110.06",6425.00,1330.00,4310.00,785.00
"4330110.07",7150.00,1525.00,4655.00,970.00
"4330111.01",7070.00,1140.00,5060.00,870.00
"4330111.02",1125.00,215.00,735.00,180.00
"4330111.05",4785.00,875.00,3260.00,655.00
"4330111.06",3425.00,600.00,2285.00,545.00
"4330111.07",7460.00,1485.00,4765.00,1215.00
"4330111.08",5000.00,940.00,3310.00,745.00
"4330112.01",2955.00,520.00,1975.00,455.00
"4330112.02",3160.00,710.00,2090.00,360.00
"4330113.01",5405.00,1160.00,3610.00,635.00
"4330113.02",6280.00,1615.00,4155.00,505.00
"4330200.00",1610.00,205.00,980.00,420.00
"4330201.00",2775.00,600.00,1740.00,445.00
"4330202.00",2475.00,495.00,1520.00,465.00
"4330300.01",6300.00,1245.00,4120.00,940.00
"4330300.02",4055.00,880.00,2590.00,585.00
"4330400.01",5965.00,835.00,3680.00,1455.00
"4330400.02",6175.00,865.00,3825.00,1485.00
"4330400.03",6520.00,790.00,3620.00,2110.00
"4330400.04",8000.00,1225.00,4725.00,2050.00
"4330401.00",1615.00,290.00,1090.00,240.00
"4330402.00",4335.00,675.00,2850.00,810.00
"4420000.00",156040.00,22305.00,98955.00,34785.00
"4420001.00",2135.00,280.00,1520.00,335.00
"4420002.00",2750.00,125.00,1735.00,885.00
"4420003.00",2485.00,175.00,1700.00,615.00
"4420004.00",4660.00,455.00,3005.00,1210.00
"4420005.00",1990.00,195.00,1235.00,560.00
"4420006.00",2095.00,275.00,1370.00,445.00
"4420007.00",2270.00,255.00,1575.00,440.00
"4420008.00",2560.00,180.00,1510.00,870.00
"4420009.00",1725.00,195.00,855.00,675.00
"4420010.00",3940.00,425.00,2330.00,1185.00
"4420011.00",2430.00,355.00,1470.00,600.00
"4420012.01",2700.00,305.00,1550.00,850.00
"4420012.02",4455.00,450.00,2340.00,1665.00
"4420013.01",7380.00,1340.00,5045.00,995.00
"4420013.02",3755.00,575.00,2610.00,575.00
"4420013.03",3275.00,515.00,2170.00,590.00
"4420100.01",7065.00,850.00,4260.00,1960.00
"4420100.02",4335.00,545.00,2780.00,1010.00
"4420101.02",7140.00,1185.00,4625.00,1330.00
"4420101.03",3735.00,520.00,2300.00,915.00
"4420101.04",4595.00,785.00,3205.00,605.00
"4420102.00",9020.00,1810.00,5800.00,1405.00
"4420200.00",5340.00,630.00,3220.00,1490.00
"4420201.00",2725.00,345.00,1650.00,730.00
"4420202.00",2155.00,225.00,1275.00,655.00
"4420203.00",2805.00,315.00,1620.00,875.00
"4420204.00",4520.00,535.00,2800.00,1185.00
"4420205.01",6465.00,1035.00,4265.00,1170.00
"4420205.02",5120.00,840.00,2905.00,1380.00
"4420205.03",3890.00,475.00,2490.00,930.00
"4420210.00",7335.00,1175.00,4820.00,1340.00
"4420211.00",7550.00,1175.00,5175.00,1200.00
"4420212.00",3285.00,705.00,2140.00,440.00
"4420213.00",1735.00,220.00,1110.00,410.00
"4420300.01",205.00,45.00,135.00,25.00
"4420300.02",7885.00,1420.00,4920.00,1550.00
"4420301.00",45.00,5.00,30.00,5.00
"4420302.00",5100.00,800.00,3250.00,1050.00
"4420303.00",545.00,70.00,350.00,130.00
"4420304.00",2830.00,505.00,1820.00,505.00
"4470000.00",96115.00,16270.00,61395.00,18455.00
"4470001.01",4725.00,765.00,3205.00,750.00
"4470001.02",3100.00,170.00,1565.00,1365.00
"4470002.00",4560.00,435.00,2270.00,1855.00
"4470003.00",6785.00,715.00,3700.00,2365.00
"4470004.00",3540.00,485.00,2190.00,860.00
"4470005.00",6485.00,1135.00,4215.00,1130.00
"4470006.00",4690.00,640.00,2995.00,1055.00
"4470007.00",4405.00,550.00,2900.00,955.00
"4470008.00",7050.00,995.00,4515.00,1535.00
"4470009.00",9980.00,2125.00,6740.00,1110.00
"4470010.00",7590.00,1420.00,5150.00,1020.00
"4470011.00",4720.00,1070.00,3055.00,600.00
"4470012.00",1645.00,250.00,1125.00,275.00
