"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"4080120.03",2200.00,1720.00,750.00,970.00,25.00,460.00,410.00,50.00,5705.00,5695.00,1400.00,4295.00,10.00,5710.00,5675.00,30.00,0.00,2200.00,1840.00,365.00,0.00,2185.00,1940.00,255.00
"4080120.04",465.00,355.00,165.00,190.00,5.00,110.00,100.00,10.00,1145.00,1145.00,230.00,920.00,0.00,1145.00,1150.00,0.00,0.00,465.00,370.00,100.00,0.00,460.00,410.00,60.00
"4080120.05",640.00,495.00,210.00,285.00,10.00,140.00,120.00,15.00,1650.00,1650.00,390.00,1260.00,10.00,1650.00,1645.00,0.00,0.00,640.00,505.00,135.00,0.00,635.00,570.00,70.00
"4080130.00",1810.00,1200.00,590.00,615.00,15.00,595.00,535.00,60.00,4225.00,4205.00,790.00,3420.00,15.00,4225.00,4150.00,75.00,0.00,1830.00,1200.00,630.00,0.00,1825.00,1550.00,275.00
"4080131.00",1840.00,1370.00,635.00,740.00,5.00,465.00,415.00,45.00,4310.00,4295.00,865.00,3430.00,15.00,4310.00,4280.00,30.00,0.00,1830.00,1335.00,495.00,0.00,1830.00,1610.00,220.00
"4080132.00",1395.00,1010.00,460.00,550.00,5.00,375.00,355.00,20.00,3460.00,3445.00,775.00,2665.00,15.00,3460.00,3425.00,30.00,10.00,1415.00,1110.00,305.00,0.00,1415.00,1245.00,175.00
"4080133.00",1715.00,1145.00,515.00,630.00,0.00,560.00,510.00,50.00,3735.00,3705.00,710.00,2995.00,25.00,3735.00,3670.00,55.00,10.00,1685.00,1075.00,605.00,0.00,1685.00,1395.00,290.00
"4080140.00",1930.00,1395.00,725.00,665.00,10.00,525.00,485.00,40.00,4375.00,4370.00,770.00,3605.00,10.00,4375.00,4330.00,45.00,0.00,1885.00,1535.00,345.00,0.00,1845.00,1630.00,215.00
"4080150.00",2540.00,1970.00,950.00,1015.00,25.00,545.00,505.00,35.00,6335.00,6330.00,1430.00,4900.00,10.00,6340.00,6255.00,80.00,0.00,2565.00,2220.00,345.00,0.00,2545.00,2265.00,280.00
"4080160.00",2970.00,1940.00,960.00,980.00,10.00,1020.00,950.00,70.00,6585.00,6540.00,1225.00,5320.00,40.00,6580.00,6480.00,85.00,15.00,3015.00,1950.00,1070.00,0.00,3000.00,2610.00,385.00
"4080161.00",1100.00,720.00,350.00,370.00,10.00,370.00,345.00,25.00,2390.00,2375.00,490.00,1885.00,15.00,2390.00,2340.00,30.00,15.00,1070.00,560.00,515.00,0.00,1065.00,945.00,125.00
"4080162.00",2925.00,1905.00,950.00,950.00,15.00,1005.00,950.00,55.00,6320.00,6315.00,1105.00,5215.00,0.00,6320.00,6285.00,35.00,0.00,2945.00,1720.00,1225.00,0.00,2950.00,2515.00,430.00
"4080163.00",1305.00,925.00,495.00,425.00,5.00,380.00,355.00,25.00,3050.00,3045.00,540.00,2505.00,10.00,3050.00,3035.00,15.00,0.00,1305.00,985.00,320.00,0.00,1305.00,1160.00,145.00
"4080164.00",890.00,625.00,335.00,290.00,5.00,255.00,240.00,15.00,2070.00,2070.00,410.00,1660.00,0.00,2070.00,2065.00,0.00,0.00,885.00,735.00,150.00,0.00,880.00,785.00,95.00
"4080165.00",430.00,330.00,205.00,120.00,0.00,100.00,95.00,5.00,955.00,950.00,120.00,830.00,0.00,955.00,950.00,0.00,0.00,430.00,390.00,40.00,0.00,425.00,390.00,30.00
"4080166.00",200.00,130.00,70.00,65.00,0.00,70.00,65.00,5.00,425.00,415.00,65.00,345.00,10.00,425.00,410.00,10.00,0.00,200.00,175.00,25.00,0.00,200.00,175.00,25.00
"4080167.00",1200.00,875.00,505.00,370.00,10.00,315.00,300.00,20.00,2755.00,2735.00,490.00,2245.00,25.00,2760.00,2720.00,40.00,0.00,1200.00,1015.00,185.00,0.00,1195.00,1070.00,130.00
"4080168.00",315.00,235.00,130.00,110.00,5.00,70.00,70.00,5.00,725.00,725.00,145.00,585.00,0.00,725.00,725.00,0.00,0.00,310.00,295.00,15.00,0.00,300.00,270.00,35.00
