"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"2435",6015.00,3705.00,2200.00,1505.00,20.00,2285.00,2190.00,100.00,12065.00,11995.00,70.00,12065.00,11910.00,120.00,30.00,1715.00,10285.00,6015.00,4825.00,1190.00,0.00,5910.00,5145.00,765.00
"2436",24410.00,13440.00,7240.00,6200.00,100.00,10875.00,10075.00,795.00,47420.00,47065.00,360.00,47420.00,46540.00,765.00,115.00,7070.00,39995.00,24410.00,13865.00,10545.00,0.00,24375.00,19075.00,5295.00
"2437",71355.00,41595.00,20540.00,21060.00,270.00,29490.00,26940.00,2545.00,147285.00,144635.00,2645.00,147280.00,141745.00,4805.00,735.00,25200.00,119440.00,71355.00,42085.00,29270.00,0.00,71035.00,57515.00,13520.00
"2438",9040.00,5790.00,2885.00,2905.00,40.00,3210.00,3005.00,205.00,19840.00,19760.00,75.00,19840.00,19510.00,330.00,0.00,3805.00,15955.00,9040.00,6955.00,2070.00,15.00,8610.00,7415.00,1195.00
"2439",31450.00,20000.00,9740.00,10260.00,145.00,11305.00,10505.00,795.00,69520.00,68780.00,745.00,69525.00,67585.00,1745.00,200.00,14055.00,54725.00,31450.00,21685.00,9760.00,0.00,30790.00,25785.00,5000.00
"2440",6475.00,4015.00,2200.00,1815.00,25.00,2440.00,2265.00,170.00,13770.00,13665.00,100.00,13770.00,13500.00,255.00,15.00,2715.00,10955.00,6480.00,4495.00,1980.00,0.00,6235.00,5005.00,1230.00
"2441",9580.00,6395.00,3225.00,3170.00,80.00,3110.00,2875.00,235.00,21890.00,21775.00,120.00,21895.00,21455.00,405.00,30.00,4470.00,17300.00,9585.00,7485.00,2100.00,0.00,9240.00,7525.00,1705.00
"2442",13015.00,8830.00,4365.00,4460.00,95.00,4095.00,3805.00,290.00,29955.00,29820.00,135.00,29955.00,29360.00,590.00,10.00,6305.00,23515.00,13015.00,9600.00,3415.00,0.00,12650.00,10955.00,1700.00
"2443",73505.00,41965.00,19295.00,22665.00,280.00,31260.00,27865.00,3395.00,156260.00,149355.00,6910.00,156260.00,141530.00,12740.00,1990.00,29375.00,119975.00,73505.00,37920.00,35585.00,0.00,73395.00,56785.00,16610.00
"2444",7815.00,5270.00,2530.00,2735.00,35.00,2510.00,2330.00,180.00,18090.00,17850.00,240.00,18090.00,17440.00,600.00,50.00,4045.00,13810.00,7815.00,5600.00,2215.00,0.00,7355.00,6250.00,1110.00
"2445",22915.00,14810.00,8395.00,6415.00,145.00,7965.00,7410.00,560.00,49025.00,48125.00,905.00,49030.00,46260.00,2640.00,130.00,8355.00,39770.00,22920.00,16675.00,6245.00,0.00,22700.00,18635.00,4060.00
"2446",25865.00,16675.00,8720.00,7960.00,150.00,9045.00,8435.00,605.00,56610.00,55885.00,725.00,56610.00,53845.00,2655.00,110.00,10750.00,45130.00,25865.00,18155.00,7710.00,0.00,25300.00,20670.00,4630.00
"2447",38830.00,24515.00,11835.00,12680.00,265.00,14045.00,13005.00,1040.00,85815.00,84450.00,1370.00,85810.00,81985.00,3610.00,215.00,17120.00,67325.00,38825.00,23455.00,15375.00,0.00,38440.00,30505.00,7935.00
"2448",6635.00,4395.00,2130.00,2265.00,50.00,2190.00,2015.00,175.00,15205.00,15135.00,65.00,15200.00,14925.00,275.00,0.00,3180.00,11960.00,6635.00,4810.00,1830.00,0.00,6270.00,5275.00,995.00
"2449",45335.00,28325.00,13200.00,15125.00,225.00,16780.00,15320.00,1455.00,100095.00,98755.00,1330.00,100090.00,97055.00,2910.00,130.00,20665.00,78095.00,45330.00,27755.00,17580.00,0.00,44765.00,36785.00,7985.00
"2450",10085.00,6495.00,3205.00,3295.00,60.00,3530.00,3275.00,255.00,22305.00,22170.00,135.00,22305.00,21780.00,475.00,50.00,4380.00,17790.00,10085.00,7525.00,2545.00,15.00,9490.00,8180.00,1315.00
"2451",16455.00,10565.00,5505.00,5065.00,85.00,5805.00,5320.00,485.00,35485.00,35365.00,120.00,35485.00,35025.00,455.00,10.00,6125.00,29245.00,16450.00,12495.00,3960.00,0.00,16120.00,13825.00,2290.00
"2452",18225.00,12105.00,5925.00,6180.00,165.00,5950.00,5385.00,565.00,41420.00,41150.00,270.00,41420.00,40505.00,850.00,60.00,7660.00,33490.00,18225.00,13560.00,4660.00,0.00,17915.00,14550.00,3365.00
"2453",23790.00,14655.00,7800.00,6855.00,130.00,9005.00,8350.00,655.00,49485.00,49045.00,440.00,49485.00,48265.00,1160.00,60.00,7855.00,41190.00,23795.00,15870.00,7925.00,0.00,23545.00,19280.00,4260.00
"2454",38015.00,23645.00,11020.00,12625.00,210.00,14155.00,13065.00,1090.00,83815.00,81795.00,2025.00,83820.00,79725.00,3850.00,240.00,16390.00,65400.00,38020.00,23020.00,15000.00,0.00,37215.00,30115.00,7105.00
"2455",14940.00,10230.00,4510.00,5720.00,155.00,4550.00,4160.00,390.00,35480.00,35240.00,240.00,35475.00,34485.00,935.00,55.00,7755.00,27480.00,14940.00,10675.00,4260.00,0.00,14570.00,12040.00,2530.00
"2456",50060.00,32660.00,14390.00,18270.00,445.00,16960.00,15440.00,1515.00,114700.00,113575.00,1120.00,114700.00,110370.00,4100.00,230.00,23170.00,90405.00,50060.00,32920.00,17145.00,0.00,49630.00,40220.00,9410.00
"2457",48745.00,35780.00,14365.00,21415.00,465.00,12505.00,11490.00,1010.00,122245.00,120765.00,1480.00,122245.00,116100.00,5980.00,160.00,28360.00,92405.00,48750.00,39595.00,9155.00,0.00,48425.00,41620.00,6805.00
"2458",175735.00,112805.00,45760.00,67045.00,1895.00,61040.00,55365.00,5675.00,406360.00,383345.00,23015.00,406365.00,321105.00,82285.00,2970.00,74325.00,309025.00,175735.00,111760.00,63980.00,0.00,175565.00,140175.00,35385.00
"2459",29940.00,22435.00,8665.00,13775.00,265.00,7235.00,6625.00,610.00,76225.00,75415.00,810.00,76225.00,73325.00,2815.00,90.00,17670.00,57740.00,29940.00,24090.00,5850.00,0.00,29800.00,26000.00,3800.00
"2460",49770.00,35685.00,14610.00,21075.00,605.00,13480.00,12270.00,1210.00,122955.00,121240.00,1715.00,122955.00,114115.00,8615.00,220.00,25850.00,95385.00,49770.00,37705.00,12065.00,0.00,49650.00,40865.00,8785.00
"2461",29705.00,18105.00,8615.00,9490.00,200.00,11400.00,10420.00,980.00,63935.00,63195.00,735.00,63930.00,62090.00,1700.00,145.00,11820.00,51370.00,29700.00,17660.00,12045.00,0.00,29535.00,23330.00,6200.00
"2462",23140.00,14365.00,8255.00,6110.00,280.00,8495.00,7785.00,705.00,49260.00,48990.00,270.00,49260.00,47830.00,1365.00,60.00,7820.00,41170.00,23135.00,18265.00,4560.00,315.00,22575.00,18085.00,4485.00
"2463",21610.00,14780.00,6280.00,8495.00,265.00,6565.00,5780.00,790.00,52035.00,51775.00,265.00,52035.00,50970.00,1040.00,25.00,11345.00,40425.00,21610.00,16670.00,4935.00,0.00,21270.00,16985.00,4290.00
"2464",59700.00,44585.00,15950.00,28640.00,815.00,14300.00,12930.00,1375.00,156690.00,154310.00,2380.00,156690.00,144075.00,12385.00,230.00,37580.00,116730.00,59700.00,47370.00,12330.00,0.00,59645.00,49540.00,10105.00
"2465",160325.00,111595.00,38220.00,73375.00,2665.00,46065.00,41920.00,4145.00,410850.00,386710.00,24140.00,410850.00,291635.00,116935.00,2275.00,83660.00,303055.00,160325.00,111280.00,49045.00,0.00,160185.00,125745.00,34445.00
"2466",870375.00,469260.00,172620.00,296640.00,7860.00,393255.00,342510.00,50750.00,1894995.00,1648430.00,246565.00,1895000.00,1187260.00,644685.00,63060.00,322925.00,1325505.00,870370.00,348230.00,522140.00,0.00,868760.00,606780.00,261975.00
"2467",66265.00,48710.00,17910.00,30800.00,750.00,16805.00,15215.00,1590.00,169740.00,165925.00,3810.00,169740.00,150535.00,18675.00,520.00,38120.00,127805.00,66265.00,52245.00,14020.00,0.00,66130.00,55140.00,10990.00
"2468",11205.00,7795.00,3365.00,4430.00,125.00,3285.00,3005.00,275.00,27220.00,26920.00,295.00,27220.00,26285.00,815.00,120.00,5925.00,21000.00,11205.00,8365.00,2845.00,0.00,10730.00,8940.00,1785.00
"2469",9665.00,6345.00,3115.00,3230.00,105.00,3210.00,2945.00,265.00,22040.00,21850.00,190.00,22040.00,21085.00,900.00,55.00,4210.00,17635.00,9665.00,7555.00,2050.00,60.00,8800.00,7045.00,1755.00
"2470",28865.00,17865.00,8510.00,9350.00,215.00,10790.00,9920.00,870.00,62235.00,61780.00,455.00,62230.00,60670.00,1455.00,110.00,11165.00,50610.00,28865.00,17815.00,11055.00,0.00,28610.00,22275.00,6335.00
"2471",57515.00,42175.00,16100.00,26075.00,690.00,14645.00,13450.00,1200.00,147355.00,144035.00,3315.00,147355.00,129385.00,17585.00,390.00,34295.00,109745.00,57515.00,47370.00,10145.00,0.00,57125.00,47420.00,9700.00
"2472",39750.00,27615.00,10895.00,16720.00,510.00,11625.00,10510.00,1115.00,97140.00,95690.00,1450.00,97140.00,90440.00,6500.00,195.00,21105.00,74580.00,39750.00,30135.00,9615.00,0.00,39560.00,32485.00,7075.00
"2473",60760.00,43685.00,15875.00,27810.00,610.00,16470.00,14830.00,1640.00,153955.00,151510.00,2445.00,153955.00,141855.00,11785.00,315.00,34300.00,117210.00,60760.00,44245.00,16520.00,0.00,60700.00,50120.00,10585.00
"2474",19630.00,14325.00,5065.00,9265.00,205.00,5100.00,4630.00,465.00,50305.00,49870.00,430.00,50305.00,48630.00,1600.00,75.00,12935.00,36940.00,19630.00,13895.00,5735.00,0.00,19350.00,16230.00,3120.00
"2475",55010.00,35445.00,15680.00,19760.00,485.00,19080.00,17165.00,1910.00,124805.00,123405.00,1405.00,124800.00,120105.00,4520.00,180.00,25410.00,97990.00,55010.00,36560.00,18450.00,0.00,54890.00,41805.00,13090.00
"2476",14790.00,9205.00,4695.00,4505.00,125.00,5455.00,4955.00,500.00,31720.00,31370.00,350.00,31725.00,30595.00,1070.00,60.00,5470.00,25905.00,14790.00,10145.00,4645.00,0.00,14645.00,11355.00,3290.00
"2477",20700.00,12390.00,7400.00,4995.00,95.00,8210.00,7585.00,625.00,41205.00,40375.00,835.00,41210.00,38275.00,2815.00,125.00,5685.00,34690.00,20695.00,15725.00,4975.00,0.00,20685.00,15530.00,5155.00
"2478",21970.00,13115.00,7175.00,5945.00,110.00,8745.00,8040.00,700.00,44795.00,44180.00,615.00,44795.00,42705.00,1975.00,115.00,7165.00,37010.00,21975.00,15895.00,6075.00,0.00,21890.00,16690.00,5195.00
"2479",16475.00,10270.00,6015.00,4255.00,100.00,6105.00,5620.00,485.00,33935.00,33770.00,165.00,33930.00,33435.00,440.00,55.00,5275.00,28495.00,16475.00,11980.00,4495.00,0.00,16270.00,13190.00,3085.00
"2480",10400.00,6750.00,3805.00,2935.00,95.00,3555.00,3240.00,320.00,22355.00,22215.00,140.00,22360.00,21880.00,455.00,25.00,3605.00,18615.00,10405.00,8215.00,2185.00,0.00,10195.00,8210.00,1990.00
"2481",118385.00,74360.00,28160.00,46195.00,1010.00,43015.00,38365.00,4650.00,271850.00,260430.00,11420.00,271845.00,236010.00,33865.00,1975.00,57480.00,202950.00,118385.00,74035.00,44350.00,0.00,118255.00,94150.00,24105.00
"2482",18755.00,14355.00,6035.00,8320.00,305.00,4095.00,3695.00,400.00,48880.00,48545.00,340.00,48880.00,46770.00,2090.00,20.00,11380.00,37165.00,18755.00,16700.00,2055.00,0.00,18515.00,15735.00,2780.00
"2483",9390.00,5805.00,3015.00,2790.00,95.00,3495.00,3190.00,305.00,19790.00,19705.00,90.00,19795.00,19460.00,305.00,30.00,3255.00,16450.00,9395.00,7080.00,2280.00,40.00,8765.00,7110.00,1650.00
"2484",6205.00,4070.00,2050.00,2020.00,85.00,2050.00,1890.00,155.00,14025.00,13965.00,60.00,14025.00,13685.00,325.00,10.00,2505.00,11460.00,6200.00,4880.00,1325.00,0.00,6015.00,5050.00,960.00
"2485",7130.00,4535.00,2300.00,2235.00,35.00,2560.00,2410.00,150.00,15665.00,15630.00,35.00,15665.00,15465.00,195.00,0.00,3175.00,12455.00,7125.00,5385.00,1645.00,95.00,6620.00,5700.00,920.00
"2486",18850.00,11785.00,5680.00,6100.00,90.00,6980.00,6380.00,595.00,41165.00,40760.00,405.00,41170.00,40245.00,760.00,160.00,8300.00,32460.00,18850.00,11970.00,6880.00,0.00,18785.00,15655.00,3130.00
"2487",9025.00,5890.00,3000.00,2890.00,35.00,3100.00,2915.00,185.00,20025.00,20000.00,30.00,20030.00,19930.00,95.00,0.00,4100.00,15900.00,9030.00,6865.00,2160.00,0.00,8920.00,7755.00,1165.00
"2488",10530.00,6990.00,3360.00,3630.00,70.00,3470.00,3230.00,245.00,24000.00,23935.00,65.00,24000.00,23775.00,220.00,0.00,5085.00,18855.00,10530.00,7510.00,2905.00,115.00,10260.00,8895.00,1365.00
"2489",19040.00,11945.00,5680.00,6270.00,125.00,6975.00,6465.00,505.00,42295.00,41910.00,385.00,42290.00,41365.00,860.00,70.00,8945.00,32960.00,19040.00,12235.00,6615.00,190.00,18620.00,15640.00,2980.00
"2490",6375.00,3835.00,1910.00,1925.00,180.00,2365.00,2220.00,145.00,14615.00,14585.00,25.00,14615.00,14480.00,120.00,10.00,3225.00,11365.00,6375.00,3925.00,2030.00,420.00,5655.00,4820.00,830.00
"2491",13730.00,8855.00,4555.00,4300.00,70.00,4805.00,4500.00,305.00,30240.00,30095.00,145.00,30245.00,29955.00,255.00,30.00,5820.00,24270.00,13730.00,9910.00,3710.00,110.00,12860.00,11065.00,1795.00
"2492",10805.00,7165.00,3760.00,3400.00,35.00,3610.00,3390.00,215.00,23780.00,23715.00,65.00,23775.00,23595.00,165.00,15.00,4595.00,19120.00,10805.00,7945.00,2860.00,0.00,10645.00,9365.00,1285.00
"2493",22910.00,15240.00,7615.00,7625.00,90.00,7580.00,7095.00,485.00,51170.00,50975.00,200.00,51170.00,50655.00,450.00,60.00,10070.00,40905.00,22910.00,16605.00,6300.00,0.00,22700.00,19320.00,3380.00
"2494",75350.00,48450.00,24500.00,23945.00,325.00,26580.00,24430.00,2145.00,163675.00,162385.00,1295.00,163680.00,160930.00,2095.00,655.00,29540.00,132845.00,75350.00,48980.00,26370.00,0.00,75085.00,62520.00,12560.00
"2495",4985.00,3190.00,1640.00,1555.00,30.00,1755.00,1630.00,130.00,10655.00,10610.00,40.00,10655.00,10550.00,95.00,10.00,1685.00,8935.00,4985.00,3820.00,1150.00,15.00,4825.00,4235.00,595.00
"2496",13740.00,8975.00,4275.00,4700.00,95.00,4670.00,4360.00,310.00,30325.00,30170.00,155.00,30325.00,29970.00,325.00,30.00,5710.00,24460.00,13735.00,9970.00,3385.00,380.00,12945.00,11380.00,1565.00
"2497",16765.00,10875.00,4670.00,6205.00,180.00,5705.00,5300.00,410.00,38585.00,38325.00,255.00,38580.00,37935.00,595.00,45.00,8735.00,29595.00,16765.00,10960.00,5105.00,700.00,15400.00,13595.00,1805.00
"2498",4465.00,3080.00,1395.00,1685.00,150.00,1235.00,1140.00,95.00,11120.00,11105.00,15.00,11120.00,11050.00,75.00,0.00,2410.00,8700.00,4465.00,3180.00,670.00,615.00,3780.00,3495.00,280.00
"2499",13675.00,9185.00,2770.00,6415.00,1110.00,3380.00,3030.00,350.00,43890.00,43745.00,150.00,43890.00,43355.00,510.00,30.00,14420.00,29320.00,13670.00,5070.00,5945.00,2655.00,9660.00,8880.00,780.00
