"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"4210038.01",3235.00,785.00,2050.00,1220.00,375.00,730.00,115.00
"4210038.02",2635.00,385.00,1850.00,675.00,125.00,440.00,115.00
"4210039.01",6485.00,1050.00,4205.00,425.00,65.00,250.00,115.00
"4210039.02",5065.00,730.00,3115.00,765.00,130.00,425.00,205.00
"4210040.01",4240.00,785.00,2425.00,260.00,40.00,75.00,145.00
"4210040.03",8240.00,1760.00,5645.00,920.00,190.00,570.00,160.00
"4210040.04",545.00,80.00,350.00,55.00,5.00,40.00,10.00
"4210041.02",8950.00,1635.00,5890.00,520.00,90.00,260.00,175.00
"4210041.03",1180.00,210.00,775.00,90.00,15.00,40.00,35.00
"4210041.04",6025.00,1175.00,3975.00,370.00,80.00,190.00,100.00
"4210041.05",8925.00,2075.00,5390.00,470.00,65.00,245.00,160.00
"4210041.06",4360.00,1105.00,2730.00,85.00,20.00,50.00,15.00
"4210041.07",2320.00,450.00,1505.00,235.00,60.00,135.00,45.00
"4210041.08",2520.00,435.00,1705.00,305.00,65.00,175.00,65.00
"4210041.09",2335.00,365.00,1590.00,270.00,50.00,160.00,60.00
"4210100.00",1635.00,190.00,870.00,100.00,20.00,50.00,30.00
"4210101.00",4285.00,860.00,2560.00,185.00,15.00,135.00,35.00
"4210102.00",1835.00,380.00,1195.00,200.00,30.00,145.00,20.00
"4210103.00",2785.00,470.00,1515.00,325.00,15.00,180.00,130.00
"4210110.00",3965.00,760.00,2370.00,155.00,15.00,110.00,25.00
"4210111.00",4500.00,810.00,2700.00,560.00,80.00,330.00,150.00
"4210112.01",5175.00,735.00,2865.00,470.00,95.00,300.00,80.00
"4210112.02",4060.00,680.00,2715.00,705.00,115.00,500.00,85.00
"4210113.01",6680.00,610.00,3360.00,900.00,100.00,485.00,315.00
"4210113.02",6805.00,1260.00,4015.00,420.00,65.00,280.00,75.00
"4210114.00",6075.00,865.00,3950.00,875.00,110.00,590.00,180.00
"4210115.00",3180.00,270.00,2120.00,410.00,35.00,300.00,75.00
"4210116.00",7480.00,645.00,5955.00,2510.00,135.00,2180.00,195.00
