"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"2488",23470.00,4890.00,14835.00,2780.00,515.00,1455.00,810.00
"2489",40650.00,8215.00,26145.00,5285.00,950.00,2880.00,1455.00
"2490",11430.00,1875.00,6950.00,2030.00,355.00,1090.00,580.00
"2491",28305.00,5365.00,17165.00,4145.00,620.00,2095.00,1435.00
"2492",23775.00,4615.00,14450.00,3645.00,625.00,1800.00,1220.00
"2493",51175.00,10045.00,31600.00,6765.00,1070.00,3595.00,2100.00
"2494",163675.00,29830.00,102455.00,21590.00,3225.00,12395.00,5975.00
"2495",10360.00,1610.00,6355.00,1785.00,240.00,845.00,700.00
"2496",28070.00,5050.00,17925.00,2735.00,470.00,1485.00,785.00
"2497",34210.00,7100.00,21905.00,3210.00,625.00,1715.00,870.00
"2498",8525.00,1470.00,5425.00,665.00,55.00,245.00,365.00
"2499",26780.00,8115.00,16305.00,2960.00,1050.00,1585.00,320.00
