"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5935010",114570.00,109955.00,20210.00,89745.00,4610.00,114570.00,97660.00,15970.00,940.00,97870.00,15415.00,27500.00,54955.00,97870.00,63570.00,58440.00,5125.00,34305.00,53675.00,42650.00,2890.00,2170.00,3020.00,1900.00,1035.00,49670.00,35580.00,14090.00,0.00,114570.00,20770.00,73230.00,20570.00,16675.00,3705.00,10455.00,2505.00
"5935012",3850.00,3800.00,805.00,2990.00,55.00,3850.00,3315.00,535.00,0.00,3215.00,450.00,900.00,1860.00,3215.00,2210.00,2075.00,135.00,1000.00,1750.00,1525.00,60.00,0.00,120.00,0.00,30.00,1540.00,1295.00,250.00,0.00,3855.00,815.00,2390.00,645.00,480.00,110.00,320.00,50.00
"5935016",11360.00,11030.00,2230.00,8805.00,330.00,11365.00,9865.00,1480.00,20.00,9530.00,1695.00,2625.00,5215.00,9530.00,6810.00,6320.00,490.00,2715.00,5575.00,4840.00,320.00,80.00,185.00,20.00,120.00,4495.00,3680.00,815.00,0.00,11365.00,2265.00,7560.00,1540.00,1670.00,445.00,990.00,240.00
"5935018",5150.00,5005.00,680.00,4325.00,145.00,5155.00,4340.00,800.00,0.00,4645.00,630.00,1155.00,2855.00,4645.00,2435.00,2190.00,245.00,2210.00,1970.00,1760.00,85.00,30.00,35.00,10.00,55.00,2310.00,1995.00,320.00,0.00,5155.00,685.00,3015.00,1455.00,935.00,230.00,575.00,125.00
"5935020",1865.00,1805.00,190.00,1615.00,60.00,1860.00,1565.00,300.00,0.00,1720.00,155.00,465.00,1100.00,1720.00,1090.00,1075.00,15.00,630.00,985.00,880.00,80.00,0.00,0.00,0.00,10.00,840.00,790.00,45.00,0.00,1865.00,190.00,1320.00,355.00,175.00,15.00,140.00,15.00
"5935029",30545.00,29440.00,6375.00,23060.00,1105.00,30545.00,26080.00,4400.00,65.00,25315.00,3780.00,7590.00,13945.00,25315.00,16525.00,15205.00,1315.00,8795.00,13520.00,11570.00,835.00,395.00,375.00,130.00,215.00,11805.00,9990.00,1815.00,0.00,30550.00,6610.00,18640.00,5295.00,3755.00,1225.00,2065.00,465.00
"5935802",5820.00,5665.00,795.00,4875.00,150.00,5820.00,5210.00,590.00,15.00,5190.00,1070.00,1600.00,2520.00,5190.00,2500.00,2165.00,340.00,2685.00,2040.00,1685.00,150.00,50.00,90.00,30.00,35.00,2795.00,2405.00,375.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5935803",1190.00,1175.00,240.00,930.00,0.00,1185.00,1045.00,140.00,0.00,1010.00,110.00,310.00,590.00,1015.00,565.00,515.00,55.00,445.00,435.00,365.00,35.00,0.00,0.00,0.00,0.00,490.00,430.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5937010",10195.00,9820.00,2145.00,7675.00,380.00,10195.00,8805.00,1365.00,20.00,8465.00,1195.00,2100.00,5170.00,8465.00,5350.00,4890.00,465.00,3110.00,4380.00,3815.00,240.00,60.00,105.00,90.00,70.00,3800.00,3350.00,445.00,0.00,10195.00,2195.00,6470.00,1530.00,700.00,205.00,410.00,80.00
"5937014",36490.00,35355.00,6600.00,28760.00,1135.00,36490.00,32330.00,4080.00,80.00,31130.00,6170.00,9240.00,15720.00,31130.00,18450.00,16710.00,1735.00,12685.00,15635.00,12565.00,825.00,340.00,1260.00,290.00,355.00,16420.00,11690.00,4730.00,0.00,36490.00,6705.00,22245.00,7535.00,6410.00,1490.00,3820.00,1100.00
