"census_id","HR_code","census_type"
"48010135",4831,"DA"
"48010136",4831,"DA"
"48010137",4831,"DA"
"48010138",4831,"DA"
"48010139",4831,"DA"
"48010140",4831,"DA"
"48010141",4831,"DA"
"48010142",4831,"DA"
"48010143",4831,"DA"
"48010144",4831,"DA"
"48010145",4831,"DA"
"48010146",4831,"DA"
"48010147",4831,"DA"
"48010148",4831,"DA"
"48010149",4831,"DA"
"48010150",4831,"DA"
"48010151",4831,"DA"
"48010152",4831,"DA"
"48010153",4831,"DA"
"48010154",4831,"DA"
"48010155",4831,"DA"
"48010156",4831,"DA"
"48010157",4831,"DA"
"48010158",4831,"DA"
"48010159",4831,"DA"
"48010160",4831,"DA"
"48010161",4831,"DA"
"48010163",4831,"DA"
"48010165",4831,"DA"
"48010166",4831,"DA"
"48010167",4831,"DA"
"48010168",4831,"DA"
"48010169",4831,"DA"
"48010170",4831,"DA"
"48010171",4831,"DA"
"48010172",4831,"DA"
"48010173",4831,"DA"
"48010174",4831,"DA"
"48010175",4831,"DA"
"48010176",4831,"DA"
"48010177",4831,"DA"
"48010178",4831,"DA"
"48010179",4831,"DA"
"48010180",4831,"DA"
"48010181",4831,"DA"
"48010182",4831,"DA"
"48010183",4831,"DA"
"48010184",4831,"DA"
"48010185",4831,"DA"
"48010186",4831,"DA"
"48010187",4831,"DA"
"48010188",4831,"DA"
"48010189",4831,"DA"
"48010190",4831,"DA"
"48010191",4831,"DA"
"48010192",4831,"DA"
"48010193",4831,"DA"
"48010194",4831,"DA"
"48010195",4831,"DA"
"48010196",4831,"DA"
"48010197",4831,"DA"
"48010198",4831,"DA"
"48010199",4831,"DA"
"48010200",4831,"DA"
"48010201",4831,"DA"
"48010202",4831,"DA"
"48010203",4831,"DA"
"48010204",4831,"DA"
"48010205",4831,"DA"
"48010206",4831,"DA"
"48010207",4831,"DA"
"48010208",4831,"DA"
"48010209",4831,"DA"
"48010210",4831,"DA"
"48010211",4831,"DA"
"48010212",4831,"DA"
"48010213",4831,"DA"
"48010215",4831,"DA"
"48010216",4831,"DA"
"48010217",4831,"DA"
"48010218",4831,"DA"
"48010219",4831,"DA"
"48010220",4831,"DA"
"48010221",4831,"DA"
"48010222",4831,"DA"
"48010223",4831,"DA"
"48010224",4831,"DA"
"48010225",4831,"DA"
"48010226",4831,"DA"
"48010227",4831,"DA"
"48010228",4831,"DA"
"48010229",4831,"DA"
"48010230",4831,"DA"
"48010231",4831,"DA"
"48010232",4831,"DA"
"48010233",4831,"DA"
"48010234",4831,"DA"
"48010235",4831,"DA"
"48010236",4831,"DA"
"48010237",4831,"DA"
"48010238",4831,"DA"
"48010239",4831,"DA"
"48010240",4831,"DA"
"48010241",4831,"DA"
"48010242",4831,"DA"
"48010243",4831,"DA"
"48010244",4831,"DA"
"48010245",4831,"DA"
"48010246",4831,"DA"
"48010247",4831,"DA"
"48010248",4831,"DA"
"48010249",4831,"DA"
"48010250",4831,"DA"
"48010251",4831,"DA"
"48010252",4831,"DA"
"48010253",4831,"DA"
"48010254",4831,"DA"
"48010255",4831,"DA"
"48010256",4831,"DA"
"48010257",4831,"DA"
"48010258",4831,"DA"
"48010259",4831,"DA"
"48010260",4831,"DA"
"48010261",4831,"DA"
"48010262",4831,"DA"
"48010263",4831,"DA"
"48020060",4831,"DA"
"48020061",4831,"DA"
"48020062",4831,"DA"
"48020063",4831,"DA"
"48020064",4831,"DA"
"48020065",4831,"DA"
"48020066",4831,"DA"
"48020067",4831,"DA"
"48020068",4831,"DA"
"48020069",4831,"DA"
"48020070",4831,"DA"
"48020071",4831,"DA"
"48020072",4831,"DA"
"48020073",4831,"DA"
"48020074",4831,"DA"
"48020075",4831,"DA"
"48020076",4831,"DA"
"48020077",4831,"DA"
"48020078",4831,"DA"
"48020080",4831,"DA"
"48020081",4831,"DA"
"48020082",4831,"DA"
"48020083",4831,"DA"
"48020084",4831,"DA"
"48020085",4831,"DA"
"48020086",4831,"DA"
"48020087",4831,"DA"
"48020088",4831,"DA"
"48020089",4831,"DA"
"48020090",4831,"DA"
"48020091",4831,"DA"
"48020092",4831,"DA"
"48020093",4831,"DA"
"48020094",4831,"DA"
"48020095",4831,"DA"
"48020096",4831,"DA"
"48020097",4831,"DA"
"48020098",4831,"DA"
"48020099",4831,"DA"
"48020100",4831,"DA"
"48020101",4831,"DA"
"48020102",4831,"DA"
"48020103",4831,"DA"
"48020104",4831,"DA"
"48020105",4831,"DA"
"48020106",4831,"DA"
"48020107",4831,"DA"
"48020108",4831,"DA"
"48020109",4831,"DA"
"48020110",4831,"DA"
"48020111",4831,"DA"
"48020112",4831,"DA"
"48020113",4831,"DA"
"48020114",4831,"DA"
"48020115",4831,"DA"
"48020116",4831,"DA"
"48020117",4831,"DA"
"48020118",4831,"DA"
"48020119",4831,"DA"
"48020120",4831,"DA"
"48020121",4831,"DA"
"48020122",4831,"DA"
"48020123",4831,"DA"
"48020124",4831,"DA"
"48020125",4831,"DA"
"48020126",4831,"DA"
"48020127",4831,"DA"
"48020128",4831,"DA"
"48020129",4831,"DA"
"48020130",4831,"DA"
"48020131",4831,"DA"
"48020132",4831,"DA"
"48020133",4831,"DA"
"48020134",4831,"DA"
"48020135",4831,"DA"
"48020136",4831,"DA"
"48020137",4831,"DA"
"48020138",4831,"DA"
"48020139",4831,"DA"
"48020140",4831,"DA"
"48020141",4831,"DA"
"48020142",4831,"DA"
"48020143",4831,"DA"
"48020145",4831,"DA"
"48020149",4831,"DA"
"48020150",4831,"DA"
"48020151",4831,"DA"
"48020152",4831,"DA"
"48020155",4831,"DA"
"48020156",4831,"DA"
"48020157",4831,"DA"
"48020159",4831,"DA"
"48020160",4831,"DA"
"48020161",4831,"DA"
"48020162",4831,"DA"
"48020163",4831,"DA"
"48020165",4831,"DA"
"48020166",4831,"DA"
"48020167",4831,"DA"
"48020169",4831,"DA"
"48020170",4831,"DA"
"48020171",4831,"DA"
"48020172",4831,"DA"
"48020173",4831,"DA"
"48020203",4831,"DA"
"48020204",4831,"DA"
"48020205",4831,"DA"
"48020207",4831,"DA"
"48020239",4831,"DA"
"48020240",4831,"DA"
"48020241",4831,"DA"
"48020242",4831,"DA"
"48020243",4831,"DA"
"48020244",4831,"DA"
"48020245",4831,"DA"
"48020246",4831,"DA"
"48020247",4831,"DA"
"48020248",4831,"DA"
"48020249",4831,"DA"
"48020250",4831,"DA"
"48020251",4831,"DA"
"48020252",4831,"DA"
"48020253",4831,"DA"
"48020254",4831,"DA"
"48020255",4831,"DA"
"48020256",4831,"DA"
"48020257",4831,"DA"
"48020258",4831,"DA"
"48020259",4831,"DA"
"48020260",4831,"DA"
"48020261",4831,"DA"
"48020262",4831,"DA"
"48020263",4831,"DA"
"48020264",4831,"DA"
"48020265",4831,"DA"
"48020266",4831,"DA"
"48020267",4831,"DA"
"48020268",4831,"DA"
"48020269",4831,"DA"
"48020270",4831,"DA"
"48020271",4831,"DA"
"48020272",4831,"DA"
"48020273",4831,"DA"
"48020274",4831,"DA"
"48020275",4831,"DA"
"48020276",4831,"DA"
"48020277",4831,"DA"
"48020278",4831,"DA"
"48020279",4831,"DA"
"48020280",4831,"DA"
"48020281",4831,"DA"
"48020283",4831,"DA"
"48020285",4831,"DA"
"48020286",4831,"DA"
"48020287",4831,"DA"
"48020288",4831,"DA"
"48020289",4831,"DA"
"48020291",4831,"DA"
"48020293",4831,"DA"
"48020295",4831,"DA"
"48020296",4831,"DA"
"48020297",4831,"DA"
"48020298",4831,"DA"
"48020299",4831,"DA"
"48020300",4831,"DA"
"48020301",4831,"DA"
"48020302",4831,"DA"
"48020303",4831,"DA"
"48020304",4831,"DA"
"48020305",4831,"DA"
"48020306",4831,"DA"
"48020307",4831,"DA"
"48020308",4831,"DA"
"48020309",4831,"DA"
"48020310",4831,"DA"
"48020311",4831,"DA"
"48020312",4831,"DA"
"48020313",4831,"DA"
"48020314",4831,"DA"
"48020317",4831,"DA"
"48020318",4831,"DA"
"48020319",4831,"DA"
"48020320",4831,"DA"
"48020321",4831,"DA"
"48020322",4831,"DA"
"48020323",4831,"DA"
"48020324",4831,"DA"
"48020325",4831,"DA"
"48020326",4831,"DA"
"48020327",4831,"DA"
"48020328",4831,"DA"
"48020329",4831,"DA"
"48020330",4831,"DA"
"48020331",4831,"DA"
"48020332",4831,"DA"
"48020333",4831,"DA"
"48020334",4831,"DA"
"48020335",4831,"DA"
"48020336",4831,"DA"
"48020337",4831,"DA"
"48020338",4831,"DA"
"48020339",4831,"DA"
"48020340",4831,"DA"
"48020341",4831,"DA"
"48020342",4831,"DA"
"48020343",4831,"DA"
"48020344",4831,"DA"
"48020345",4831,"DA"
"48020346",4831,"DA"
"48020347",4831,"DA"
"48020348",4831,"DA"
"48020349",4831,"DA"
"48020350",4831,"DA"
"48020351",4831,"DA"
"48020352",4831,"DA"
"48020353",4831,"DA"
"48020355",4831,"DA"
"48020356",4831,"DA"
"48020358",4831,"DA"
"48020359",4831,"DA"
"48020360",4831,"DA"
"48020361",4831,"DA"
"48020362",4831,"DA"
"48020364",4831,"DA"
"48020365",4831,"DA"
"48020366",4831,"DA"
"48020367",4831,"DA"
"48020368",4831,"DA"
"48020369",4831,"DA"
"48020370",4831,"DA"
"48020371",4831,"DA"
"48020372",4831,"DA"
"48020373",4831,"DA"
"48020374",4831,"DA"
"48020375",4831,"DA"
"48020376",4831,"DA"
"48020377",4831,"DA"
"48020378",4831,"DA"
"48020379",4831,"DA"
"48020382",4831,"DA"
"48020383",4831,"DA"
"48020384",4831,"DA"
"48020385",4831,"DA"
"48020387",4831,"DA"
"48020388",4831,"DA"
"48020390",4831,"DA"
"48020391",4831,"DA"
"48020393",4831,"DA"
"48020394",4831,"DA"
"48020395",4831,"DA"
"48020396",4831,"DA"
