"","Employment.HR_code","Employment.Nom","Employment.Den","Employment.Year"
"1",1011,142315,161575,2016
"2",1012,31555,41060,2016
"3",1013,27750,35165,2016
"4",1014,15075,18935,2016
"5",1100,68140,77665,2016
"6",1211,24300,26940,2016
"7",1212,24645,27815,2016
"8",1223,35425,39455,2016
"9",1234,34500,37880,2016
"10",1235,12105,13645,2016
"11",1246,18150,20765,2016
"12",1247,17605,20525,2016
"13",1258,42900,52495,2016
"14",1269,217660,235055,2016
"15",1301,100795,111975,2016
"16",1302,78160,87060,2016
"17",1303,81420,90365,2016
"18",1304,21385,23890,2016
"19",1305,9590,11335,2016
"20",1306,30795,36130,2016
"21",1307,22380,27655,2016
"22",2401,86005,94470,2016
"23",2402,120890,133490,2016
"24",2403,372415,392115,2016
"25",2404,230250,247980,2016
"26",2405,148900,159030,2016
"27",2406,927715,1019355,2016
"28",2407,189610,203850,2016
"29",2408,68650,74390,2016
"30",2409,40085,45735,2016
"31",2410,7085,7720,2016
"32",2411,35350,41775,2016
"33",2412,213635,223610,2016
"34",2413,208320,223995,2016
"35",2414,241775,258730,2016
"36",2415,292030,313130,2016
"37",2416,754955,802405,2016
"38",2417,5230,6175,2016
"39",2418,6450,7670,2016
"40",3526,46700,52085,2016
"41",3527,66060,70400,2016
"42",3530,324370,352755,2016
"43",3531,42090,44955,2016
"44",3533,76490,81440,2016
"45",3534,51915,55740,2016
"46",3535,78230,84915,2016
"47",3536,284735,302905,2016
"48",3537,259065,278645,2016
"49",3538,71415,76670,2016
"50",3539,29185,30820,2016
"51",3540,46190,49965,2016
"52",3541,91350,98500,2016
"53",3542,56485,61450,2016
"54",3543,79565,85730,2016
"55",3544,221965,239620,2016
"56",3546,209890,226580,2016
"57",3547,53360,59000,2016
"58",3549,33590,37460,2016
"59",3551,476540,513655,2016
"60",3552,56835,59685,2016
"61",3553,725335,788840,2016
"62",3554,41145,42870,2016
"63",3555,96105,104340,2016
"64",3556,38090,42095,2016
"65",3557,47515,51235,2016
"66",3558,96510,103345,2016
"67",3560,268065,288230,2016
"68",3561,90785,99535,2016
"69",3562,71610,78230,2016
"70",3563,14375,15800,2016
"71",3565,277795,296485,2016
"72",3566,159265,168420,2016
"73",3568,180790,195070,2016
"74",3570,565300,604205,2016
"75",3595,1361375,1483675,2016
"76",4601,366695,392110,2016
"77",4602,78765,84390,2016
"78",4603,58515,63365,2016
"79",4604,24200,28185,2016
"80",4605,90410,95465,2016
"81",4701,29790,31930,2016
"82",4702,28070,29565,2016
"83",4703,21885,22855,2016
"84",4704,147705,157090,2016
"85",4705,26905,28600,2016
"86",4706,182040,194710,2016
"87",4707,21665,22690,2016
"88",4708,19315,20880,2016
"89",4709,32950,36725,2016
"90",4710,33640,37750,2016
"91",4711,6030,7545,2016
"92",4712,2490,3440,2016
"93",4713,1240,1865,2016
"94",4831,137220,148635,2016
"95",4832,819810,902520,2016
"96",4833,228200,252860,2016
"97",4834,694170,758450,2016
"98",4835,217880,241605,2016
"99",5911,38290,41600,2016
"100",5912,36360,39765,2016
"101",5913,169275,183150,2016
"102",5914,100845,110595,2016
"103",5921,138915,148940,2016
"104",5922,335455,356325,2016
"105",5923,391735,416705,2016
"106",5931,96715,102730,2016
"107",5932,356215,377745,2016
"108",5933,143580,152370,2016
"109",5941,194510,205930,2016
"110",5942,117420,127430,2016
"111",5943,54180,59420,2016
"112",5951,34155,39140,2016
"113",5952,68955,76700,2016
"114",5953,33415,38080,2016
"115",6001,19720,21730,2016
"116",6101,21390,23900,2016
"117",6201,12815,16340,2016
