"","Edu_lowerthanhigh.HR_code","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1011,50090,262945,2016
"2",1012,25405,79245,2016
"3",1013,18355,65960,2016
"4",1014,8745,29605,2016
"5",1100,22430,117040,2016
"6",1211,12175,49465,2016
"7",1212,15150,47520,2016
"8",1223,14410,67900,2016
"9",1234,13250,61385,2016
"10",1235,6200,25260,2016
"11",1246,8155,36480,2016
"12",1247,8140,35670,2016
"13",1258,22975,98170,2016
"14",1269,53150,352790,2016
"15",1301,35675,173395,2016
"16",1302,25895,140135,2016
"17",1303,25045,143010,2016
"18",1304,11140,39720,2016
"19",1305,6385,21480,2016
"20",1306,22140,65585,2016
"21",1307,14775,48835,2016
"22",2401,38470,161400,2016
"23",2402,46015,226355,2016
"24",2403,87990,599900,2016
"25",2404,97885,414380,2016
"26",2405,56260,259025,2016
"27",2406,268115,1590970,2016
"28",2407,65405,309040,2016
"29",2408,33265,118070,2016
"30",2409,21965,75240,2016
"31",2410,3025,11200,2016
"32",2411,23675,76895,2016
"33",2412,73660,338460,2016
"34",2413,64060,337495,2016
"35",2414,90815,400010,2016
"36",2415,100850,479660,2016
"37",2416,240480,1216080,2016
"38",2417,5080,8715,2016
"39",2418,6015,11745,2016
"40",3526,20045,95260,2016
"41",3527,22505,108630,2016
"42",3530,84840,523485,2016
"43",3531,17840,70935,2016
"44",3533,28650,134295,2016
"45",3534,20525,90055,2016
"46",3535,29670,151565,2016
"47",3536,53910,433770,2016
"48",3537,87875,441055,2016
"49",3538,28145,133915,2016
"50",3539,11745,47875,2016
"51",3540,19980,83060,2016
"52",3541,24060,159480,2016
"53",3542,17605,105010,2016
"54",3543,24640,141650,2016
"55",3544,62720,373775,2016
"56",3546,67790,371560,2016
"57",3547,21610,103560,2016
"58",3549,17275,60550,2016
"59",3551,93230,761420,2016
"60",3552,21005,89450,2016
"61",3553,201150,1168165,2016
"62",3554,14665,61420,2016
"63",3555,32765,178755,2016
"64",3556,19910,69170,2016
"65",3557,16060,83865,2016
"66",3558,35105,165355,2016
"67",3560,84205,445075,2016
"68",3561,34065,162885,2016
"69",3562,29860,130795,2016
"70",3563,7625,27600,2016
"71",3565,80855,432130,2016
"72",3566,44870,240150,2016
"73",3568,62030,324325,2016
"74",3570,144850,905545,2016
"75",3595,377340,2294785,2016
"76",4601,98855,584480,2016
"77",4602,32805,127675,2016
"78",4603,26610,102170,2016
"79",4604,22060,49625,2016
"80",4605,41125,140075,2016
"81",4701,10075,44365,2016
"82",4702,9115,43770,2016
"83",4703,6935,32150,2016
"84",4704,37190,224305,2016
"85",4705,11365,44610,2016
"86",4706,45145,275680,2016
"87",4707,7130,32265,2016
"88",4708,9530,33490,2016
"89",4709,15755,58950,2016
"90",4710,15375,56535,2016
"91",4711,7555,15325,2016
"92",4712,3670,7335,2016
"93",4713,2080,3420,2016
"94",4831,48580,221485,2016
"95",4832,171765,1237415,2016
"96",4833,76960,359870,2016
"97",4834,162845,1055135,2016
"98",4835,81485,333900,2016
"99",5911,11290,66635,2016
"100",5912,11140,67680,2016
"101",5913,50250,304480,2016
"102",5914,34830,182960,2016
"103",5921,48690,234895,2016
"104",5922,69130,537085,2016
"105",5923,111290,638030,2016
"106",5931,22465,169445,2016
"107",5932,69825,561185,2016
"108",5933,25590,237080,2016
"109",5941,38385,323125,2016
"110",5942,38125,227170,2016
"111",5943,18055,102055,2016
"112",5951,14710,59240,2016
"113",5952,26215,114830,2016
"114",5953,12570,52225,2016
"115",6001,4645,28750,2016
"116",6101,8865,32290,2016
"117",6201,12130,23940,2016
