"","Language_FrEn.census_id","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1,32525250,33121175,2011
"2",10,509325,509950,2011
"3",11,137720,138435,2011
"4",12,908990,910620,2011
"5",13,738940,739895,2011
"6",24,7739760,7815955,2011
"7",35,12423145,12722065,2011
"8",46,1178960,1193100,2011
"9",47,1012925,1018310,2011
"10",48,3560585,3610185,2011
"11",59,4211640,4356210,2011
"12",60,33555,33655,2011
"13",61,40810,41040,2011
"14",62,28915,31765,2011
