"","Immigrant_type.census_id","Immigrant_type.Nom","Immigrant_type.Den","Immigrant_type.Year"
"1",1,7540830,34460065,2016
"2",10,12075,512250,2016
"3",11,8940,139685,2016
"4",12,55680,908340,2016
"5",13,33810,730705,2016
"6",24,1091305,7965450,2016
"7",35,3852145,13242160,2016
"8",46,227465,1240700,2016
"9",47,112495,1070560,2016
"10",48,845215,3978145,2016
"11",59,1292670,4560240,2016
"12",60,4410,35110,2016
"13",61,3690,41135,2016
"14",62,920,35580,2016
