"","Household_type.HR_code","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1011,85945,114760,2006
"2",1012,30075,37020,2006
"3",1013,24365,31365,2006
"4",1014,10990,13300,2006
"5",1100,38545,53075,2006
"6",1211,18050,24755,2006
"7",1212,18270,25195,2006
"8",1223,24165,33385,2006
"9",1234,21345,29245,2006
"10",1235,9450,13605,2006
"11",1246,13570,19285,2006
"12",1247,12870,17880,2006
"13",1258,35860,50850,2006
"14",1269,108685,162060,2006
"15",1301,56220,78135,2006
"16",1302,48850,68305,2006
"17",1303,47830,66535,2006
"18",1304,15115,20730,2006
"19",1305,8270,11685,2006
"20",1306,23520,32315,2006
"21",1307,13390,17985,2006
"22",2401,57385,85650,2006
"23",2402,79610,114425,2006
"24",2403,183305,295255,2006
"25",2404,136750,210255,2006
"26",2405,83550,129345,2006
"27",2406,467315,831530,2006
"28",2407,97375,140165,2006
"29",2408,41140,60675,2006
"30",2409,27620,39180,2006
"31",2410,4470,6115,2006
"32",2411,27945,39305,2006
"33",2412,113205,160900,2006
"34",2413,103820,144200,2006
"35",2414,125060,169665,2006
"36",2415,148590,206750,2006
"37",2416,390700,547645,2006
"38",2417,2020,2605,2006
"39",2418,2815,3220,2006
"40",3526,34185,49520,2006
"41",3527,34890,47855,2006
"42",3530,154965,194670,2006
"43",3531,24205,32205,2006
"44",3533,46200,63505,2006
"45",3534,31035,40555,2006
"46",3535,50920,68025,2006
"47",3536,123425,157075,2006
"48",3537,137110,194460,2006
"49",3538,45745,62935,2006
"50",3539,16820,22895,2006
"51",3540,30920,43670,2006
"52",3541,51875,74720,2006
"53",3542,36935,51700,2006
"54",3543,48190,65070,2006
"55",3544,115505,170410,2006
"56",3546,120955,169495,2006
"57",3547,36140,51070,2006
"58",3549,21560,29400,2006
"59",3551,217815,321100,2006
"60",3552,29235,39320,2006
"61",3553,298180,359060,2006
"62",3554,20680,28555,2006
"63",3555,38010,53390,2006
"64",3556,23345,32980,2006
"65",3557,28715,39810,2006
"66",3558,55165,74350,2006
"67",3560,136445,179790,2006
"68",3561,55905,79175,2006
"69",3562,45515,65820,2006
"70",3563,9895,14465,2006
"71",3565,130835,178115,2006
"72",3566,70650,93450,2006
"73",3568,107355,150845,2006
"74",3570,236390,275550,2006
"75",3595,634875,979440,2006
"76",4601,171215,264530,2006
"77",4602,42740,63960,2006
"78",4603,33490,44505,2006
"79",4604,15965,20835,2006
"80",4605,41195,54330,2006
"81",4701,14625,21235,2006
"82",4702,14890,22370,2006
"83",4703,11175,16565,2006
"84",4704,64935,97525,2006
"85",4705,15485,23580,2006
"86",4706,76570,115480,2006
"87",4707,11080,16380,2006
"88",4708,11765,16965,2006
"89",4709,20045,27870,2006
"90",4710,17675,24560,2006
"91",4711,4125,5135,2006
"92",4712,2485,3190,2006
"93",4713,760,955,2006
"94",4831,69340,97850,2006
"95",4832,320020,459635,2006
"96",4833,111690,154920,2006
"97",4834,278050,407265,2006
"98",4835,99865,133455,2006
"99",5911,22300,32035,2006
"100",5912,22060,33355,2006
"101",5913,91470,131195,2006
"102",5914,57860,81335,2006
"103",5921,68260,94000,2006
"104",5922,144895,206475,2006
"105",5923,165110,217845,2006
"106",5931,47030,61430,2006
"107",5932,141000,258345,2006
"108",5933,71070,103820,2006
"109",5941,93870,151285,2006
"110",5942,72220,103715,2006
"111",5943,32130,45800,2006
"112",5951,19925,27760,2006
"113",5952,38980,54430,2006
"114",5953,16810,23475,2006
"115",6001,8140,12545,2006
"116",6101,10370,14215,2006
"117",6201,6120,7845,2006
