"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"191","3570","/0-4years;Males","30045","Male",2011
"192","3595","/0-4years;Males","72085","Male",2011
"193","4601","/0-4years;Males","18980","Male",2011
"194","4602","/0-4years;Males","5040","Male",2011
"195","4603","/0-4years;Males","3795","Male",2011
"196","4604","/0-4years;Males","3870","Male",2011
"197","4605","/0-4years;Males","7035","Male",2011
"198","4701","/0-4years;Males","1770","Male",2011
"199","4702","/0-4years;Males","1565","Male",2011
"200","4703","/0-4years;Males","1120","Male",2011
"201","4704","/0-4years;Males","8195","Male",2011
"202","4705","/0-4years;Males","1535","Male",2011
"203","4706","/0-4years;Males","10160","Male",2011
"204","4707","/0-4years;Males","1255","Male",2011
"205","4708","/0-4years;Males","1270","Male",2011
"206","4709","/0-4years;Males","2690","Male",2011
"207","4710","/0-4years;Males","2705","Male",2011
"208","4711","/0-4years;Males","1175","Male",2011
"209","4712","/0-4years;Males","575","Male",2011
"210","4713","/0-4years;Males","210","Male",2011
"211","4831","/0-4years;Males","9885","Male",2011
"212","4832","/0-4years;Males","46510","Male",2011
"213","4833","/0-4years;Males","14885","Male",2011
"214","4834","/0-4years;Males","37600","Male",2011
"215","4835","/0-4years;Males","16740","Male",2011
"216","5911","/0-4years;Males","2025","Male",2011
"217","5912","/0-4years;Males","1835","Male",2011
"218","5913","/0-4years;Males","7620","Male",2011
"219","5914","/0-4years;Males","5370","Male",2011
"220","5921","/0-4years;Males","8835","Male",2011
"221","5922","/0-4years;Males","16210","Male",2011
"222","5923","/0-4years;Males","21615","Male",2011
"223","5931","/0-4years;Males","4270","Male",2011
"224","5932","/0-4years;Males","13145","Male",2011
"225","5933","/0-4years;Males","6425","Male",2011
"226","5941","/0-4years;Males","7835","Male",2011
"227","5942","/0-4years;Males","5830","Male",2011
"228","5943","/0-4years;Males","2880","Male",2011
"229","5951","/0-4years;Males","2275","Male",2011
"230","5952","/0-4years;Males","4425","Male",2011
"231","5953","/0-4years;Males","2595","Male",2011
"232","6001","/0-4years;Males","1000","Male",2011
"233","6101","/0-4years;Males","1635","Male",2011
"234","6201","/0-4years;Males","1990","Male",2011
"235","1011","/10-14years;Males","8190","Male",2011
"236","1012","/10-14years;Males","2460","Male",2011
"237","1013","/10-14years;Males","1980","Male",2011
"238","1014","/10-14years;Males","1150","Male",2011
"239","1100","/10-14years;Males","4290","Male",2011
"240","1211","/10-14years;Males","1475","Male",2011
"241","1212","/10-14years;Males","1565","Male",2011
"242","1223","/10-14years;Males","2395","Male",2011
"243","1234","/10-14years;Males","2320","Male",2011
"244","1235","/10-14years;Males","890","Male",2011
"245","1246","/10-14years;Males","1305","Male",2011
"246","1247","/10-14years;Males","1205","Male",2011
"247","1258","/10-14years;Males","3310","Male",2011
"248","1269","/10-14years;Males","11090","Male",2011
"249","1301","/10-14years;Males","5270","Male",2011
"250","1302","/10-14years;Males","5210","Male",2011
"251","1303","/10-14years;Males","5215","Male",2011
"252","1304","/10-14years;Males","1260","Male",2011
"253","1305","/10-14years;Males","665","Male",2011
"254","1306","/10-14years;Males","1915","Male",2011
"255","1307","/10-14years;Males","1265","Male",2011
"256","2401","/10-14years;Males","4800","Male",2011
"257","2402","/10-14years;Males","6975","Male",2011
"258","2403","/10-14years;Males","16265","Male",2011
"259","2404","/10-14years;Males","12745","Male",2011
"260","2405","/10-14years;Males","8705","Male",2011
"261","2406","/10-14years;Males","46365","Male",2011
"262","2407","/10-14years;Males","10595","Male",2011
"263","2408","/10-14years;Males","4350","Male",2011
"264","2409","/10-14years;Males","2655","Male",2011
"265","2410","/10-14years;Males","440","Male",2011
"266","2411","/10-14years;Males","2090","Male",2011
"267","2412","/10-14years;Males","11180","Male",2011
"268","2413","/10-14years;Males","12100","Male",2011
"269","2414","/10-14years;Males","14005","Male",2011
"270","2415","/10-14years;Males","16825","Male",2011
"271","2416","/10-14years;Males","41795","Male",2011
"272","2417","/10-14years;Males","655","Male",2011
"273","2418","/10-14years;Males","785","Male",2011
"274","3526","/10-14years;Males","3045","Male",2011
"275","3527","/10-14years;Males","4135","Male",2011
"276","3530","/10-14years;Males","21055","Male",2011
"277","3531","/10-14years;Males","2975","Male",2011
"278","3533","/10-14years;Males","4355","Male",2011
"279","3534","/10-14years;Males","3290","Male",2011
"280","3535","/10-14years;Males","4590","Male",2011
"281","3536","/10-14years;Males","16850","Male",2011
"282","3537","/10-14years;Males","15685","Male",2011
"283","3538","/10-14years;Males","4355","Male",2011
"284","3539","/10-14years;Males","1850","Male",2011
"285","3540","/10-14years;Males","3215","Male",2011
"286","3541","/10-14years;Males","5170","Male",2011
"287","3542","/10-14years;Males","3480","Male",2011
"288","3543","/10-14years;Males","4845","Male",2011
"289","3544","/10-14years;Males","12855","Male",2011
"290","3546","/10-14years;Males","12300","Male",2011
"291","3547","/10-14years;Males","3340","Male",2011
"292","3549","/10-14years;Males","2505","Male",2011
"293","3551","/10-14years;Males","25690","Male",2011
"294","3552","/10-14years;Males","3485","Male",2011
"295","3553","/10-14years;Males","47085","Male",2011
"296","3554","/10-14years;Males","2485","Male",2011
"297","3555","/10-14years;Males","3545","Male",2011
"298","3556","/10-14years;Males","2755","Male",2011
"299","3557","/10-14years;Males","2825","Male",2011
"300","3558","/10-14years;Males","5865","Male",2011
"301","3560","/10-14years;Males","15730","Male",2011
"302","3561","/10-14years;Males","5620","Male",2011
"303","3562","/10-14years;Males","4370","Male",2011
"304","3563","/10-14years;Males","1040","Male",2011
"305","3565","/10-14years;Males","16020","Male",2011
"306","3566","/10-14years;Males","8880","Male",2011
"307","3568","/10-14years;Males","12630","Male",2011
"308","3570","/10-14years;Males","35475","Male",2011
"309","3595","/10-14years;Males","67765","Male",2011
"310","4601","/10-14years;Males","20785","Male",2011
"311","4602","/10-14years;Males","5000","Male",2011
"312","4603","/10-14years;Males","4455","Male",2011
"313","4604","/10-14years;Males","3170","Male",2011
"314","4605","/10-14years;Males","7155","Male",2011
"315","4701","/10-14years;Males","1745","Male",2011
"316","4702","/10-14years;Males","1575","Male",2011
"317","4703","/10-14years;Males","1340","Male",2011
"318","4704","/10-14years;Males","7675","Male",2011
"319","4705","/10-14years;Males","1565","Male",2011
"320","4706","/10-14years;Males","9585","Male",2011
"321","4707","/10-14years;Males","1295","Male",2011
"322","4708","/10-14years;Males","1375","Male",2011
"323","4709","/10-14years;Males","2715","Male",2011
"324","4710","/10-14years;Males","2475","Male",2011
"325","4711","/10-14years;Males","1000","Male",2011
"326","4712","/10-14years;Males","530","Male",2011
"327","4713","/10-14years;Males","180","Male",2011
"328","4831","/10-14years;Males","8970","Male",2011
"329","4832","/10-14years;Males","41225","Male",2011
"330","4833","/10-14years;Males","14465","Male",2011
"331","4834","/10-14years;Males","33960","Male",2011
"332","4835","/10-14years;Males","14660","Male",2011
"333","5911","/10-14years;Males","2055","Male",2011
"334","5912","/10-14years;Males","2105","Male",2011
"335","5913","/10-14years;Males","9005","Male",2011
"336","5914","/10-14years;Males","5970","Male",2011
"337","5921","/10-14years;Males","9125","Male",2011
"338","5922","/10-14years;Males","16900","Male",2011
"339","5923","/10-14years;Males","24080","Male",2011
"340","5931","/10-14years;Males","5115","Male",2011
"341","5932","/10-14years;Males","12885","Male",2011
"342","5933","/10-14years;Males","7905","Male",2011
"343","5941","/10-14years;Males","8275","Male",2011
"344","5942","/10-14years;Males","6765","Male",2011
"345","5943","/10-14years;Males","3290","Male",2011
"346","5951","/10-14years;Males","2590","Male",2011
"347","5952","/10-14years;Males","4610","Male",2011
"348","5953","/10-14years;Males","2290","Male",2011
"349","6001","/10-14years;Males","1010","Male",2011
"350","6101","/10-14years;Males","1440","Male",2011
"351","6201","/10-14years;Males","1560","Male",2011
"352","1011","/15-19years;Males","8910","Male",2011
"353","1012","/15-19years;Males","2620","Male",2011
"354","1013","/15-19years;Males","2370","Male",2011
"355","1014","/15-19years;Males","1260","Male",2011
"356","1100","/15-19years;Males","4905","Male",2011
"357","1211","/15-19years;Males","1720","Male",2011
"358","1212","/15-19years;Males","1810","Male",2011
"359","1223","/15-19years;Males","2685","Male",2011
"360","1234","/15-19years;Males","2575","Male",2011
"361","1235","/15-19years;Males","935","Male",2011
"362","1246","/15-19years;Males","1425","Male",2011
"363","1247","/15-19years;Males","1435","Male",2011
"364","1258","/15-19years;Males","3970","Male",2011
"365","1269","/15-19years;Males","12710","Male",2011
"366","1301","/15-19years;Males","5980","Male",2011
"367","1302","/15-19years;Males","6180","Male",2011
"368","1303","/15-19years;Males","5610","Male",2011
"369","1304","/15-19years;Males","1385","Male",2011
"370","1305","/15-19years;Males","795","Male",2011
"371","1306","/15-19years;Males","2235","Male",2011
"372","1307","/15-19years;Males","1375","Male",2011
"373","2401","/15-19years;Males","5855","Male",2011
"374","2402","/15-19years;Males","8635","Male",2011
"375","2403","/15-19years;Males","19745","Male",2011
"376","2404","/15-19years;Males","15265","Male",2011
"377","2405","/15-19years;Males","9690","Male",2011
"378","2406","/15-19years;Males","52540","Male",2011
"379","2407","/15-19years;Males","12355","Male",2011
"380","2408","/15-19years;Males","5010","Male",2011
"381","2409","/15-19years;Males","3210","Male",2011
"382","2410","/15-19years;Males","505","Male",2011
"383","2411","/15-19years;Males","2620","Male",2011
"384","2412","/15-19years;Males","12820","Male",2011
"385","2413","/15-19years;Males","13965","Male",2011
"386","2414","/15-19years;Males","17050","Male",2011
"387","2415","/15-19years;Males","19625","Male",2011
"388","2416","/15-19years;Males","49430","Male",2011
"389","2417","/15-19years;Males","635","Male",2011
"390","2418","/15-19years;Males","745","Male",2011
"391","3526","/15-19years;Males","3625","Male",2011
"392","3527","/15-19years;Males","4460","Male",2011
"393","3530","/15-19years;Males","24120","Male",2011
"394","3531","/15-19years;Males","3055","Male",2011
"395","3533","/15-19years;Males","5150","Male",2011
"396","3534","/15-19years;Males","3895","Male",2011
"397","3535","/15-19years;Males","5570","Male",2011
"398","3536","/15-19years;Males","17740","Male",2011
"399","3537","/15-19years;Males","18690","Male",2011
"400","3538","/15-19years;Males","5315","Male",2011
"401","3539","/15-19years;Males","2085","Male",2011
"402","3540","/15-19years;Males","3520","Male",2011
"403","3541","/15-19years;Males","6350","Male",2011
"404","3542","/15-19years;Males","4335","Male",2011
"405","3543","/15-19years;Males","5735","Male",2011
"406","3544","/15-19years;Males","15605","Male",2011
"407","3546","/15-19years;Males","14545","Male",2011
"408","3547","/15-19years;Males","3930","Male",2011
"409","3549","/15-19years;Males","2740","Male",2011
"410","3551","/15-19years;Males","29675","Male",2011
"411","3552","/15-19years;Males","3710","Male",2011
"412","3553","/15-19years;Males","50720","Male",2011
"413","3554","/15-19years;Males","2750","Male",2011
"414","3555","/15-19years;Males","4380","Male",2011
"415","3556","/15-19years;Males","2985","Male",2011
"416","3557","/15-19years;Males","3270","Male",2011
"417","3558","/15-19years;Males","7070","Male",2011
"418","3560","/15-19years;Males","18020","Male",2011
"419","3561","/15-19years;Males","6510","Male",2011
"420","3562","/15-19years;Males","5115","Male",2011
"421","3563","/15-19years;Males","1120","Male",2011
"422","3565","/15-19years;Males","17715","Male",2011
"423","3566","/15-19years;Males","9820","Male",2011
"424","3568","/15-19years;Males","13790","Male",2011
"425","3570","/15-19years;Males","39320","Male",2011
"426","3595","/15-19years;Males","76850","Male",2011
"427","4601","/15-19years;Males","23170","Male",2011
"428","4602","/15-19years;Males","5435","Male",2011
"429","4603","/15-19years;Males","4815","Male",2011
"430","4604","/15-19years;Males","3165","Male",2011
"431","4605","/15-19years;Males","7420","Male",2011
"432","4701","/15-19years;Males","1905","Male",2011
"433","4702","/15-19years;Males","1715","Male",2011
"434","4703","/15-19years;Males","1500","Male",2011
"435","4704","/15-19years;Males","8595","Male",2011
"436","4705","/15-19years;Males","1745","Male",2011
"437","4706","/15-19years;Males","10825","Male",2011
"438","4707","/15-19years;Males","1505","Male",2011
"439","4708","/15-19years;Males","1455","Male",2011
"440","4709","/15-19years;Males","2915","Male",2011
"441","4710","/15-19years;Males","2550","Male",2011
"442","4711","/15-19years;Males","970","Male",2011
"443","4712","/15-19years;Males","520","Male",2011
"444","4713","/15-19years;Males","185","Male",2011
"445","4831","/15-19years;Males","9725","Male",2011
"446","4832","/15-19years;Males","43665","Male",2011
"447","4833","/15-19years;Males","15325","Male",2011
"448","4834","/15-19years;Males","37705","Male",2011
"449","4835","/15-19years;Males","15460","Male",2011
"450","5911","/15-19years;Males","2320","Male",2011
"451","5912","/15-19years;Males","2410","Male",2011
"452","5913","/15-19years;Males","10265","Male",2011
"453","5914","/15-19years;Males","6875","Male",2011
"454","5921","/15-19years;Males","9915","Male",2011
"455","5922","/15-19years;Males","20365","Male",2011
"456","5923","/15-19years;Males","26370","Male",2011
"457","5931","/15-19years;Males","6520","Male",2011
"458","5932","/15-19years;Males","15600","Male",2011
"459","5933","/15-19years;Males","8940","Male",2011
"460","5941","/15-19years;Males","10110","Male",2011
"461","5942","/15-19years;Males","7935","Male",2011
"462","5943","/15-19years;Males","3635","Male",2011
"463","5951","/15-19years;Males","2890","Male",2011
"464","5952","/15-19years;Males","5220","Male",2011
"465","5953","/15-19years;Males","2420","Male",2011
"466","6001","/15-19years;Males","1130","Male",2011
"467","6101","/15-19years;Males","1745","Male",2011
"468","6201","/15-19years;Males","1560","Male",2011
"469","1011","/20-24years;Males","10110","Male",2011
"470","1012","/20-24years;Males","1940","Male",2011
"471","1013","/20-24years;Males","1890","Male",2011
"472","1014","/20-24years;Males","1150","Male",2011
"473","1100","/20-24years;Males","4310","Male",2011
"474","1211","/20-24years;Males","1340","Male",2011
"475","1212","/20-24years;Males","1385","Male",2011
"476","1223","/20-24years;Males","2285","Male",2011
"477","1234","/20-24years;Males","2045","Male",2011
"478","1235","/20-24years;Males","740","Male",2011
"479","1246","/20-24years;Males","1210","Male",2011
"480","1247","/20-24years;Males","1265","Male",2011
"481","1258","/20-24years;Males","3680","Male",2011
"482","1269","/20-24years;Males","16090","Male",2011
"483","1301","/20-24years;Males","6320","Male",2011
"484","1302","/20-24years;Males","5340","Male",2011
"485","1303","/20-24years;Males","6060","Male",2011
"486","1304","/20-24years;Males","1290","Male",2011
"487","1305","/20-24years;Males","600","Male",2011
"488","1306","/20-24years;Males","1890","Male",2011
"489","1307","/20-24years;Males","1205","Male",2011
"490","2401","/20-24years;Males","5455","Male",2011
"491","2402","/20-24years;Males","8305","Male",2011
"492","2403","/20-24years;Males","23055","Male",2011
"493","2404","/20-24years;Males","14495","Male",2011
"494","2405","/20-24years;Males","10025","Male",2011
"495","2406","/20-24years;Males","66040","Male",2011
"496","2407","/20-24years;Males","11610","Male",2011
"497","2408","/20-24years;Males","4545","Male",2011
"498","2409","/20-24years;Males","2640","Male",2011
"499","2410","/20-24years;Males","425","Male",2011
"500","2411","/20-24years;Males","2060","Male",2011
"501","2412","/20-24years;Males","11730","Male",2011
"502","2413","/20-24years;Males","12530","Male",2011
"503","2414","/20-24years;Males","13880","Male",2011
"504","2415","/20-24years;Males","16115","Male",2011
"505","2416","/20-24years;Males","42660","Male",2011
"506","2417","/20-24years;Males","575","Male",2011
"507","2418","/20-24years;Males","610","Male",2011
"508","3526","/20-24years;Males","3355","Male",2011
"509","3527","/20-24years;Males","3930","Male",2011
"510","3530","/20-24years;Males","20385","Male",2011
"511","3531","/20-24years;Males","2530","Male",2011
"512","3533","/20-24years;Males","4525","Male",2011
"513","3534","/20-24years;Males","3350","Male",2011
"514","3535","/20-24years;Males","4565","Male",2011
"515","3536","/20-24years;Males","14630","Male",2011
"516","3537","/20-24years;Males","18515","Male",2011
"517","3538","/20-24years;Males","4440","Male",2011
"518","3539","/20-24years;Males","1695","Male",2011
"519","3540","/20-24years;Males","3090","Male",2011
"520","3541","/20-24years;Males","7390","Male",2011
"521","3542","/20-24years;Males","4035","Male",2011
"522","3543","/20-24years;Males","4355","Male",2011
"523","3544","/20-24years;Males","16275","Male",2011
"524","3546","/20-24years;Males","13945","Male",2011
"525","3547","/20-24years;Males","3880","Male",2011
"526","3549","/20-24years;Males","2220","Male",2011
"527","3551","/20-24years;Males","33100","Male",2011
"528","3552","/20-24years;Males","3110","Male",2011
"529","3553","/20-24years;Males","45755","Male",2011
"530","3554","/20-24years;Males","2395","Male",2011
"531","3555","/20-24years;Males","4680","Male",2011
"532","3556","/20-24years;Males","2525","Male",2011
"533","3557","/20-24years;Males","3415","Male",2011
"534","3558","/20-24years;Males","5620","Male",2011
"535","3560","/20-24years;Males","15540","Male",2011
"536","3561","/20-24years;Males","6050","Male",2011
"537","3562","/20-24years;Males","4935","Male",2011
"538","3563","/20-24years;Males","925","Male",2011
"539","3565","/20-24years;Males","19070","Male",2011
"540","3566","/20-24years;Males","9050","Male",2011
"541","3568","/20-24years;Males","12945","Male",2011
"542","3570","/20-24years;Males","35190","Male",2011
"543","3595","/20-24years;Males","90730","Male",2011
"544","4601","/20-24years;Males","24770","Male",2011
"545","4602","/20-24years;Males","5000","Male",2011
"546","4603","/20-24years;Males","3665","Male",2011
"547","4604","/20-24years;Males","2610","Male",2011
"548","4605","/20-24years;Males","5530","Male",2011
"549","4701","/20-24years;Males","1855","Male",2011
"550","4702","/20-24years;Males","1715","Male",2011
"551","4703","/20-24years;Males","1165","Male",2011
"552","4704","/20-24years;Males","8945","Male",2011
"553","4705","/20-24years;Males","1300","Male",2011
"554","4706","/20-24years;Males","13090","Male",2011
"555","4707","/20-24years;Males","1135","Male",2011
"556","4708","/20-24years;Males","995","Male",2011
"557","4709","/20-24years;Males","2280","Male",2011
"558","4710","/20-24years;Males","2480","Male",2011
"559","4711","/20-24years;Males","810","Male",2011
"560","4712","/20-24years;Males","410","Male",2011
"561","4713","/20-24years;Males","180","Male",2011
"562","4831","/20-24years;Males","9530","Male",2011
"563","4832","/20-24years;Males","46915","Male",2011
"564","4833","/20-24years;Males","14285","Male",2011
"565","4834","/20-24years;Males","45600","Male",2011
"566","4835","/20-24years;Males","15050","Male",2011
"567","5911","/20-24years;Males","1900","Male",2011
"568","5912","/20-24years;Males","1795","Male",2011
"569","5913","/20-24years;Males","9870","Male",2011
"570","5914","/20-24years;Males","6400","Male",2011
"571","5921","/20-24years;Males","8855","Male",2011
"572","5922","/20-24years;Males","22055","Male",2011
"573","5923","/20-24years;Males","23100","Male",2011
"574","5931","/20-24years;Males","7100","Male",2011
"575","5932","/20-24years;Males","22645","Male",2011
"576","5933","/20-24years;Males","7980","Male",2011
"577","5941","/20-24years;Males","11745","Male",2011
"578","5942","/20-24years;Males","6650","Male",2011
"579","5943","/20-24years;Males","2875","Male",2011
"580","5951","/20-24years;Males","2245","Male",2011
"581","5952","/20-24years;Males","4555","Male",2011
"582","5953","/20-24years;Males","2545","Male",2011
"583","6001","/20-24years;Males","1155","Male",2011
"584","6101","/20-24years;Males","1665","Male",2011
"585","6201","/20-24years;Males","1520","Male",2011
"586","1011","/25-29years;Males","9275","Male",2011
"587","1012","/25-29years;Males","1680","Male",2011
"588","1013","/25-29years;Males","1540","Male",2011
"589","1014","/25-29years;Males","1075","Male",2011
"590","1100","/25-29years;Males","3540","Male",2011
"591","1211","/25-29years;Males","1125","Male",2011
"592","1212","/25-29years;Males","1140","Male",2011
"593","1223","/25-29years;Males","1835","Male",2011
"594","1234","/25-29years;Males","1685","Male",2011
"595","1235","/25-29years;Males","640","Male",2011
"596","1246","/25-29years;Males","980","Male",2011
"597","1247","/25-29years;Males","960","Male",2011
"598","1258","/25-29years;Males","2645","Male",2011
"599","1269","/25-29years;Males","14380","Male",2011
"600","1301","/25-29years;Males","6275","Male",2011
"601","1302","/25-29years;Males","4445","Male",2011
"602","1303","/25-29years;Males","5435","Male",2011
"603","1304","/25-29years;Males","1195","Male",2011
"604","1305","/25-29years;Males","515","Male",2011
"605","1306","/25-29years;Males","1720","Male",2011
"606","1307","/25-29years;Males","980","Male",2011
