"","Journey_towork.HR_code","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1011,6190,135045,2016
"2",1012,1620,29990,2016
"3",1013,1725,26430,2016
"4",1014,890,14535,2016
"5",1100,3680,63070,2016
"6",1211,1045,22165,2016
"7",1212,920,23235,2016
"8",1223,1825,32235,2016
"9",1234,1355,31975,2016
"10",1235,615,11120,2016
"11",1246,650,17175,2016
"12",1247,855,16415,2016
"13",1258,1875,40890,2016
"14",1269,18185,202355,2016
"15",1301,5335,94210,2016
"16",1302,3720,73500,2016
"17",1303,4200,76080,2016
"18",1304,755,20030,2016
"19",1305,385,9145,2016
"20",1306,945,29105,2016
"21",1307,740,21300,2016
"22",2401,6730,79350,2016
"23",2402,6105,114720,2016
"24",2403,28505,350160,2016
"25",2404,13950,213740,2016
"26",2405,9280,136445,2016
"27",2406,100075,857515,2016
"28",2407,10570,177845,2016
"29",2408,5765,64970,2016
"30",2409,3360,38520,2016
"31",2410,960,6810,2016
"32",2411,1540,33065,2016
"33",2412,11140,197085,2016
"34",2413,5455,195685,2016
"35",2414,8825,226075,2016
"36",2415,10225,269405,2016
"37",2416,33425,699590,2016
"38",2417,2240,5155,2016
"39",2418,1815,6345,2016
"40",3526,2770,44290,2016
"41",3527,2850,61825,2016
"42",3530,10005,301620,2016
"43",3531,2060,38460,2016
"44",3533,4940,66520,2016
"45",3534,2545,47120,2016
"46",3535,3660,70560,2016
"47",3536,9695,257420,2016
"48",3537,13455,242295,2016
"49",3538,3865,65775,2016
"50",3539,1915,24575,2016
"51",3540,2475,42595,2016
"52",3541,7385,84640,2016
"53",3542,2865,52230,2016
"54",3543,4325,72150,2016
"55",3544,13770,205325,2016
"56",3546,10240,194295,2016
"57",3547,3890,49730,2016
"58",3549,3630,31940,2016
"59",3551,43915,439850,2016
"60",3552,2820,51870,2016
"61",3553,17355,679800,2016
"62",3554,3280,35970,2016
"63",3555,6015,87580,2016
"64",3556,3735,36600,2016
"65",3557,2735,44005,2016
"66",3558,4150,88650,2016
"67",3560,11650,246805,2016
"68",3561,4825,86285,2016
"69",3562,4650,68490,2016
"70",3563,990,13335,2016
"71",3565,14295,257825,2016
"72",3566,9070,143845,2016
"73",3568,7255,166075,2016
"74",3570,13485,512140,2016
"75",3595,142020,1251055,2016
"76",4601,23205,350055,2016
"77",4602,5890,67755,2016
"78",4603,2625,52460,2016
"79",4604,3905,23680,2016
"80",4605,5175,79955,2016
"81",4701,1685,24230,2016
"82",4702,1885,23270,2016
"83",4703,1525,17220,2016
"84",4704,7365,136555,2016
"85",4705,1705,22375,2016
"86",4706,10400,166625,2016
"87",4707,1650,16040,2016
"88",4708,1460,15460,2016
"89",4709,1670,29225,2016
"90",4710,1805,29450,2016
"91",4711,1190,5880,2016
"92",4712,375,2385,2016
"93",4713,375,1195,2016
"94",4831,6320,123565,2016
"95",4832,48595,752675,2016
"96",4833,11110,200570,2016
"97",4834,30530,653445,2016
"98",4835,11200,197305,2016
"99",5911,3520,35155,2016
"100",5912,3830,32080,2016
"101",5913,12055,152105,2016
"102",5914,6935,92585,2016
"103",5921,5850,127135,2016
"104",5922,15415,308085,2016
"105",5923,12960,361540,2016
"106",5931,4895,86255,2016
"107",5932,64185,320210,2016
"108",5933,12720,123855,2016
"109",5941,29520,176185,2016
"110",5942,7745,105505,2016
"111",5943,4575,49225,2016
"112",5951,3575,32030,2016
"113",5952,3895,64340,2016
"114",5953,2060,30470,2016
"115",6001,2200,18300,2016
"116",6101,5230,20590,2016
"117",6201,5500,12425,2016
