"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"1","1011","Total","152580","Male",2016
"2","1012","Total","45410","Male",2016
"3","1013","Total","37505","Male",2016
"4","1014","Total","18345","Male",2016
"5","1100","Total","69320","Male",2016
"6","1211","Total","28000","Male",2016
"7","1212","Total","27035","Male",2016
"8","1223","Total","39370","Male",2016
"9","1234","Total","35995","Male",2016
"10","1235","Total","14575","Male",2016
"11","1246","Total","21145","Male",2016
"12","1247","Total","20645","Male",2016
"13","1258","Total","55545","Male",2016
"14","1269","Total","204515","Male",2016
"15","1301","Total","102520","Male",2016
"16","1302","Total","82435","Male",2016
"17","1303","Total","85675","Male",2016
"18","1304","Total","23395","Male",2016
"19","1305","Total","12265","Male",2016
"20","1306","Total","37735","Male",2016
"21","1307","Total","28275","Male",2016
"22","2401","Total","97410","Male",2016
"23","2402","Total","137890","Male",2016
"24","2403","Total","357155","Male",2016
"25","2404","Total","251515","Male",2016
"26","2405","Total","158010","Male",2016
"27","2406","Total","944495","Male",2016
"28","2407","Total","188205","Male",2016
"29","2408","Total","73850","Male",2016
"30","2409","Total","46630","Male",2016
"31","2410","Total","7480","Male",2016
"32","2411","Total","44145","Male",2016
"33","2412","Total","209940","Male",2016
"34","2413","Total","205510","Male",2016
"35","2414","Total","245325","Male",2016
"36","2415","Total","292370","Male",2016
"37","2416","Total","741430","Male",2016
"38","2417","Total","6680","Male",2016
"39","2418","Total","8590","Male",2016
"40","3526","Total","55280","Male",2016
"41","3527","Total","65460","Male",2016
"42","3530","Total","314665","Male",2016
"43","3531","Total","43725","Male",2016
"44","3533","Total","80005","Male",2016
"45","3534","Total","54520","Male",2016
"46","3535","Total","87715","Male",2016
"47","3536","Total","266345","Male",2016
"48","3537","Total","262525","Male",2016
"49","3538","Total","79000","Male",2016
"50","3539","Total","29370","Male",2016
"51","3540","Total","49750","Male",2016
"52","3541","Total","94495","Male",2016
"53","3542","Total","62010","Male",2016
"54","3543","Total","82505","Male",2016
"55","3544","Total","221155","Male",2016
"56","3546","Total","216925","Male",2016
