"","Immigrant_type.HR_code","Immigrant_type.Nom","Immigrant_type.Den","Immigrant_type.Year"
"1",1011,6110,290620,2006
"2",1012,725,92665,2006
"3",1013,900,78030,2006
"4",1014,495,36195,2006
"5",1100,4755,133745,2006
"6",1211,2395,57540,2006
"7",1212,1780,59730,2006
"8",1223,3985,80150,2006
"9",1234,2705,70185,2006
"10",1235,980,31170,2006
"11",1246,1255,45385,2006
"12",1247,1355,43580,2006
"13",1258,2345,119110,2006
"14",1269,27515,387635,2006
"15",1301,6385,186205,2006
"16",1302,7495,167650,2006
"17",1303,8555,161480,2006
"18",1304,1475,49090,2006
"19",1305,350,26765,2006
"20",1306,865,77540,2006
"21",1307,840,43105,2006
"22",2401,2030,195935,2006
"23",2402,2500,267460,2006
"24",2403,25055,646630,2006
"25",2404,8765,468980,2006
"26",2405,13480,293280,2006
"27",2406,560385,1823900,2006
"28",2407,23475,336320,2006
"29",2408,1760,138675,2006
"30",2409,920,86235,2006
"31",2410,180,14865,2006
"32",2411,740,91665,2006
"33",2412,4595,387055,2006
"34",2413,73565,364620,2006
"35",2414,12660,423310,2006
"36",2415,19785,506040,2006
"37",2416,100715,1339685,2006
"38",2417,105,10575,2006
"39",2418,0,0,2006
"40",3526,11135,111425,2006
"41",3527,15930,122825,2006
"42",3530,113380,557245,2006
"43",3531,11150,84260,2006
"44",3533,13065,154095,2006
"45",3534,11855,106565,2006
"46",3535,16190,167920,2006
"47",3536,107920,435395,2006
"48",3537,126485,497395,2006
"49",3538,12650,153705,2006
"50",3539,4660,58585,2006
"51",3540,10805,106735,2006
"52",3541,20435,179915,2006
"53",3542,14545,122940,2006
"54",3543,12220,160365,2006
"55",3544,83435,416755,2006
"56",3546,75835,421745,2006
"57",3547,7020,118920,2006
"58",3549,4220,62775,2006
"59",3551,178540,801275,2006
"60",3552,11105,101450,2006
"61",3553,561240,1154070,2006
"62",3554,6925,73430,2006
"63",3555,12390,129970,2006
"64",3556,2625,77910,2006
"65",3557,5890,97170,2006
"66",3558,11215,187325,2006
"67",3560,56045,471595,2006
"68",3561,11775,185030,2006
"69",3562,14625,150460,2006
"70",3563,1370,33290,2006
"71",3565,105370,473260,2006
"72",3566,40665,252545,2006
"73",3568,87160,389585,2006
"74",3570,380520,886995,2006
"75",3595,1237720,2476565,2006
"76",4601,117095,637470,2006
"77",4602,7275,147435,2006
"78",4603,6760,104180,2006
"79",4604,1880,38200,2006
"80",4605,16600,151795,2006
"81",4701,1420,49630,2006
"82",4702,2125,51965,2006
"83",4703,1410,40720,2006
"84",4704,15745,229035,2006
"85",4705,1660,51900,2006
"86",4706,18950,278735,2006
"87",4707,1180,40580,2006
"88",4708,905,38715,2006
"89",4709,2365,65175,2006
"90",4710,1700,56530,2006
"91",4711,165,10335,2006
"92",4712,45,7760,2006
"93",4713,35,1470,2006
"94",4831,25600,250745,2006
"95",4832,263635,1189430,2006
"96",4833,24505,393790,2006
"97",4834,190160,1027670,2006
"98",4835,21980,351080,2006
"99",5911,7780,73745,2006
"100",5912,8415,74580,2006
"101",5913,43685,304485,2006
"102",5914,20310,189995,2006
"103",5921,50115,247730,2006
"104",5922,203085,538140,2006
"105",5923,201310,622715,2006
"106",5931,99660,173565,2006
"107",5932,265895,582535,2006
"108",5933,72240,247570,2006
"109",5941,65015,335125,2006
"110",5942,36365,237865,2006
"111",5943,13000,105985,2006
"112",5951,8270,63035,2006
"113",5952,13190,134430,2006
"114",5953,4310,60285,2006
"115",6001,2985,29730,2006
"116",6101,2790,40735,2006
"117",6201,435,29305,2006
