"","Journey_towork.census_id","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1,1134800,14714260,2006
"2",10,15175,190380,2006
"3",11,4490,61410,2006
"4",12,35645,402955,2006
"5",13,23495,323070,2006
"6",24,278965,3474255,2006
"7",35,389110,5690960,2006
"8",46,46990,523445,2006
"9",47,40760,424210,2006
"10",48,119030,1686540,2006
"11",59,167650,1890050,2006
"12",60,2550,16140,2006
"13",61,5830,20540,2006
"14",62,5110,10300,2006
