"","Edu_lowerthanhigh.CLSC_code","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1111,4430,17015,2016
"2",1121,5950,27320,2016
"3",1131,5165,16205,2016
"4",1141,2060,7200,2016
"5",1151,7600,46510,2016
"6",1161,4115,14675,2016
"7",1171,4940,17875,2016
"8",1181,4280,14780,2016
"9",2111,6425,25395,2016
"10",2121,5740,20405,2016
"11",2131,8905,42100,2016
"12",2141,9245,54910,2016
"13",2151,11855,64890,2016
"14",2161,3840,18650,2016
"15",3111,8365,42825,2016
"16",3121,5035,51170,2016
"17",3122,5390,41870,2016
"18",3123,4925,65275,2016
"19",3124,1760,31640,2016
"20",3125,4110,22485,2016
"21",3126,11260,49480,2016
"22",3131,12055,83595,2016
"23",3132,12555,87500,2016
"24",3133,11840,71575,2016
"25",3134,4620,28575,2016
"26",3141,2620,10810,2016
"27",3142,3480,13055,2016
"28",4111,4055,11925,2016
"29",4121,3005,10590,2016
"30",4122,2000,10705,2016
"31",4131,6485,19320,2016
"32",4141,12105,53480,2016
"33",4151,13185,74515,2016
"34",4152,7745,39565,2016
"35",4161,4855,18675,2016
"36",4162,3835,16595,2016
"37",4171,20165,82495,2016
"38",4181,14940,57640,2016
"39",4182,5510,18880,2016
"40",5111,10285,43350,2016
"41",5121,19105,80910,2016
"42",5131,8495,42025,2016
"43",5141,4200,14780,2016
"44",5151,23355,130400,2016
"45",5161,5750,24590,2016
"46",5171,3520,11505,2016
"47",5181,5115,18095,2016
"48",5191,5845,17630,2016
"49",6111,5790,65550,2016
"50",6112,10300,71195,2016
"51",6113,5365,40300,2016
"52",6121,9205,51335,2016
"53",6122,12550,62675,2016
"54",6211,4395,40120,2016
"55",6212,6340,59395,2016
"56",6221,7780,23170,2016
"57",6222,3100,35020,2016
"58",6223,3950,28550,2016
"59",6224,4590,42360,2016
"60",6225,2440,53810,2016
"61",6311,3910,33515,2016
"62",6312,5955,25665,2016
"63",6313,7935,57600,2016
"64",6314,2530,12470,2016
"65",6321,3450,33960,2016
"66",6322,3235,46520,2016
"67",6323,4690,33790,2016
"68",6324,1440,13240,2016
"69",6411,8415,43815,2016
"70",6412,12210,74235,2016
"71",6421,10710,65675,2016
"72",6422,20710,65990,2016
"73",6431,8470,51945,2016
"74",6432,4955,41660,2016
"75",6511,14525,44705,2016
"76",6512,16080,61555,2016
"77",6521,11515,46755,2016
"78",6522,6900,34445,2016
"79",6523,10090,43375,2016
"80",6524,7965,36555,2016
"81",6531,11770,71340,2016
"82",6532,7060,35800,2016
"83",6533,7745,42840,2016
"84",7111,5030,16670,2016
"85",7121,5570,17140,2016
"86",7131,5340,29025,2016
"87",7141,6680,49125,2016
"88",7142,10075,56565,2016
"89",7143,20605,95600,2016
"90",7151,8015,31075,2016
"91",7152,4080,13840,2016
"92",8111,5460,16535,2016
"93",8121,5740,19720,2016
"94",8131,8080,34150,2016
"95",8141,10410,34740,2016
"96",8151,2930,10270,2016
"97",8152,680,2675,2016
"98",9111,535,2545,2016
"99",9121,1160,4460,2016
"100",9122,1660,4795,2016
"101",9123,6550,25605,2016
"102",9131,1745,6085,2016
"103",9141,6390,22190,2016
"104",9151,1810,5325,2016
"105",9161,1945,3790,2016
"106",9171,175,430,2016
"107",10011,355,1040,2016
"108",10012,265,1135,2016
"109",10013,465,1785,2016
"110",10014,1940,7240,2016
"111",11111,3060,11860,2016
"112",11112,3910,14985,2016
"113",11121,3520,9350,2016
"114",11131,695,1955,2016
"115",11132,3710,13050,2016
"116",11133,185,570,2016
"117",11141,5290,14335,2016
"118",11211,3300,10790,2016
"119",12111,5975,25365,2016
"120",12112,9500,75410,2016
"121",12113,6965,45255,2016
"122",12114,7170,29660,2016
"123",12115,4935,23610,2016
"124",12121,8925,34930,2016
"125",12131,4195,15045,2016
"126",12132,11505,41840,2016
"127",12141,4345,13600,2016
"128",12151,5650,18990,2016
"129",12152,4555,14755,2016
"130",13111,18530,110795,2016
"131",13112,9010,49350,2016
"132",13113,14455,73640,2016
"133",13114,22035,103710,2016
"134",14111,11905,42830,2016
"135",14112,13205,42240,2016
"136",14113,12500,53825,2016
"137",14114,9640,35000,2016
"138",14121,24130,124755,2016
"139",14122,19430,101375,2016
"140",15111,9110,29575,2016
"141",15121,8595,38720,2016
"142",15131,5245,36410,2016
"143",15141,8115,27135,2016
"144",15151,19395,93860,2016
"145",15161,28360,127575,2016
"146",15171,21920,125715,2016
"147",16111,15075,105495,2016
"148",16112,14060,68970,2016
"149",16121,10095,54215,2016
"150",16122,20945,93995,2016
"151",16211,12200,53245,2016
"152",16212,10335,57050,2016
"153",16213,13630,95385,2016
"154",16221,11590,89525,2016
"155",16222,18140,69525,2016
"156",16223,4055,12575,2016
"157",16231,10810,42875,2016
"158",16311,19120,118105,2016
"159",16321,12995,47440,2016
"160",16331,5360,18575,2016
"161",16341,11645,58660,2016
"162",16342,14605,83960,2016
"163",16343,6465,22250,2016
"164",17011,2980,4555,2016
"165",17012,2100,4160,2016
"166",18011,6015,11740,2016
