"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex"
"1834","1181","50-54","705","Male"
"1835","2111","50-54","1240","Male"
"1836","2121","50-54","1075","Male"
"1837","2131","50-54","2110","Male"
"1838","2141","50-54","2555","Male"
"1839","2151","50-54","2960","Male"
"1840","2161","50-54","950","Male"
"1841","3111","50-54","2140","Male"
"1842","3121","50-54","2590","Male"
"1843","3122","50-54","1755","Male"
"1844","3123","50-54","2185","Male"
"1845","3124","50-54","1040","Male"
"1846","3125","50-54","1040","Male"
"1847","3126","50-54","2045","Male"
"1848","3131","50-54","3985","Male"
"1849","3132","50-54","3910","Male"
"1850","3133","50-54","3475","Male"
"1851","3134","50-54","1460","Male"
"1852","3141","50-54","475","Male"
"1853","3142","50-54","565","Male"
"1854","4111","50-54","560","Male"
"1855","4121","50-54","460","Male"
"1856","4122","50-54","550","Male"
"1857","4131","50-54","1025","Male"
"1858","4141","50-54","2455","Male"
"1859","4151","50-54","3200","Male"
"1860","4152","50-54","1905","Male"
"1861","4161","50-54","890","Male"
"1862","4162","50-54","785","Male"
"1863","4171","50-54","3795","Male"
"1864","4181","50-54","2625","Male"
"1865","4182","50-54","935","Male"
"1866","5111","50-54","2095","Male"
"1867","5121","50-54","3895","Male"
"1868","5131","50-54","1895","Male"
"1869","5141","50-54","740","Male"
"1870","5151","50-54","5305","Male"
"1871","5161","50-54","1205","Male"
"1872","5171","50-54","490","Male"
"1873","5181","50-54","880","Male"
"1874","5191","50-54","880","Male"
"1875","6111","50-54","3445","Male"
"1876","6112","50-54","3640","Male"
"1877","6113","50-54","1855","Male"
"1878","6121","50-54","2495","Male"
"1879","6122","50-54","2715","Male"
"1880","6211","50-54","1370","Male"
"1881","6212","50-54","2400","Male"
"1882","6221","50-54","1000","Male"
"1883","6222","50-54","1495","Male"
"1884","6223","50-54","1040","Male"
"1885","6224","50-54","1285","Male"
"1886","6225","50-54","1430","Male"
"1887","6311","50-54","1245","Male"
"1888","6312","50-54","1030","Male"
"1889","6313","50-54","2305","Male"
"1890","6314","50-54","500","Male"
"1891","6321","50-54","1140","Male"
"1892","6322","50-54","1720","Male"
"1893","6323","50-54","1770","Male"
"1894","6324","50-54","595","Male"
"1895","6411","50-54","1875","Male"
"1896","6412","50-54","3030","Male"
"1897","6421","50-54","2800","Male"
"1898","6422","50-54","2965","Male"
"1899","6431","50-54","1895","Male"
"1900","6432","50-54","1495","Male"
"1901","6511","50-54","1970","Male"
"1902","6512","50-54","2555","Male"
"1903","6521","50-54","2160","Male"
"1904","6522","50-54","1460","Male"
"1905","6523","50-54","2165","Male"
"1906","6524","50-54","1745","Male"
"1907","6531","50-54","3015","Male"
"1908","6532","50-54","1550","Male"
"1909","6533","50-54","1840","Male"
"1910","7111","50-54","885","Male"
"1911","7121","50-54","910","Male"
"1912","7131","50-54","1685","Male"
"1913","7141","50-54","2080","Male"
"1914","7142","50-54","2625","Male"
"1915","7143","50-54","4860","Male"
"1916","7151","50-54","1595","Male"
"1917","7152","50-54","710","Male"
"1918","8111","50-54","830","Male"
"1919","8121","50-54","955","Male"
"1920","8131","50-54","1695","Male"
"1921","8141","50-54","1870","Male"
"1922","8151","50-54","485","Male"
"1923","8152","50-54","165","Male"
"1924","9111","50-54","155","Male"
"1925","9121","50-54","235","Male"
"1926","9122","50-54","245","Male"
"1927","9123","50-54","1430","Male"
"1928","9131","50-54","355","Male"
"1929","9141","50-54","1110","Male"
"1930","9151","50-54","255","Male"
"1931","9161","50-54","235","Male"
"1932","9171","50-54","20","Male"
"1933","10011","50-54","90","Male"
"1934","10012","50-54","50","Male"
"1935","10013","50-54","95","Male"
"1936","10014","50-54","420","Male"
"1937","11111","50-54","535","Male"
"1938","11112","50-54","705","Male"
"1939","11121","50-54","435","Male"
"1940","11131","50-54","105","Male"
"1941","11132","50-54","665","Male"
"1942","11133","50-54","25","Male"
"1943","11141","50-54","730","Male"
"1944","11211","50-54","630","Male"
"1945","12111","50-54","1245","Male"
"1946","12112","50-54","3580","Male"
"1947","12113","50-54","2010","Male"
"1948","12114","50-54","1465","Male"
"1949","12115","50-54","1125","Male"
"1950","12121","50-54","1550","Male"
"1951","12131","50-54","705","Male"
"1952","12132","50-54","2120","Male"
"1953","12141","50-54","675","Male"
"1954","12151","50-54","950","Male"
"1955","12152","50-54","735","Male"
"1956","13111","50-54","6150","Male"
"1957","13112","50-54","2590","Male"
"1958","13113","50-54","3235","Male"
"1959","13114","50-54","4860","Male"
"1960","14111","50-54","2285","Male"
"1961","14112","50-54","2340","Male"
"1962","14113","50-54","2255","Male"
"1963","14114","50-54","1765","Male"
"1964","14121","50-54","6350","Male"
"1965","14122","50-54","4985","Male"
"1966","15111","50-54","1440","Male"
"1967","15121","50-54","1880","Male"
"1968","15131","50-54","1785","Male"
"1969","15141","50-54","1440","Male"
"1970","15151","50-54","4660","Male"
"1971","15161","50-54","6300","Male"
"1972","15171","50-54","6900","Male"
"1973","16111","50-54","4385","Male"
"1974","16112","50-54","3325","Male"
"1975","16121","50-54","2685","Male"
"1976","16122","50-54","4550","Male"
"1977","16211","50-54","2275","Male"
"1978","16212","50-54","2640","Male"
"1979","16213","50-54","4860","Male"
"1980","16221","50-54","4440","Male"
"1981","16222","50-54","3270","Male"
"1982","16223","50-54","605","Male"
"1983","16231","50-54","1935","Male"
"1984","16311","50-54","6150","Male"
"1985","16321","50-54","2205","Male"
"1986","16331","50-54","960","Male"
"1987","16341","50-54","2845","Male"
"1988","16342","50-54","4350","Male"
"1989","16343","50-54","1195","Male"
"1990","17011","50-54","140","Male"
"1991","17012","50-54","135","Male"
"1992","18011","50-54","445","Male"
"1993","1111","55-59","965","Male"
"1994","1121","55-59","1375","Male"
"1995","1131","55-59","985","Male"
"1996","1141","55-59","435","Male"
"1997","1151","55-59","2390","Male"
"1998","1161","55-59","885","Male"
"1999","1171","55-59","1015","Male"
"2000","1181","55-59","945","Male"
"2001","2111","55-59","1540","Male"
"2002","2121","55-59","1250","Male"
"2003","2131","55-59","2505","Male"
"2004","2141","55-59","3085","Male"
"2005","2151","55-59","3355","Male"
"2006","2161","55-59","1075","Male"
"2007","3111","55-59","2350","Male"
"2008","3121","55-59","2815","Male"
"2009","3122","55-59","1825","Male"
"2010","3123","55-59","2515","Male"
"2011","3124","55-59","1170","Male"
"2012","3125","55-59","1155","Male"
"2013","3126","55-59","2190","Male"
"2014","3131","55-59","3575","Male"
"2015","3132","55-59","3975","Male"
"2016","3133","55-59","3690","Male"
"2017","3134","55-59","1515","Male"
"2018","3141","55-59","625","Male"
"2019","3142","55-59","745","Male"
"2020","4111","55-59","735","Male"
"2021","4121","55-59","645","Male"
"2022","4122","55-59","635","Male"
"2023","4131","55-59","1160","Male"
"2024","4141","55-59","3115","Male"
"2025","4151","55-59","3525","Male"
"2026","4152","55-59","2090","Male"
"2027","4161","55-59","1080","Male"
"2028","4162","55-59","915","Male"
"2029","4171","55-59","3915","Male"
"2030","4181","55-59","2820","Male"
"2031","4182","55-59","980","Male"
"2032","5111","55-59","2275","Male"
"2033","5121","55-59","4135","Male"
"2034","5131","55-59","2230","Male"
"2035","5141","55-59","725","Male"
"2036","5151","55-59","5430","Male"
"2037","5161","55-59","1360","Male"
"2038","5171","55-59","595","Male"
"2039","5181","55-59","1000","Male"
"2040","5191","55-59","1025","Male"
"2041","6111","55-59","3305","Male"
"2042","6112","55-59","3400","Male"
"2043","6113","55-59","1685","Male"
"2044","6121","55-59","2460","Male"
"2045","6122","55-59","2525","Male"
"2046","6211","55-59","1305","Male"
"2047","6212","55-59","2155","Male"
"2048","6221","55-59","870","Male"
"2049","6222","55-59","1300","Male"
"2050","6223","55-59","890","Male"
"2051","6224","55-59","1215","Male"
"2052","6225","55-59","1505","Male"
"2053","6311","55-59","1210","Male"
"2054","6312","55-59","1095","Male"
"2055","6313","55-59","2270","Male"
"2056","6314","55-59","520","Male"
"2057","6321","55-59","1000","Male"
"2058","6322","55-59","1515","Male"
"2059","6323","55-59","1575","Male"
"2060","6324","55-59","595","Male"
"2061","6411","55-59","1660","Male"
"2062","6412","55-59","2645","Male"
"2063","6421","55-59","2790","Male"
"2064","6422","55-59","2595","Male"
"2065","6431","55-59","1750","Male"
"2066","6432","55-59","1360","Male"
"2067","6511","55-59","1755","Male"
"2068","6512","55-59","2145","Male"
"2069","6521","55-59","2020","Male"
"2070","6522","55-59","1375","Male"
"2071","6523","55-59","2385","Male"
"2072","6524","55-59","1760","Male"
"2073","6531","55-59","2845","Male"
"2074","6532","55-59","1530","Male"
"2075","6533","55-59","1650","Male"
"2076","7111","55-59","920","Male"
"2077","7121","55-59","1035","Male"
"2078","7131","55-59","1585","Male"
"2079","7141","55-59","1965","Male"
"2080","7142","55-59","2545","Male"
"2081","7143","55-59","4605","Male"
"2082","7151","55-59","1545","Male"
"2083","7152","55-59","835","Male"
"2084","8111","55-59","995","Male"
"2085","8121","55-59","1110","Male"
"2086","8131","55-59","1800","Male"
"2087","8141","55-59","1905","Male"
"2088","8151","55-59","595","Male"
"2089","8152","55-59","140","Male"
"2090","9111","55-59","140","Male"
"2091","9121","55-59","240","Male"
"2092","9122","55-59","340","Male"
"2093","9123","55-59","1545","Male"
"2094","9131","55-59","340","Male"
"2095","9141","55-59","1085","Male"
"2096","9151","55-59","330","Male"
"2097","9161","55-59","205","Male"
"2098","9171","55-59","10","Male"
"2099","10011","55-59","90","Male"
"2100","10012","55-59","65","Male"
"2101","10013","55-59","115","Male"
"2102","10014","55-59","445","Male"
"2103","11111","55-59","660","Male"
"2104","11112","55-59","825","Male"
"2105","11121","55-59","535","Male"
"2106","11131","55-59","140","Male"
"2107","11132","55-59","795","Male"
"2108","11133","55-59","25","Male"
"2109","11141","55-59","855","Male"
"2110","11211","55-59","615","Male"
"2111","12111","55-59","1360","Male"
"2112","12112","55-59","3410","Male"
"2113","12113","55-59","2195","Male"
"2114","12114","55-59","1510","Male"
"2115","12115","55-59","1180","Male"
"2116","12121","55-59","1890","Male"
"2117","12131","55-59","745","Male"
"2118","12132","55-59","2110","Male"
"2119","12141","55-59","760","Male"
"2120","12151","55-59","1025","Male"
"2121","12152","55-59","910","Male"
"2122","13111","55-59","5480","Male"
"2123","13112","55-59","2395","Male"
"2124","13113","55-59","3415","Male"
"2125","13114","55-59","4360","Male"
"2126","14111","55-59","2660","Male"
"2127","14112","55-59","2275","Male"
"2128","14113","55-59","2590","Male"
"2129","14114","55-59","1955","Male"
"2130","14121","55-59","5700","Male"
"2131","14122","55-59","5105","Male"
"2132","15111","55-59","1835","Male"
"2133","15121","55-59","2190","Male"
"2134","15131","55-59","2220","Male"
"2135","15141","55-59","1480","Male"
"2136","15151","55-59","4465","Male"
"2137","15161","55-59","6090","Male"
"2138","15171","55-59","6245","Male"
"2139","16111","55-59","4255","Male"
"2140","16112","55-59","3290","Male"
"2141","16121","55-59","2620","Male"
"2142","16122","55-59","4670","Male"
"2143","16211","55-59","2325","Male"
"2144","16212","55-59","2765","Male"
"2145","16213","55-59","4650","Male"
"2146","16221","55-59","4155","Male"
"2147","16222","55-59","3495","Male"
"2148","16223","55-59","690","Male"
"2149","16231","55-59","2305","Male"
"2150","16311","55-59","5545","Male"
"2151","16321","55-59","2465","Male"
"2152","16331","55-59","1080","Male"
"2153","16341","55-59","2795","Male"
"2154","16342","55-59","3985","Male"
"2155","16343","55-59","1035","Male"
"2156","17011","55-59","125","Male"
"2157","17012","55-59","130","Male"
"2158","18011","55-59","335","Male"
"2159","1111","60-64","950","Male"
"2160","1121","60-64","1360","Male"
"2161","1131","60-64","980","Male"
"2162","1141","60-64","485","Male"
"2163","1151","60-64","2415","Male"
"2164","1161","60-64","865","Male"
"2165","1171","60-64","1015","Male"
"2166","1181","60-64","865","Male"
"2167","2111","60-64","1410","Male"
"2168","2121","60-64","1170","Male"
"2169","2131","60-64","2215","Male"
"2170","2141","60-64","2835","Male"
"2171","2151","60-64","3250","Male"
"2172","2161","60-64","975","Male"
"2173","3111","60-64","2255","Male"
"2174","3121","60-64","2490","Male"
"2175","3122","60-64","1615","Male"
"2176","3123","60-64","2440","Male"
"2177","3124","60-64","1425","Male"
"2178","3125","60-64","935","Male"
"2179","3126","60-64","1950","Male"
"2180","3131","60-64","2805","Male"
"2181","3132","60-64","3450","Male"
"2182","3133","60-64","3145","Male"
"2183","3134","60-64","1395","Male"
"2184","3141","60-64","635","Male"
"2185","3142","60-64","765","Male"
"2186","4111","60-64","610","Male"
"2187","4121","60-64","680","Male"
"2188","4122","60-64","665","Male"
"2189","4131","60-64","1120","Male"
"2190","4141","60-64","3045","Male"
"2191","4151","60-64","3260","Male"
"2192","4152","60-64","1925","Male"
"2193","4161","60-64","975","Male"
"2194","4162","60-64","895","Male"
"2195","4171","60-64","3795","Male"
"2196","4181","60-64","2825","Male"
"2197","4182","60-64","900","Male"
"2198","5111","60-64","2340","Male"
"2199","5121","60-64","3770","Male"
"2200","5131","60-64","2365","Male"
"2201","5141","60-64","705","Male"
"2202","5151","60-64","5070","Male"
"2203","5161","60-64","1250","Male"
"2204","5171","60-64","685","Male"
"2205","5181","60-64","1005","Male"
"2206","5191","60-64","1075","Male"
"2207","6111","60-64","2630","Male"
"2208","6112","60-64","2730","Male"
"2209","6113","60-64","1565","Male"
"2210","6121","60-64","2015","Male"
"2211","6122","60-64","2160","Male"
"2212","6211","60-64","1280","Male"
"2213","6212","60-64","1895","Male"
"2214","6221","60-64","715","Male"
"2215","6222","60-64","1185","Male"
"2216","6223","60-64","720","Male"
"2217","6224","60-64","980","Male"
"2218","6225","60-64","1430","Male"
"2219","6311","60-64","990","Male"
"2220","6312","60-64","940","Male"
"2221","6313","60-64","1940","Male"
"2222","6314","60-64","395","Male"
"2223","6321","60-64","870","Male"
"2224","6322","60-64","1355","Male"
"2225","6323","60-64","1310","Male"
"2226","6324","60-64","500","Male"
"2227","6411","60-64","1365","Male"
"2228","6412","60-64","2085","Male"
"2229","6421","60-64","2245","Male"
"2230","6422","60-64","2250","Male"
"2231","6431","60-64","1500","Male"
"2232","6432","60-64","1165","Male"
"2233","6511","60-64","1300","Male"
"2234","6512","60-64","1690","Male"
"2235","6521","60-64","1560","Male"
"2236","6522","60-64","1180","Male"
"2237","6523","60-64","1980","Male"
"2238","6524","60-64","1480","Male"
"2239","6531","60-64","2385","Male"
"2240","6532","60-64","1375","Male"
"2241","6533","60-64","1330","Male"
"2242","7111","60-64","865","Male"
"2243","7121","60-64","1055","Male"
"2244","7131","60-64","1325","Male"
"2245","7141","60-64","1585","Male"
"2246","7142","60-64","2070","Male"
"2247","7143","60-64","3730","Male"
"2248","7151","60-64","1270","Male"
"2249","7152","60-64","870","Male"
"2250","8111","60-64","885","Male"
"2251","8121","60-64","995","Male"
"2252","8131","60-64","1525","Male"
"2253","8141","60-64","1605","Male"
"2254","8151","60-64","565","Male"
"2255","8152","60-64","135","Male"
"2256","9111","60-64","70","Male"
"2257","9121","60-64","260","Male"
"2258","9122","60-64","270","Male"
"2259","9123","60-64","1270","Male"
"2260","9131","60-64","325","Male"
"2261","9141","60-64","965","Male"
"2262","9151","60-64","280","Male"
"2263","9161","60-64","160","Male"
"2264","9171","60-64","10","Male"
"2265","10011","60-64","70","Male"
"2266","10012","60-64","60","Male"
"2267","10013","60-64","105","Male"
"2268","10014","60-64","295","Male"
"2269","11111","60-64","670","Male"
"2270","11112","60-64","825","Male"
"2271","11121","60-64","595","Male"
"2272","11131","60-64","150","Male"
"2273","11132","60-64","770","Male"
"2274","11133","60-64","35","Male"
"2275","11141","60-64","865","Male"
"2276","11211","60-64","615","Male"
"2277","12111","60-64","1225","Male"
"2278","12112","60-64","3200","Male"
"2279","12113","60-64","2035","Male"
"2280","12114","60-64","1405","Male"
"2281","12115","60-64","1100","Male"
"2282","12121","60-64","1955","Male"
"2283","12131","60-64","755","Male"
"2284","12132","60-64","1955","Male"
"2285","12141","60-64","815","Male"
"2286","12151","60-64","1010","Male"
"2287","12152","60-64","880","Male"
"2288","13111","60-64","3965","Male"
"2289","13112","60-64","1830","Male"
"2290","13113","60-64","2725","Male"
"2291","13114","60-64","3400","Male"
"2292","14111","60-64","2755","Male"
"2293","14112","60-64","1815","Male"
"2294","14113","60-64","2415","Male"
"2295","14114","60-64","1765","Male"
"2296","14121","60-64","4465","Male"
"2297","14122","60-64","4100","Male"
"2298","15111","60-64","1910","Male"
"2299","15121","60-64","2190","Male"
"2300","15131","60-64","2295","Male"
"2301","15141","60-64","1465","Male"
"2302","15151","60-64","3675","Male"
"2303","15161","60-64","4930","Male"
"2304","15171","60-64","4570","Male"
"2305","16111","60-64","4010","Male"
"2306","16112","60-64","2740","Male"
"2307","16121","60-64","2005","Male"
"2308","16122","60-64","4095","Male"
"2309","16211","60-64","1985","Male"
"2310","16212","60-64","2425","Male"
"2311","16213","60-64","3760","Male"
"2312","16221","60-64","3665","Male"
"2313","16222","60-64","3015","Male"
"2314","16223","60-64","625","Male"
"2315","16231","60-64","2320","Male"
"2316","16311","60-64","4530","Male"
"2317","16321","60-64","2180","Male"
"2318","16331","60-64","930","Male"
"2319","16341","60-64","2225","Male"
"2320","16342","60-64","2925","Male"
"2321","16343","60-64","945","Male"
"2322","17011","60-64","95","Male"
"2323","17012","60-64","90","Male"
"2324","18011","60-64","240","Male"
"2325","1111","65-69","815","Male"
"2326","1121","65-69","1185","Male"
"2327","1131","65-69","870","Male"
"2328","1141","65-69","410","Male"
"2329","1151","65-69","2025","Male"
"2330","1161","65-69","785","Male"
"2331","1171","65-69","965","Male"
"2332","1181","65-69","760","Male"
"2333","2111","65-69","1160","Male"
"2334","2121","65-69","945","Male"
"2335","2131","65-69","1725","Male"
"2336","2141","65-69","2270","Male"
"2337","2151","65-69","2700","Male"
"2338","2161","65-69","825","Male"
"2339","3111","65-69","1975","Male"
"2340","3121","65-69","2140","Male"
"2341","3122","65-69","1440","Male"
"2342","3123","65-69","2250","Male"
"2343","3124","65-69","1335","Male"
"2344","3125","65-69","860","Male"
"2345","3126","65-69","1685","Male"
"2346","3131","65-69","2485","Male"
"2347","3132","65-69","3240","Male"
"2348","3133","65-69","2600","Male"
"2349","3134","65-69","1340","Male"
"2350","3141","65-69","615","Male"
"2351","3142","65-69","710","Male"
"2352","4111","65-69","475","Male"
"2353","4121","65-69","625","Male"
"2354","4122","65-69","540","Male"
"2355","4131","65-69","950","Male"
"2356","4141","65-69","2545","Male"
"2357","4151","65-69","2945","Male"
"2358","4152","65-69","1730","Male"
"2359","4161","65-69","820","Male"
"2360","4162","65-69","785","Male"
"2361","4171","65-69","3360","Male"
"2362","4181","65-69","2465","Male"
"2363","4182","65-69","890","Male"
"2364","5111","65-69","2160","Male"
"2365","5121","65-69","3310","Male"
"2366","5131","65-69","2310","Male"
"2367","5141","65-69","625","Male"
"2368","5151","65-69","4400","Male"
"2369","5161","65-69","1180","Male"
"2370","5171","65-69","680","Male"
"2371","5181","65-69","875","Male"
"2372","5191","65-69","930","Male"
"2373","6111","65-69","2295","Male"
"2374","6112","65-69","2120","Male"
"2375","6113","65-69","1525","Male"
"2376","6121","65-69","1620","Male"
"2377","6122","65-69","1900","Male"
"2378","6211","65-69","1380","Male"
"2379","6212","65-69","1685","Male"
"2380","6221","65-69","640","Male"
"2381","6222","65-69","1040","Male"
"2382","6223","65-69","695","Male"
"2383","6224","65-69","880","Male"
"2384","6225","65-69","1530","Male"
"2385","6311","65-69","760","Male"
"2386","6312","65-69","740","Male"
"2387","6313","65-69","1575","Male"
"2388","6314","65-69","320","Male"
"2389","6321","65-69","695","Male"
"2390","6322","65-69","1115","Male"
"2391","6323","65-69","1005","Male"
"2392","6324","65-69","435","Male"
"2393","6411","65-69","1210","Male"
"2394","6412","65-69","1845","Male"
"2395","6421","65-69","1830","Male"
"2396","6422","65-69","1835","Male"
"2397","6431","65-69","1020","Male"
"2398","6432","65-69","805","Male"
"2399","6511","65-69","1050","Male"
"2400","6512","65-69","1700","Male"
"2401","6521","65-69","1520","Male"
"2402","6522","65-69","1035","Male"
"2403","6523","65-69","1465","Male"
"2404","6524","65-69","1085","Male"
"2405","6531","65-69","1875","Male"
"2406","6532","65-69","1085","Male"
"2407","6533","65-69","980","Male"
"2408","7111","65-69","765","Male"
"2409","7121","65-69","845","Male"
"2410","7131","65-69","1050","Male"
"2411","7141","65-69","1265","Male"
"2412","7142","65-69","1640","Male"
"2413","7143","65-69","2995","Male"
"2414","7151","65-69","1015","Male"
"2415","7152","65-69","835","Male"
"2416","8111","65-69","755","Male"
"2417","8121","65-69","765","Male"
"2418","8131","65-69","1200","Male"
"2419","8141","65-69","1300","Male"
"2420","8151","65-69","440","Male"
"2421","8152","65-69","105","Male"
"2422","9111","65-69","25","Male"
"2423","9121","65-69","185","Male"
"2424","9122","65-69","230","Male"
"2425","9123","65-69","1005","Male"
"2426","9131","65-69","225","Male"
"2427","9141","65-69","755","Male"
"2428","9151","65-69","210","Male"
"2429","9161","65-69","155","Male"
"2430","9171","65-69","5","Male"
"2431","10011","65-69","60","Male"
"2432","10012","65-69","40","Male"
"2433","10013","65-69","75","Male"
"2434","10014","65-69","205","Male"
"2435","11111","65-69","580","Male"
"2436","11112","65-69","740","Male"
"2437","11121","65-69","555","Male"
"2438","11131","65-69","130","Male"
"2439","11132","65-69","600","Male"
"2440","11133","65-69","35","Male"
"2441","11141","65-69","740","Male"
"2442","11211","65-69","550","Male"
"2443","12111","65-69","1020","Male"
"2444","12112","65-69","2815","Male"
"2445","12113","65-69","1825","Male"
"2446","12114","65-69","1345","Male"
"2447","12115","65-69","910","Male"
"2448","12121","65-69","1845","Male"
"2449","12131","65-69","705","Male"
"2450","12132","65-69","1655","Male"
"2451","12141","65-69","660","Male"
"2452","12151","65-69","915","Male"
"2453","12152","65-69","795","Male"
"2454","13111","65-69","2990","Male"
"2455","13112","65-69","1480","Male"
"2456","13113","65-69","2235","Male"
"2457","13114","65-69","3075","Male"
"2458","14111","65-69","2410","Male"
"2459","14112","65-69","1500","Male"
"2460","14113","65-69","2210","Male"
"2461","14114","65-69","1540","Male"
"2462","14121","65-69","3585","Male"
"2463","14122","65-69","3410","Male"
"2464","15111","65-69","1745","Male"
"2465","15121","65-69","1975","Male"
"2466","15131","65-69","2125","Male"
"2467","15141","65-69","1315","Male"
"2468","15151","65-69","3015","Male"
"2469","15161","65-69","4115","Male"
"2470","15171","65-69","3595","Male"
"2471","16111","65-69","3760","Male"
"2472","16112","65-69","2255","Male"
"2473","16121","65-69","1695","Male"
"2474","16122","65-69","3535","Male"
"2475","16211","65-69","1660","Male"
"2476","16212","65-69","1765","Male"
"2477","16213","65-69","3300","Male"
"2478","16221","65-69","3185","Male"
"2479","16222","65-69","2660","Male"
"2480","16223","65-69","565","Male"
"2481","16231","65-69","2085","Male"
"2482","16311","65-69","3815","Male"
"2483","16321","65-69","1905","Male"
"2484","16331","65-69","880","Male"
"2485","16341","65-69","1845","Male"
"2486","16342","65-69","2400","Male"
"2487","16343","65-69","800","Male"
"2488","17011","65-69","70","Male"
"2489","17012","65-69","75","Male"
"2490","18011","65-69","185","Male"
"2491","1111","70-74","650","Male"
"2492","1121","70-74","895","Male"
"2493","1131","70-74","610","Male"
"2494","1141","70-74","330","Male"
"2495","1151","70-74","1420","Male"
"2496","1161","70-74","500","Male"
"2497","1171","70-74","740","Male"
"2498","1181","70-74","505","Male"
"2499","2111","70-74","820","Male"
"2500","2121","70-74","725","Male"
"2501","2131","70-74","1270","Male"
"2502","2141","70-74","1675","Male"
"2503","2151","70-74","1945","Male"
"2504","2161","70-74","590","Male"
"2505","3111","70-74","1430","Male"
"2506","3121","70-74","1595","Male"
"2507","3122","70-74","1115","Male"
"2508","3123","70-74","1925","Male"
"2509","3124","70-74","960","Male"
"2510","3125","70-74","515","Male"
"2511","3126","70-74","1275","Male"
"2512","3131","70-74","1915","Male"
"2513","3132","70-74","2565","Male"
"2514","3133","70-74","2045","Male"
"2515","3134","70-74","1025","Male"
"2516","3141","70-74","470","Male"
"2517","3142","70-74","445","Male"
"2518","4111","70-74","370","Male"
"2519","4121","70-74","490","Male"
"2520","4122","70-74","390","Male"
"2521","4131","70-74","780","Male"
"2522","4141","70-74","1925","Male"
"2523","4151","70-74","2315","Male"
"2524","4152","70-74","1285","Male"
"2525","4161","70-74","620","Male"
"2526","4162","70-74","620","Male"
"2527","4171","70-74","2465","Male"
"2528","4181","70-74","1825","Male"
"2529","4182","70-74","650","Male"
"2530","5111","70-74","1550","Male"
"2531","5121","70-74","2440","Male"
"2532","5131","70-74","1820","Male"
"2533","5141","70-74","485","Male"
"2534","5151","70-74","3485","Male"
"2535","5161","70-74","760","Male"
"2536","5171","70-74","480","Male"
"2537","5181","70-74","610","Male"
"2538","5191","70-74","655","Male"
"2539","6111","70-74","1715","Male"
"2540","6112","70-74","1435","Male"
"2541","6113","70-74","1115","Male"
"2542","6121","70-74","1120","Male"
"2543","6122","70-74","1455","Male"
"2544","6211","70-74","1085","Male"
"2545","6212","70-74","1125","Male"
"2546","6221","70-74","490","Male"
"2547","6222","70-74","820","Male"
"2548","6223","70-74","400","Male"
"2549","6224","70-74","585","Male"
"2550","6225","70-74","1150","Male"
"2551","6311","70-74","505","Male"
"2552","6312","70-74","485","Male"
"2553","6313","70-74","1185","Male"
"2554","6314","70-74","180","Male"
"2555","6321","70-74","495","Male"
"2556","6322","70-74","615","Male"
"2557","6323","70-74","640","Male"
"2558","6324","70-74","355","Male"
"2559","6411","70-74","980","Male"
"2560","6412","70-74","1375","Male"
"2561","6421","70-74","1335","Male"
"2562","6422","70-74","1465","Male"
"2563","6431","70-74","695","Male"
"2564","6432","70-74","510","Male"
"2565","6511","70-74","735","Male"
"2566","6512","70-74","1375","Male"
"2567","6521","70-74","1005","Male"
"2568","6522","70-74","935","Male"
"2569","6523","70-74","1010","Male"
"2570","6524","70-74","820","Male"
"2571","6531","70-74","1295","Male"
"2572","6532","70-74","865","Male"
"2573","6533","70-74","610","Male"
"2574","7111","70-74","595","Male"
"2575","7121","70-74","655","Male"
"2576","7131","70-74","600","Male"
"2577","7141","70-74","865","Male"
"2578","7142","70-74","1070","Male"
"2579","7143","70-74","2190","Male"
"2580","7151","70-74","755","Male"
"2581","7152","70-74","635","Male"
"2582","8111","70-74","510","Male"
"2583","8121","70-74","555","Male"
"2584","8131","70-74","880","Male"
"2585","8141","70-74","865","Male"
"2586","8151","70-74","340","Male"
"2587","8152","70-74","75","Male"
"2588","9111","70-74","15","Male"
"2589","9121","70-74","150","Male"
"2590","9122","70-74","190","Male"
"2591","9123","70-74","745","Male"
"2592","9131","70-74","190","Male"
"2593","9141","70-74","500","Male"
"2594","9151","70-74","120","Male"
"2595","9161","70-74","135","Male"
"2596","9171","70-74","10","Male"
"2597","10011","70-74","35","Male"
"2598","10012","70-74","30","Male"
"2599","10013","70-74","55","Male"
"2600","10014","70-74","165","Male"
"2601","11111","70-74","370","Male"
"2602","11112","70-74","580","Male"
"2603","11121","70-74","330","Male"
"2604","11131","70-74","65","Male"
"2605","11132","70-74","375","Male"
"2606","11133","70-74","30","Male"
"2607","11141","70-74","595","Male"
"2608","11211","70-74","370","Male"
"2609","12111","70-74","740","Male"
"2610","12112","70-74","1875","Male"
"2611","12113","70-74","1390","Male"
"2612","12114","70-74","990","Male"
"2613","12115","70-74","610","Male"
"2614","12121","70-74","1345","Male"
"2615","12131","70-74","475","Male"
"2616","12132","70-74","1180","Male"
"2617","12141","70-74","495","Male"
"2618","12151","70-74","750","Male"
"2619","12152","70-74","575","Male"
"2620","13111","70-74","2210","Male"
"2621","13112","70-74","1170","Male"
"2622","13113","70-74","1780","Male"
"2623","13114","70-74","2615","Male"
"2624","14111","70-74","1725","Male"
"2625","14112","70-74","1100","Male"
