"","ca.age.pry.census_id","ca.age.pry.Age","ca.age.pry.Count","ca.age.pry.Sex","ca.age.pry.Year"
"1","1","Total","17264200","Male",2016
"2","10","Total","253925","Male",2016
"3","11","Total","69305","Male",2016
"4","12","Total","446885","Male",2016
"5","13","Total","365360","Male",2016
"6","24","Total","4016760","Male",2016
"7","35","Total","6559390","Male",2016
"8","46","Total","631395","Male",2016
"9","47","Total","545785","Male",2016
"10","48","Total","2039410","Male",2016
"11","59","Total","2278245","Male",2016
"12","60","Total","18075","Male",2016
"13","61","Total","21280","Male",2016
"14","62","Total","18395","Male",2016
"15","1","0-4","973030","Male",2016
"16","10","0-4","11435","Male",2016
"17","11","0-4","3645","Male",2016
"18","12","0-4","21365","Male",2016
"19","13","0-4","17510","Male",2016
"20","24","0-4","227965","Male",2016
"21","35","0-4","357300","Male",2016
"22","46","0-4","41710","Male",2016
"23","47","0-4","37335","Male",2016
"24","48","0-4","136525","Male",2016
"25","59","0-4","113355","Male",2016
"26","60","0-4","1155","Male",2016
"27","61","0-4","1605","Male",2016
"28","62","0-4","2135","Male",2016
"29","1","5-9","1034685","Male",2016
"30","10","5-9","13435","Male",2016
"31","11","5-9","3985","Male",2016
"32","12","5-9","23655","Male",2016
"33","13","5-9","19515","Male",2016
"34","24","5-9","240230","Male",2016
"35","35","5-9","387320","Male",2016
"36","46","5-9","42565","Male",2016
"37","47","5-9","38150","Male",2016
"38","48","5-9","138990","Male",2016
"39","59","5-9","122070","Male",2016
"40","60","5-9","1130","Male",2016
"41","61","5-9","1520","Male",2016
"42","62","5-9","2125","Male",2016
"43","1","10-14","985200","Male",2016
"44","10","10-14","13335","Male",2016
"45","11","10-14","3945","Male",2016
"46","12","10-14","23355","Male",2016
"47","13","10-14","19295","Male",2016
"48","24","10-14","214340","Male",2016
"49","35","10-14","387000","Male",2016
"50","46","10-14","40835","Male",2016
"51","47","10-14","34915","Male",2016
"52","48","10-14","124060","Male",2016
"53","59","10-14","119975","Male",2016
"54","60","10-14","1075","Male",2016
"55","61","10-14","1355","Male",2016
"56","62","10-14","1720","Male",2016
"57","1","15-19","1039215","Male",2016
"58","10","15-19","13980","Male",2016
"59","11","15-19","4435","Male",2016
"60","12","15-19","26240","Male",2016
"61","13","15-19","20900","Male",2016
"62","24","15-19","219070","Male",2016
"63","35","15-19","416730","Male",2016
"64","46","15-19","42550","Male",2016
"65","47","15-19","34675","Male",2016
"66","48","15-19","123620","Male",2016
"67","59","15-19","133000","Male",2016
"68","60","15-19","1005","Male",2016
"69","61","15-19","1405","Male",2016
"70","62","15-19","1600","Male",2016
"71","1","20-24","1144495","Male",2016
"72","10","20-24","13915","Male",2016
"73","11","20-24","4390","Male",2016
"74","12","20-24","28145","Male",2016
"75","13","20-24","21275","Male",2016
"76","24","20-24","252600","Male",2016
"77","35","20-24","457820","Male",2016
"78","46","20-24","44465","Male",2016
"79","47","20-24","36075","Male",2016
"80","48","20-24","133990","Male",2016
"81","59","20-24","147615","Male",2016
"82","60","20-24","1035","Male",2016
"83","61","20-24","1635","Male",2016
"84","62","20-24","1535","Male",2016
"85","1","25-29","1144475","Male",2016
"86","10","25-29","14095","Male",2016
"87","11","25-29","3700","Male",2016
"88","12","25-29","26790","Male",2016
"89","13","25-29","19740","Male",2016
"90","24","25-29","248030","Male",2016
"91","35","25-29","436345","Male",2016
"92","46","25-29","43570","Male",2016
"93","47","25-29","39290","Male",2016
"94","48","25-29","156710","Male",2016
"95","59","25-29","151585","Male",2016
"96","60","25-29","1245","Male",2016
"97","61","25-29","1755","Male",2016
"98","62","25-29","1610","Male",2016
"99","1","30-34","1148295","Male",2016
"100","10","30-34","14185","Male",2016
"101","11","30-34","3735","Male",2016
"102","12","30-34","25130","Male",2016
"103","13","30-34","20140","Male",2016
"104","24","30-34","256435","Male",2016
"105","35","30-34","420800","Male",2016
"106","46","30-34","42215","Male",2016
"107","47","30-34","38605","Male",2016
"108","48","30-34","167550","Male",2016
"109","59","30-34","155030","Male",2016
"110","60","30-34","1395","Male",2016
"111","61","30-34","1670","Male",2016
"112","62","30-34","1390","Male",2016
"113","1","35-39","1118635","Male",2016
"114","10","35-39","14555","Male",2016
"115","11","35-39","3885","Male",2016
"116","12","35-39","24560","Male",2016
"117","13","35-39","21590","Male",2016
"118","24","35-39","274595","Male",2016
"119","35","35-39","402895","Male",2016
"120","46","35-39","39885","Male",2016
"121","47","35-39","35940","Male",2016
"122","48","35-39","153655","Male",2016
"123","59","35-39","143070","Male",2016
"124","60","35-39","1230","Male",2016
"125","61","35-39","1565","Male",2016
"126","62","35-39","1205","Male",2016
"127","1","40-44","1104440","Male",2016
"128","10","40-44","16745","Male",2016
"129","11","40-44","4235","Male",2016
"130","12","40-44","27245","Male",2016
"131","13","40-44","23520","Male",2016
"132","24","40-44","254100","Male",2016
"133","35","40-44","418470","Male",2016
"134","46","40-44","39535","Male",2016
"135","47","40-44","32515","Male",2016
"136","48","40-44","142550","Male",2016
"137","59","40-44","141930","Male",2016
"138","60","40-44","1170","Male",2016
"139","61","40-44","1365","Male",2016
"140","62","40-44","1065","Male",2016
"141","1","45-49","1157755","Male",2016
"142","10","45-49","18745","Male",2016
"143","11","45-49","4650","Male",2016
"144","12","45-49","29715","Male",2016
"145","13","45-49","25195","Male",2016
"146","24","45-49","260405","Male",2016
"147","35","45-49","453110","Male",2016
"148","46","45-49","39225","Male",2016
"149","47","45-49","31780","Male",2016
"150","48","45-49","135855","Male",2016
"151","59","45-49","155325","Male",2016
"152","60","45-49","1215","Male",2016
"153","61","45-49","1485","Male",2016
"154","62","45-49","1060","Male",2016
"155","1","50-54","1318755","Male",2016
"156","10","50-54","20730","Male",2016
"157","11","50-54","5425","Male",2016
"158","12","50-54","36610","Male",2016
"159","13","50-54","29795","Male",2016
"160","24","50-54","309065","Male",2016
"161","35","50-54","517170","Male",2016
"162","46","50-54","44485","Male",2016
"163","47","50-54","37225","Male",2016
"164","48","50-54","142205","Male",2016
"165","59","50-54","172065","Male",2016
"166","60","50-54","1390","Male",2016
"167","61","50-54","1620","Male",2016
"168","62","50-54","960","Male",2016
"169","1","55-59","1285190","Male",2016
"170","10","55-59","21035","Male",2016
"171","11","55-59","5415","Male",2016
"172","12","55-59","36925","Male",2016
"173","13","55-59","30205","Male",2016
"174","24","55-59","314190","Male",2016
"175","35","55-59","482280","Male",2016
"176","46","55-59","43550","Male",2016
"177","47","55-59","38065","Male",2016
"178","48","55-59","138570","Male",2016
"179","59","55-59","171210","Male",2016
"180","60","55-59","1505","Male",2016
"181","61","55-59","1480","Male",2016
"182","62","55-59","750","Male",2016
"183","1","60-64","1114880","Male",2016
"184","10","60-64","20570","Male",2016
"185","11","60-64","5215","Male",2016
"186","12","60-64","33735","Male",2016
"187","13","60-64","28165","Male",2016
"188","24","60-64","276140","Male",2016
"189","35","60-64","406505","Male",2016
"190","46","60-64","37780","Male",2016
"191","47","60-64","33935","Male",2016
"192","48","60-64","113440","Male",2016
"193","59","60-64","156450","Male",2016
"194","60","60-64","1310","Male",2016
"195","61","60-64","1110","Male",2016
"196","62","60-64","535","Male",2016
"197","1","65-69","953075","Male",2016
"198","10","65-69","18310","Male",2016
"199","11","65-69","4830","Male",2016
"200","12","65-69","30810","Male",2016
"201","13","65-69","25590","Male",2016
"202","24","65-69","236400","Male",2016
"203","35","65-69","352470","Male",2016
"204","46","65-69","31280","Male",2016
"205","47","65-69","26285","Male",2016
"206","48","65-69","85505","Male",2016
"207","59","65-69","139490","Male",2016
"208","60","65-69","975","Male",2016
"209","61","65-69","780","Male",2016
"210","62","65-69","345","Male",2016
"211","1","70-74","677975","Male",2016
"212","10","70-74","12725","Male",2016
"213","11","70-74","3170","Male",2016
"214","12","70-74","21525","Male",2016
"215","13","70-74","17695","Male",2016
"216","24","70-74","176905","Male",2016
"217","35","70-74","250460","Male",2016
"218","46","70-74","21940","Male",2016
"219","47","70-74","18225","Male",2016
"220","48","70-74","56425","Male",2016
"221","59","70-74","97675","Male",2016
"222","60","70-74","610","Male",2016
"223","61","70-74","445","Male",2016
"224","62","70-74","180","Male",2016
"225","1","75-79","469545","Male",2016
"226","10","75-79","8015","Male",2016
"227","11","75-79","2180","Male",2016
"228","12","75-79","14520","Male",2016
"229","13","75-79","11840","Male",2016
"230","24","75-79","116015","Male",2016
"231","35","75-79","179810","Male",2016
"232","46","75-79","15250","Male",2016
"233","47","75-79","13415","Male",2016
"234","48","75-79","39110","Male",2016
"235","59","75-79","68715","Male",2016
"236","60","75-79","345","Male",2016
"237","61","75-79","230","Male",2016
"238","62","75-79","110","Male",2016
"239","1","80-84","325765","Male",2016
"240","10","80-84","4885","Male",2016
"241","11","80-84","1440","Male",2016
"242","12","80-84","9425","Male",2016
"243","13","80-84","7515","Male",2016
"244","24","80-84","78390","Male",2016
"245","35","80-84","126825","Male",2016
"246","46","80-84","10740","Male",2016
"247","47","80-84","9950","Male",2016
"248","48","80-84","27585","Male",2016
"249","59","80-84","48645","Male",2016
"250","60","80-84","160","Male",2016
"251","61","80-84","155","Male",2016
"252","62","80-84","50","Male",2016
"253","1","85-89","185530","Male",2016
"254","10","85-89","2300","Male",2016
"255","11","85-89","715","Male",2016
"256","12","85-89","4845","Male",2016
"257","13","85-89","3910","Male",2016
"258","24","85-89","43795","Male",2016
"259","35","85-89","73045","Male",2016
"260","46","85-89","6460","Male",2016
"261","47","85-89","6305","Male",2016
"262","48","85-89","16050","Male",2016
"263","59","85-89","27930","Male",2016
"264","60","85-89","95","Male",2016
"265","61","85-89","70","Male",2016
"266","62","85-89","20","Male",2016
"267","1","90-94","68675","Male",2016
"268","10","90-94","790","Male",2016
"269","11","90-94","260","Male",2016
"270","12","90-94","1835","Male",2016
"271","13","90-94","1595","Male",2016
"272","24","90-94","15150","Male",2016
"273","35","90-94","27400","Male",2016
"274","46","90-94","2710","Male",2016
"275","47","90-94","2515","Male",2016
"276","48","90-94","5755","Male",2016
"277","59","90-94","10615","Male",2016
"278","60","90-94","30","Male",2016
"279","61","90-94","20","Male",2016
"280","62","90-94","5","Male",2016
"281","1","95-99","13245","Male",2016
"282","10","95-99","135","Male",2016
"283","11","95-99","45","Male",2016
"284","12","95-99","415","Male",2016
"285","13","95-99","330","Male",2016
"286","24","95-99","2685","Male",2016
"287","35","95-99","5150","Male",2016
"288","46","95-99","580","Male",2016
"289","47","95-99","525","Male",2016
"290","48","95-99","1145","Male",2016
"291","59","95-99","2220","Male",2016
"292","60","95-99","5","Male",2016
"293","61","95-99","5","Male",2016
"294","62","95-99","5","Male",2016
"295","1","100-","1340","Male",2016
"296","10","100-","15","Male",2016
"297","11","100-","5","Male",2016
"298","12","100-","40","Male",2016
"299","13","100-","30","Male",2016
"300","24","100-","255","Male",2016
"301","35","100-","490","Male",2016
"302","46","100-","65","Male",2016
"303","47","100-","50","Male",2016
"304","48","100-","115","Male",2016
"305","59","100-","275","Male",2016
"306","60","100-","0","Male",2016
"307","61","100-","0","Male",2016
"308","62","100-","0","Male",2016
"309","1","Total","17887530","Female",2016
"310","10","Total","265790","Female",2016
"311","11","Total","73600","Female",2016
"312","12","Total","476715","Female",2016
"313","13","Total","381745","Female",2016
"314","24","Total","4147605","Female",2016
"315","35","Total","6889100","Female",2016
"316","46","Total","646970","Female",2016
"317","47","Total","552565","Female",2016
"318","48","Total","2027765","Female",2016
"319","59","Total","2369810","Female",2016
"320","60","Total","17795","Female",2016
"321","61","Total","20505","Female",2016
"322","62","Total","17550","Female",2016
"323","1","0-4","925755","Female",2016
"324","10","0-4","10930","Female",2016
"325","11","0-4","3360","Female",2016
"326","12","0-4","20645","Female",2016
"327","13","0-4","16860","Female",2016
"328","24","0-4","216970","Female",2016
"329","35","0-4","340060","Female",2016
"330","46","0-4","39355","Female",2016
"331","47","0-4","35795","Female",2016
"332","48","0-4","130000","Female",2016
"333","59","0-4","107270","Female",2016
"334","60","0-4","985","Female",2016
"335","61","0-4","1515","Female",2016
"336","62","0-4","2025","Female",2016
"337","1","5-9","983445","Female",2016
"338","10","5-9","12610","Female",2016
"339","11","5-9","3925","Female",2016
"340","12","5-9","22325","Female",2016
"341","13","5-9","18735","Female",2016
"342","24","5-9","228940","Female",2016
"343","35","5-9","368765","Female",2016
"344","46","5-9","40810","Female",2016
"345","47","5-9","36305","Female",2016
"346","48","5-9","131725","Female",2016
"347","59","5-9","114830","Female",2016
"348","60","5-9","995","Female",2016
"349","61","5-9","1495","Female",2016
"350","62","5-9","1990","Female",2016
"351","1","10-14","937445","Female",2016
"352","10","10-14","12700","Female",2016
"353","11","10-14","3835","Female",2016
"354","12","10-14","22490","Female",2016
"355","13","10-14","18585","Female",2016
"356","24","10-14","204815","Female",2016
"357","35","10-14","367530","Female",2016
"358","46","10-14","38545","Female",2016
"359","47","10-14","33175","Female",2016
"360","48","10-14","117860","Female",2016
"361","59","10-14","113885","Female",2016
"362","60","10-14","945","Female",2016
"363","61","10-14","1385","Female",2016
"364","62","10-14","1695","Female",2016
"365","1","15-19","986945","Female",2016
"366","10","15-19","13275","Female",2016
"367","11","15-19","4215","Female",2016
"368","12","15-19","25015","Female",2016
"369","13","15-19","19705","Female",2016
"370","24","15-19","210755","Female",2016
"371","35","15-19","394940","Female",2016
"372","46","15-19","39890","Female",2016
"373","47","15-19","32980","Female",2016
"374","48","15-19","116415","Female",2016
"375","59","15-19","125980","Female",2016
"376","60","15-19","935","Female",2016
"377","61","15-19","1310","Female",2016
"378","62","15-19","1540","Female",2016
"379","1","20-24","1098205","Female",2016
"380","10","20-24","13785","Female",2016
"381","11","20-24","4230","Female",2016
"382","12","20-24","28010","Female",2016
"383","13","20-24","20165","Female",2016
"384","24","20-24","247500","Female",2016
"385","35","20-24","436570","Female",2016
"386","46","20-24","42295","Female",2016
"387","47","20-24","33990","Female",2016
"388","48","20-24","127840","Female",2016
"389","59","20-24","139945","Female",2016
"390","60","20-24","930","Female",2016
"391","61","20-24","1430","Female",2016
"392","62","20-24","1510","Female",2016
"393","1","25-29","1141515","Female",2016
"394","10","25-29","14150","Female",2016
"395","11","25-29","3950","Female",2016
"396","12","25-29","26935","Female",2016
"397","13","25-29","19500","Female",2016
"398","24","25-29","247385","Female",2016
"399","35","25-29","438005","Female",2016
"400","46","25-29","43120","Female",2016
"401","47","25-29","38235","Female",2016
"402","48","25-29","154230","Female",2016
"403","59","25-29","151410","Female",2016
"404","60","25-29","1305","Female",2016
"405","61","25-29","1710","Female",2016
"406","62","25-29","1575","Female",2016
"407","1","30-34","1181105","Female",2016
"408","10","30-34","15220","Female",2016
"409","11","30-34","4020","Female",2016
"410","12","30-34","26600","Female",2016
"411","13","30-34","21370","Female",2016
"412","24","30-34","259070","Female",2016
"413","35","30-34","443970","Female",2016
"414","46","30-34","42975","Female",2016
"415","47","30-34","38915","Female",2016
"416","48","30-34","165620","Female",2016
"417","59","30-34","158715","Female",2016
"418","60","30-34","1495","Female",2016
"419","61","30-34","1720","Female",2016
"420","62","30-34","1425","Female",2016
"421","1","35-39","1169730","Female",2016
"422","10","35-39","16190","Female",2016
"423","11","35-39","4290","Female",2016
"424","12","35-39","27450","Female",2016
"425","13","35-39","22850","Female",2016
"426","24","35-39","275945","Female",2016
"427","35","35-39","439580","Female",2016
"428","46","35-39","41215","Female",2016
"429","47","35-39","35650","Female",2016
"430","48","35-39","151850","Female",2016
"431","59","35-39","150520","Female",2016
"432","60","35-39","1355","Female",2016
"433","61","35-39","1650","Female",2016
"434","62","35-39","1180","Female",2016
"435","1","40-44","1150695","Female",2016
"436","10","40-44","17765","Female",2016
"437","11","40-44","4585","Female",2016
"438","12","40-44","29800","Female",2016
"439","13","40-44","24905","Female",2016
"440","24","40-44","252425","Female",2016
"441","35","40-44","453410","Female",2016
"442","46","40-44","39790","Female",2016
"443","47","40-44","32440","Female",2016
"444","48","40-44","138660","Female",2016
"445","59","40-44","153115","Female",2016
"446","60","40-44","1370","Female",2016
"447","61","40-44","1460","Female",2016
"448","62","40-44","965","Female",2016
"449","1","45-49","1202210","Female",2016
"450","10","45-49","19920","Female",2016
"451","11","45-49","4915","Female",2016
"452","12","45-49","32170","Female",2016
"453","13","45-49","26105","Female",2016
"454","24","45-49","259020","Female",2016
"455","35","45-49","484275","Female",2016
"456","46","45-49","40130","Female",2016
"457","47","45-49","31795","Female",2016
"458","48","45-49","133180","Female",2016
"459","59","45-49","167040","Female",2016
"460","60","45-49","1250","Female",2016
"461","61","45-49","1400","Female",2016
"462","62","45-49","1005","Female",2016
"463","1","50-54","1359320","Female",2016
"464","10","50-54","21890","Female",2016
"465","11","50-54","5825","Female",2016
"466","12","50-54","39065","Female",2016
"467","13","50-54","31260","Female",2016
"468","24","50-54","310370","Female",2016
"469","35","50-54","539175","Female",2016
"470","46","50-54","45355","Female",2016
"471","47","50-54","38015","Female",2016
"472","48","50-54","142105","Female",2016
"473","59","50-54","182310","Female",2016
"474","60","50-54","1495","Female",2016
"475","61","50-54","1580","Female",2016
"476","62","50-54","885","Female",2016
"477","1","55-59","1335055","Female",2016
"478","10","55-59","22045","Female",2016
"479","11","55-59","5915","Female",2016
"480","12","55-59","39575","Female",2016
"481","13","55-59","31530","Female",2016
"482","24","55-59","322285","Female",2016
"483","35","55-59","507180","Female",2016
"484","46","55-59","44215","Female",2016
"485","47","55-59","38125","Female",2016
"486","48","55-59","136970","Female",2016
"487","59","55-59","183720","Female",2016
"488","60","55-59","1490","Female",2016
"489","61","55-59","1345","Female",2016
"490","62","55-59","660","Female",2016
"491","1","60-64","1175630","Female",2016
"492","10","60-64","21460","Female",2016
"493","11","60-64","5475","Female",2016
"494","12","60-64","36225","Female",2016
"495","13","60-64","29895","Female",2016
"496","24","60-64","286535","Female",2016
"497","35","60-64","439640","Female",2016
"498","46","60-64","39325","Female",2016
"499","47","60-64","33985","Female",2016
"500","48","60-64","112790","Female",2016
"501","59","60-64","167645","Female",2016
"502","60","60-64","1220","Female",2016
"503","61","60-64","1005","Female",2016
"504","62","60-64","440","Female",2016
"505","1","65-69","1019405","Female",2016
"506","10","65-69","19180","Female",2016
"507","11","65-69","5110","Female",2016
"508","12","65-69","32900","Female",2016
"509","13","65-69","26565","Female",2016
"510","24","65-69","251780","Female",2016
"511","35","65-69","385275","Female",2016
"512","46","65-69","33625","Female",2016
"513","47","65-69","26945","Female",2016
"514","48","65-69","88180","Female",2016
"515","59","65-69","148030","Female",2016
"516","60","65-69","870","Female",2016
"517","61","65-69","630","Female",2016
"518","62","65-69","310","Female",2016
"519","1","70-74","742905","Female",2016
"520","10","70-74","13445","Female",2016
"521","11","70-74","3455","Female",2016
"522","12","70-74","23480","Female",2016
"523","13","70-74","18360","Female",2016
"524","24","70-74","196690","Female",2016
"525","35","70-74","278185","Female",2016
"526","46","70-74","24040","Female",2016
"527","47","70-74","19510","Female",2016
"528","48","70-74","60610","Female",2016
"529","59","70-74","104110","Female",2016
"530","60","70-74","485","Female",2016
"531","61","70-74","375","Female",2016
"532","62","70-74","165","Female",2016
"533","1","75-79","552305","Female",2016
"534","10","75-79","8930","Female",2016
"535","11","75-79","2520","Female",2016
"536","12","75-79","17025","Female",2016
"537","13","75-79","13465","Female",2016
"538","24","75-79","140890","Female",2016
"539","35","75-79","213200","Female",2016
"540","46","75-79","18305","Female",2016
"541","47","75-79","15985","Female",2016
"542","48","75-79","44845","Female",2016
"543","59","75-79","76515","Female",2016
"544","60","75-79","295","Female",2016
"545","61","75-79","235","Female",2016
"546","62","75-79","100","Female",2016
"547","1","80-84","423880","Female",2016
"548","10","80-84","6175","Female",2016
"549","11","80-84","1930","Female",2016
"550","12","80-84","12490","Female",2016
"551","13","80-84","10135","Female",2016
"552","24","80-84","109445","Female",2016
"553","35","80-84","164360","Female",2016
"554","46","80-84","14575","Female",2016
"555","47","80-84","13170","Female",2016
"556","48","80-84","34575","Female",2016
"557","59","80-84","56610","Female",2016
"558","60","80-84","215","Female",2016
"559","61","80-84","145","Female",2016
"560","62","80-84","50","Female",2016
"561","1","85-89","296990","Female",2016
"562","10","85-89","3870","Female",2016
"563","11","85-89","1180","Female",2016
"564","12","85-89","8360","Female",2016
"565","13","85-89","6760","Female",2016
"566","24","85-89","76840","Female",2016
"567","35","85-89","115420","Female",2016
"568","46","85-89","10870","Female",2016
"569","47","85-89","9975","Female",2016
"570","48","85-89","23915","Female",2016
"571","59","85-89","39575","Female",2016
"572","60","85-89","105","Female",2016
"573","61","85-89","85","Female",2016
"574","62","85-89","25","Female",2016
"575","1","90-94","154830","Female",2016
"576","10","90-94","1700","Female",2016
"577","11","90-94","645","Female",2016
"578","12","90-94","4485","Female",2016
"579","13","90-94","3710","Female",2016
"580","24","90-94","38015","Female",2016
"581","35","90-94","60990","Female",2016
"582","46","90-94","6235","Female",2016
"583","47","90-94","5485","Female",2016
"584","48","90-94","12270","Female",2016
"585","59","90-94","21205","Female",2016
"586","60","90-94","50","Female",2016
"587","61","90-94","35","Female",2016
"588","62","90-94","5","Female",2016
"589","1","95-99","43280","Female",2016
"590","10","95-99","475","Female",2016
"591","11","95-99","205","Female",2016
"592","12","95-99","1430","Female",2016
"593","13","95-99","1105","Female",2016
"594","24","95-99","10350","Female",2016
"595","35","95-99","16055","Female",2016
"596","46","95-99","1940","Female",2016
"597","47","95-99","1760","Female",2016
"598","48","95-99","3595","Female",2016
"599","59","95-99","6330","Female",2016
"600","60","95-99","20","Female",2016
"601","61","95-99","10","Female",2016
"602","62","95-99","0","Female",2016
"603","1","100-","6890","Female",2016
"604","10","100-","75","Female",2016
"605","11","100-","25","Female",2016
"606","12","100-","230","Female",2016
"607","13","100-","180","Female",2016
"608","24","100-","1600","Female",2016
"609","35","100-","2520","Female",2016
"610","46","100-","355","Female",2016
"611","47","100-","320","Female",2016
"612","48","100-","540","Female",2016
"613","59","100-","1050","Female",2016
"614","60","100-","0","Female",2016
"615","61","100-","0","Female",2016
"616","62","100-","0","Female",2016
