"","Journey_towork.census_id","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1,1082595,15385940,2011
"2",10,13365,208420,2011
"3",11,3620,64005,2011
"4",12,30690,408570,2011
"5",13,19225,332000,2011
"6",24,264085,3633090,2011
"7",35,368980,5841815,2011
"8",46,47145,555310,2011
"9",47,37190,469080,2011
"10",48,110545,1839360,2011
"11",59,174465,1984990,2011
"12",60,2185,18050,2011
"13",61,6005,20465,2011
"14",62,5105,10795,2011
