"","Housing_type.CLSC_code","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1111,2155,9150,2016
"2",1121,5050,15155,2016
"3",1131,2155,8825,2016
"4",1141,950,4065,2016
"5",1151,9020,26115,2016
"6",1161,2150,8205,2016
"7",1171,2970,10180,2016
"8",1181,2060,8140,2016
"9",2111,3710,13730,2016
"10",2121,2890,11090,2016
"11",2131,6285,22620,2016
"12",2141,9785,29885,2016
"13",2151,13210,35415,2016
"14",2161,3370,10035,2016
"15",3111,4960,23135,2016
"16",3121,4315,25335,2016
"17",3122,10400,23655,2016
"18",3123,18870,37330,2016
"19",3124,14135,21320,2016
"20",3125,11640,15420,2016
"21",3126,24590,31960,2016
"22",3131,10870,42760,2016
"23",3132,14610,47195,2016
"24",3133,13205,38480,2016
"25",3134,2595,14895,2016
"26",3141,1495,5780,2016
"27",3142,1745,6980,2016
"28",4111,2030,6375,2016
"29",4121,1190,6015,2016
"30",4122,1155,5825,2016
"31",4131,3095,10695,2016
"32",4141,11405,30680,2016
"33",4151,19450,42985,2016
"34",4152,8665,22020,2016
"35",4161,2545,10085,2016
"36",4162,2070,9040,2016
"37",4171,17580,45330,2016
"38",4181,9760,31450,2016
"39",4182,2705,10270,2016
"40",5111,7290,23465,2016
"41",5121,16390,43925,2016
"42",5131,6245,22920,2016
"43",5141,2215,7815,2016
"44",5151,35585,73505,2016
"45",5161,3415,13015,2016
"46",5171,1980,6480,2016
"47",5181,2100,9585,2016
"48",5191,2080,9560,2016
"49",6111,5755,29365,2016
"50",6112,9450,32300,2016
"51",6113,4040,17210,2016
"52",6121,14775,28320,2016
"53",6122,19990,33260,2016
"54",6211,11205,20725,2016
"55",6212,20490,32850,2016
"56",6221,9500,12025,2016
"57",6222,6955,17255,2016
"58",6223,10630,14430,2016
"59",6224,20445,24100,2016
"60",6225,24715,33165,2016
"61",6311,12575,20810,2016
"62",6312,9645,14745,2016
"63",6313,21360,33985,2016
"64",6314,5190,7600,2016
"65",6321,13850,20090,2016
"66",6322,20780,29720,2016
"67",6323,16610,21875,2016
"68",6324,5295,8570,2016
"69",6411,12265,22385,2016
"70",6412,18875,35945,2016
"71",6421,23805,38025,2016
"72",6422,25070,35045,2016
"73",6431,22260,30940,2016
"74",6432,18730,26225,2016
"75",6511,15860,22830,2016
"76",6512,20080,30940,2016
"77",6521,6530,21185,2016
"78",6522,10455,18800,2016
"79",6523,9865,22990,2016
"80",6524,11440,20640,2016
"81",6531,30250,44365,2016
"82",6532,13365,20515,2016
"83",6533,20030,27080,2016
"84",7111,1610,8450,2016
"85",7121,2280,9395,2016
"86",7131,1530,13940,2016
"87",7141,6200,25045,2016
"88",7142,18840,33430,2016
"89",7143,16045,49465,2016
"90",7151,4170,15905,2016
"91",7152,1525,7490,2016
"92",8111,2160,9030,2016
"93",8121,2905,10530,2016
"94",8131,6880,18850,2016
"95",8141,6615,19040,2016
"96",8151,1285,5660,2016
"97",8152,360,1465,2016
"98",9111,480,1340,2016
"99",9121,535,2435,2016
"100",9122,615,2555,2016
"101",9123,3385,13735,2016
"102",9131,820,3280,2016
"103",9141,3800,11965,2016
"104",9151,480,2705,2016
"105",9161,185,1760,2016
"106",9171,10,165,2016
"107",10011,115,555,2016
"108",10012,140,620,2016
"109",10013,160,940,2016
"110",10014,1120,3920,2016
"111",11111,1500,6570,2016
"112",11112,2035,7895,2016
"113",11121,1360,5110,2016
"114",11131,175,1075,2016
"115",11132,1805,6860,2016
"116",11133,50,315,2016
"117",11141,2115,7580,2016
"118",11211,1315,5535,2016
"119",12111,2755,13350,2016
"120",12112,9155,38255,2016
"121",12113,9755,25060,2016
"122",12114,3320,15625,2016
"123",12115,2865,12240,2016
"124",12121,5160,19670,2016
"125",12131,1960,8000,2016
"126",12132,6905,22860,2016
"127",12141,1425,7320,2016
"128",12151,2980,10425,2016
"129",12152,1675,8020,2016
"130",13111,7660,50020,2016
"131",13112,4730,22690,2016
"132",13113,18325,38055,2016
"133",13114,18315,49580,2016
"134",14111,4560,23135,2016
"135",14112,4935,21610,2016
"136",14113,12045,29700,2016
"137",14114,4660,18225,2016
"138",14121,12330,59700,2016
"139",14122,12065,49770,2016
"140",15111,4495,16475,2016
"141",15121,6075,21975,2016
"142",15131,4975,20695,2016
"143",15141,4645,14790,2016
"144",15151,11400,47005,2016
"145",15161,22400,67380,2016
"146",15171,16520,60760,2016
"147",16111,16545,52855,2016
"148",16112,9355,33945,2016
"149",16121,6690,27415,2016
"150",16122,17040,49525,2016
"151",16211,20150,30945,2016
"152",16212,14135,30835,2016
"153",16213,8270,46830,2016
"154",16221,7580,44335,2016
"155",16222,15000,38020,2016
"156",16223,1830,6635,2016
"157",16231,7925,23795,2016
"158",16311,10145,57515,2016
"159",16321,10245,26065,2016
"160",16331,2050,9665,2016
"161",16341,6530,28435,2016
"162",16342,8300,40625,2016
"163",16343,2845,11205,2016
"164",17011,1765,1795,2016
"165",17012,1775,1830,2016
"166",18011,845,4010,2016
