"","Journey_towork.census_id","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1,1100120,15878940,2016
"2",10,10315,206090,2016
"3",11,3685,63065,2016
"4",12,27345,397570,2016
"5",13,15860,318285,2016
"6",24,259980,3672440,2016
"7",35,395475,6092715,2016
"8",46,40500,573000,2016
"9",47,32595,483865,2016
"10",48,107720,1927375,2016
"11",59,193660,2093140,2016
"12",60,2210,18340,2016
"13",61,5245,20630,2016
"14",62,5510,12430,2016
