"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"1","1111","Total","10955","Male",2006
"2","1121","Total","16230","Male",2006
"3","1131","Total","10965","Male",2006
"4","1141","Total","4690","Male",2006
"5","1151","Total","25545","Male",2006
"6","1161","Total","9600","Male",2006
"7","1171","Total","10980","Male",2006
"8","1181","Total","9550","Male",2006
"9","2111","Total","15855","Male",2006
"10","2121","Total","13365","Male",2006
"11","2131","Total","25135","Male",2006
"12","2141","Total","31705","Male",2006
"13","2151","Total","37255","Male",2006
"14","2161","Total","11470","Male",2006
"15","3111","Total","23260","Male",2006
"16","3121","Total","29795","Male",2006
"17","3122","Total","19745","Male",2006
"18","3123","Total","34630","Male",2006
"19","3124","Total","16070","Male",2006
"20","3125","Total","13095","Male",2006
"21","3126","Total","27480","Male",2006
"22","3131","Total","40510","Male",2006
"23","3132","Total","45540","Male",2006
"24","3133","Total","37910","Male",2006
"25","3134","Total","14960","Male",2006
"26","3141","Total","6515","Male",2006
"27","3142","Total","8110","Male",2006
"28","4111","Total","7850","Male",2006
"29","4121","Total","6380","Male",2006
"30","4122","Total","5960","Male",2006
"31","4131","Total","11755","Male",2006
"32","4141","Total","31485","Male",2006
"33","4151","Total","39865","Male",2006
"34","4152","Total","22285","Male",2006
"35","4161","Total","11310","Male",2006
"36","4162","Total","9495","Male",2006
"37","4171","Total","45950","Male",2006
"38","4181","Total","32610","Male",2006
"39","4182","Total","11530","Male",2006
"40","5111","Total","24895","Male",2006
"41","5121","Total","43375","Male",2006
"42","5131","Total","22175","Male",2006
"43","5141","Total","9250","Male",2006
"44","5151","Total","70670","Male",2006
"45","5161","Total","14700","Male",2006
"46","5171","Total","7180","Male",2006
"47","5181","Total","11080","Male",2006
"48","5191","Total","11375","Male",2006
"49","6111","Total","38705","Male",2006
"50","6112","Total","39895","Male",2006
"51","6113","Total","24040","Male",2006
"52","6121","Total","28260","Male",2006
"53","6122","Total","35030","Male",2006
"54","6211","Total","22350","Male",2006
"55","6212","Total","33300","Male",2006
"56","6221","Total","15630","Male",2006
"57","6222","Total","20390","Male",2006
"58","6223","Total","15315","Male",2006
"59","6224","Total","25255","Male",2006
"60","6225","Total","29135","Male",2006
"61","6311","Total","14830","Male",2006
"62","6312","Total","14490","Male",2006
"63","6313","Total","31455","Male",2006
"64","6314","Total","6925","Male",2006
"65","6321","Total","19375","Male",2006
"66","6322","Total","26070","Male",2006
"67","6323","Total","20935","Male",2006
"68","6324","Total","5660","Male",2006
"69","6411","Total","25490","Male",2006
"70","6412","Total","38245","Male",2006
"71","6421","Total","36740","Male",2006
"72","6422","Total","38925","Male",2006
"73","6431","Total","28640","Male",2006
"74","6432","Total","22970","Male",2006
"75","6511","Total","26185","Male",2006
"76","6512","Total","33700","Male",2006
"77","6521","Total","26795","Male",2006
"78","6522","Total","18845","Male",2006
"79","6523","Total","25740","Male",2006
"80","6524","Total","19915","Male",2006
"81","6531","Total","38385","Male",2006
"82","6532","Total","19325","Male",2006
"83","6533","Total","24355","Male",2006
"84","7111","Total","9940","Male",2006
"85","7121","Total","10440","Male",2006
"86","7131","Total","15895","Male",2006
"87","7141","Total","20170","Male",2006
"88","7142","Total","33305","Male",2006
"89","7143","Total","52680","Male",2006
"90","7151","Total","16780","Male",2006
"91","7152","Total","8085","Male",2006
"92","8111","Total","10500","Male",2006
"93","8121","Total","12250","Male",2006
"94","8131","Total","19695","Male",2006
"95","8141","Total","20955","Male",2006
"96","8151","Total","6655","Male",2006
"97","8152","Total","1780","Male",2006
"98","9111","Total","1805","Male",2006
"99","9121","Total","2935","Male",2006
"100","9122","Total","3270","Male",2006
"101","9123","Total","16730","Male",2006
"102","9131","Total","4055","Male",2006
"103","9141","Total","13485","Male",2006
"104","9151","Total","3175","Male",2006
"105","9161","Total","2760","Male",2006
"106","9171","Total","280","Male",2006
"107","10011","Total","745","Male",2006
"108","10012","Total","815","Male",2006
"109","10013","Total","1420","Male",2006
"110","10014","Total","4740","Male",2006
"111","11111","Total","7150","Male",2006
"112","11112","Total","8750","Male",2006
"113","11121","Total","5845","Male",2006
"114","11131","Total","1295","Male",2006
"115","11132","Total","7685","Male",2006
"116","11133","Total","415","Male",2006
"117","11141","Total","8635","Male",2006
"118","11211","Total","6390","Male",2006
"119","12111","Total","13970","Male",2006
"120","12112","Total","41940","Male",2006
"121","12113","Total","24060","Male",2006
"122","12114","Total","16920","Male",2006
"123","12115","Total","13200","Male",2006
"124","12121","Total","21330","Male",2006
"125","12131","Total","9500","Male",2006
"126","12132","Total","24815","Male",2006
"127","12141","Total","8870","Male",2006
"128","12151","Total","11535","Male",2006
"129","12152","Total","9470","Male",2006
"130","13111","Total","58695","Male",2006
"131","13112","Total","27175","Male",2006
"132","13113","Total","40645","Male",2006
"133","13114","Total","52690","Male",2006
"134","14111","Total","25370","Male",2006
"135","14112","Total","21775","Male",2006
"136","14113","Total","27820","Male",2006
"137","14114","Total","20205","Male",2006
"138","14121","Total","63750","Male",2006
"139","14122","Total","53775","Male",2006
"140","15111","Total","17590","Male",2006
"141","15121","Total","21255","Male",2006
"142","15131","Total","18020","Male",2006
"143","15141","Total","14815","Male",2006
"144","15151","Total","49635","Male",2006
