"","Language_FrEn.HR_code","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1011,310055,310650,2016
"2",1012,91990,91980,2016
"3",1013,76535,76585,2016
"4",1014,36085,36270,2016
"5",1100,139735,140990,2016
"6",1211,56550,56610,2016
"7",1212,54940,54960,2016
"8",1223,79820,79945,2016
"9",1234,73390,73540,2016
"10",1235,29265,29305,2016
"11",1246,42875,42915,2016
"12",1247,41770,41795,2016
"13",1258,114770,114875,2016
"14",1269,415995,418220,2016
"15",1301,204985,205740,2016
"16",1302,167660,168385,2016
"17",1303,172005,172735,2016
"18",1304,46870,46885,2016
"19",1305,24565,24580,2016
"20",1306,74945,75015,2016
"21",1307,56580,56630,2016
"22",2401,194610,194645,2016
"23",2402,272690,272760,2016
"24",2403,716575,718550,2016
"25",2404,499985,501025,2016
"26",2405,313815,314965,2016
"27",2406,1869550,1914750,2016
"28",2407,377220,379025,2016
"29",2408,145310,145375,2016
"30",2409,91080,91535,2016
"31",2410,14025,14185,2016
"32",2411,89110,89160,2016
"33",2412,414850,415070,2016
"34",2413,409570,417995,2016
"35",2414,489200,490280,2016
"36",2415,583370,585135,2016
"37",2416,1483220,1491950,2016
"38",2417,11165,13125,2016
"39",2418,16270,17115,2016
"40",3526,111395,111755,2016
"41",3527,132050,132880,2016
"42",3530,635805,640990,2016
"43",3531,87335,87930,2016
"44",3533,159370,160265,2016
"45",3534,107610,108410,2016
"46",3535,176030,176270,2016
"47",3536,537205,544005,2016
"48",3537,520820,530635,2016
"49",3538,158675,159085,2016
"50",3539,57905,58355,2016
"51",3540,100510,101085,2016
"52",3541,188155,188850,2016
"53",3542,124940,125225,2016
"54",3543,166635,166840,2016
"55",3544,443735,450130,2016
"56",3546,438080,440965,2016
"57",3547,122070,122205,2016
"58",3549,75705,75910,2016
"59",3551,909585,923370,2016
"60",3552,109285,109715,2016
"61",3553,1381150,1436565,2016
"62",3554,75035,75625,2016
"63",3555,209830,210245,2016
"64",3556,84240,84495,2016
"65",3557,101960,102120,2016
"66",3558,199750,200065,2016
"67",3560,533730,536110,2016
"68",3561,193865,194320,2016
"69",3562,155410,156095,2016
"70",3563,32735,32760,2016
"71",3565,520120,529420,2016
"72",3566,291540,294150,2016
"73",3568,387000,395110,2016
"74",3570,1041425,1103295,2016
"75",3595,2571650,2704420,2016
"76",4601,700605,711695,2016
"77",4602,161925,163495,2016
"78",4603,126935,127370,2016
"79",4604,71765,72125,2016
"80",4605,187555,190410,2016
"81",4701,55745,55825,2016
"82",4702,54190,54320,2016
"83",4703,42165,42310,2016
"84",4704,276140,278810,2016
"85",4705,54530,54545,2016
"86",4706,340950,344720,2016
"87",4707,41785,41925,2016
"88",4708,41300,41395,2016
"89",4709,75990,76215,2016
"90",4710,74610,74740,2016
"91",4711,22565,22640,2016
"92",4712,10275,10355,2016
"93",4713,4905,4995,2016
"94",4831,284750,287880,2016
"95",4832,1508130,1538690,2016
"96",4833,455065,457150,2016
"97",4834,1284570,1305350,2016
"98",4835,436890,439475,2016
"99",5911,79820,79950,2016
"100",5912,79715,79810,2016
"101",5913,356435,358295,2016
"102",5914,217320,218020,2016
"103",5921,281690,290705,2016
"104",5922,608180,635805,2016
"105",5923,738540,777700,2016
"106",5931,175145,197255,2016
"107",5932,596905,640280,2016
"108",5933,277770,281920,2016
"109",5941,374530,377680,2016
"110",5942,266350,267095,2016
"111",5943,120945,121255,2016
"112",5951,72840,73120,2016
"113",5952,140435,140975,2016
"114",5953,67185,67585,2016
"115",6001,35285,35410,2016
"116",6101,41085,41325,2016
"117",6201,33685,35670,2016
