"","Lowincome_LIM_total.census_id","Lowincome_LIM_total.Nom","Lowincome_LIM_total.Den","Lowincome_LIM_total.Year"
"1",1,4809940,33968300,2016
"2",10,78590,509340,2016
"3",11,23455,139090,2016
"4",12,154955,898345,2016
"5",13,123820,722555,2016
"6",24,1160195,7921505,2016
"7",35,1898975,13184055,2016
"8",46,180880,1175715,2016
"9",47,130220,1014605,2016
"10",48,363885,3925220,2016
"11",59,694960,4477875,2016
"12",60,0,0,2016
"13",61,0,0,2016
"14",62,0,0,2016
