"","Housing_type.CLSC_code","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1111,2120,8970,2006
"2",1121,4750,14140,2006
"3",1131,2310,9115,2006
"4",1141,975,4095,2006
"5",1151,8025,23195,2006
"6",1161,2025,8205,2006
"7",1171,2875,10050,2006
"8",1181,2240,7970,2006
"9",2111,3850,13305,2006
"10",2121,3300,11195,2006
"11",2131,6165,20735,2006
"12",2141,9445,27745,2006
"13",2151,11905,32000,2006
"14",2161,3180,9400,2006
"15",3111,4425,19665,2006
"16",3121,3970,23125,2006
"17",3122,7890,18525,2006
"18",3123,18730,36660,2006
"19",3124,15005,21360,2006
"20",3125,11185,15035,2006
"21",3126,24865,31620,2006
"22",3131,7880,31950,2006
"23",3132,12880,40695,2006
"24",3133,10700,32155,2006
"25",3134,2325,12250,2006
"26",3141,1315,5420,2006
"27",3142,1835,6790,2006
"28",4111,1825,6335,2006
"29",4121,1245,5810,2006
"30",4122,1090,5105,2006
"31",4131,2985,10250,2006
"32",4141,11250,29745,2006
"33",4151,17995,38680,2006
"34",4152,7770,20370,2006
"35",4161,2460,9440,2006
"36",4162,1670,7840,2006
"37",4171,15200,39510,2006
"38",4181,8605,27580,2006
"39",4182,2665,9605,2006
"40",5111,6270,20870,2006
"41",5121,14265,36895,2006
"42",5131,5430,19930,2006
"43",5141,2035,7275,2006
"44",5151,33370,65990,2006
"45",5161,3260,11875,2006
"46",5171,1850,6400,2006
"47",5181,1715,8830,2006
"48",5191,2050,9365,2006
"49",6111,5820,28910,2006
"50",6112,8580,30165,2006
"51",6113,3695,16340,2006
"52",6121,14300,26500,2006
"53",6122,19980,33230,2006
"54",6211,10975,20820,2006
"55",6212,20850,32325,2006
"56",6221,9680,11940,2006
"57",6222,7550,17440,2006
"58",6223,10215,13015,2006
"59",6224,21225,24645,2006
"60",6225,21555,29215,2006
"61",6311,9680,14210,2006
"62",6312,9680,14530,2006
"63",6313,21765,32335,2006
"64",6314,5135,6660,2006
"65",6321,13695,19725,2006
"66",6322,21640,29275,2006
"67",6323,15710,19030,2006
"68",6324,3470,5390,2006
"69",6411,12080,21785,2006
"70",6412,18395,32000,2006
"71",6421,23420,37130,2006
"72",6422,26565,36510,2006
"73",6431,21940,29755,2006
"74",6432,18920,24625,2006
"75",6511,15045,22075,2006
"76",6512,19820,29985,2006
"77",6521,6670,19830,2006
"78",6522,10535,18990,2006
"79",6523,10050,22450,2006
"80",6524,10945,19145,2006
"81",6531,30610,43335,2006
"82",6532,12920,19695,2006
"83",6533,20045,24700,2006
"84",7111,1525,7975,2006
"85",7121,1960,8960,2006
"86",7131,1285,11710,2006
"87",7141,2890,15365,2006
"88",7142,17665,32800,2006
"89",7143,12950,43310,2006
"90",7151,3125,13335,2006
"91",7152,1490,6765,2006
"92",8111,2185,8755,2006
"93",8121,2760,9915,2006
"94",8131,6985,17415,2006
"95",8141,6745,17665,2006
"96",8151,1365,5550,2006
"97",8152,380,1465,2006
"98",9111,490,1415,2006
"99",9121,590,2260,2006
"100",9122,730,2835,2006
"101",9123,3430,13685,2006
"102",9131,800,3230,2006
"103",9141,3895,11345,2006
"104",9151,415,2440,2006
"105",9161,270,1880,2006
"106",9171,10,135,2006
"107",10011,185,605,2006
"108",10012,160,655,2006
"109",10013,155,1075,2006
"110",10014,1115,3780,2006
"111",11111,1675,6145,2006
"112",11112,1655,7520,2006
"113",11121,1220,5105,2006
"114",11131,145,1130,2006
"115",11132,1545,6375,2006
"116",11133,125,370,2006
"117",11141,2150,7490,2006
"118",11211,1100,5190,2006
"119",12111,2340,10850,2006
"120",12112,7765,32785,2006
"121",12113,8450,21885,2006
"122",12114,2500,13320,2006
"123",12115,2415,10165,2006
"124",12121,4870,18960,2006
"125",12131,1955,7470,2006
"126",12132,6305,20440,2006
"127",12141,1475,7235,2006
"128",12151,2950,10010,2006
"129",12152,1635,7900,2006
"130",13111,6995,43875,2006
"131",13112,4265,19865,2006
"132",13113,18380,37300,2006
"133",13114,15155,42915,2006
"134",14111,3990,21715,2006
"135",14112,3600,16945,2006
"136",14113,10285,25190,2006
"137",14114,3855,16525,2006
"138",14121,8610,46890,2006
"139",14122,10220,42435,2006
"140",15111,3950,15300,2006
"141",15121,4705,19065,2006
"142",15131,3860,17135,2006
"143",15141,3560,12850,2006
"144",15151,9000,38975,2006
"145",15161,16485,50225,2006
"146",15171,13785,53250,2006
"147",16111,14905,46690,2006
"148",16112,7795,29610,2006
"149",16121,5525,21665,2006
"150",16122,15705,44660,2006
"151",16211,20395,31260,2006
"152",16212,13825,28040,2006
"153",16213,6875,40650,2006
"154",16221,6630,38635,2006
"155",16222,13690,33945,2006
"156",16223,1820,6280,2006
"157",16231,7110,22070,2006
"158",16311,8145,45835,2006
"159",16321,9290,24090,2006
"160",16331,1770,9045,2006
"161",16341,5310,23890,2006
"162",16342,6790,34360,2006
"163",16343,2090,9160,2006
"164",17011,1280,1295,2006
"165",17012,1230,1305,2006
"166",18011,1275,3225,2006
