"","Journey_towork.HR_code","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1011,8335,119855,2006
"2",1012,2685,29970,2006
"3",1013,2405,25745,2006
"4",1014,1555,14340,2006
"5",1100,4445,61355,2006
"6",1211,1580,23655,2006
"7",1212,1555,24550,2006
"8",1223,2450,33645,2006
"9",1234,2075,32150,2006
"10",1235,1020,12205,2006
"11",1246,1250,19935,2006
"12",1247,1520,18115,2006
"13",1258,2940,44385,2006
"14",1269,20510,193875,2006
"15",1301,7270,89765,2006
"16",1302,5505,75010,2006
"17",1303,5695,76385,2006
"18",1304,1430,21615,2006
"19",1305,810,10480,2006
"20",1306,1670,32085,2006
"21",1307,950,17480,2006
"22",2401,9150,81510,2006
"23",2402,8725,115120,2006
"24",2403,30085,322435,2006
"25",2404,18320,205960,2006
"26",2405,11505,131695,2006
"27",2406,86345,831495,2006
"28",2407,10865,165700,2006
"29",2408,7335,62085,2006
"30",2409,4910,41355,2006
"31",2410,1205,7230,2006
"32",2411,2375,32655,2006
"33",2412,13910,187200,2006
"34",2413,6365,178900,2006
"35",2414,11065,201995,2006
"36",2415,12665,241830,2006
"37",2416,39550,655245,2006
"38",2417,1805,3610,2006
"39",2418,1830,5205,2006
"40",3526,4350,47980,2006
"41",3527,3480,59030,2006
"42",3530,10140,274845,2006
"43",3531,2815,39255,2006
"44",3533,6315,68640,2006
"45",3534,3365,48205,2006
"46",3535,4875,71735,2006
"47",3536,9145,216755,2006
"48",3537,14705,231845,2006
"49",3538,5005,67790,2006
"50",3539,2910,25820,2006
"51",3540,3510,48935,2006
"52",3541,9190,82445,2006
"53",3542,3995,57100,2006
"54",3543,5345,73185,2006
"55",3544,15385,201670,2006
"56",3546,12500,196445,2006
"57",3547,5135,51445,2006
"58",3549,4765,34325,2006
"59",3551,40060,397390,2006
"60",3552,3445,48700,2006
"61",3553,15510,572800,2006
"62",3554,4545,35910,2006
"63",3555,5720,58155,2006
"64",3556,4355,36085,2006
"65",3557,3620,43250,2006
"66",3558,5495,85420,2006
"67",3560,13500,226805,2006
"68",3561,6795,84700,2006
"69",3562,6965,72530,2006
"70",3563,1850,13560,2006
"71",3565,16065,240870,2006
"72",3566,9615,125325,2006
"73",3568,10240,170005,2006
"74",3570,12005,433085,2006
"75",3595,101355,1148935,2006
"76",4601,24595,322075,2006
"77",4602,7365,62490,2006
"78",4603,3415,49645,2006
"79",4604,4155,22715,2006
"80",4605,6170,65905,2006
"81",4701,2135,22270,2006
"82",4702,2255,22335,2006
"83",4703,1765,16285,2006
"84",4704,8675,116430,2006
"85",4705,2035,21110,2006
"86",4706,12205,135860,2006
"87",4707,2330,15395,2006
"88",4708,1820,14885,2006
"89",4709,2350,27980,2006
"90",4710,2525,27015,2006
"91",4711,1170,5180,2006
"92",4712,460,2465,2006
"93",4713,225,675,2006
"94",4831,8270,119150,2006
"95",4832,45735,643080,2006
"96",4833,14085,191775,2006
"97",4834,33945,547935,2006
"98",4835,14250,181415,2006
"99",5911,3715,34310,2006
"100",5912,3755,31690,2006
"101",5913,10805,133505,2006
"102",5914,6850,88140,2006
"103",5921,5175,112630,2006
"104",5922,12185,262180,2006
"105",5923,10135,294760,2006
"106",5931,3955,78530,2006
"107",5932,46580,285320,2006
"108",5933,9505,115595,2006
"109",5941,25880,162875,2006
"110",5942,8510,100085,2006
"111",5943,4750,46880,2006
"112",5951,4265,31515,2006
"113",5952,4640,65495,2006
"114",5953,2600,31030,2006
"115",6001,2550,16065,2006
"116",6101,5845,20515,2006
"117",6201,5085,10285,2006
