"","Language_FrEn.HR_code","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1011,290215,290615,2006
"2",1012,93455,93590,2006
"3",1013,77955,78045,2006
"4",1014,36570,36885,2006
"5",1100,134050,134130,2006
"6",1211,57605,57615,2006
"7",1212,59915,59975,2006
"8",1223,80225,80345,2006
"9",1234,71830,71900,2006
"10",1235,31155,31165,2006
"11",1246,45785,45810,2006
"12",1247,44310,44380,2006
"13",1258,123595,123805,2006
"14",1269,386790,387740,2006
"15",1301,188185,188330,2006
"16",1302,167430,167650,2006
"17",1303,163710,163875,2006
"18",1304,49225,49235,2006
"19",1305,27125,27135,2006
"20",1306,77505,77675,2006
"21",1307,45115,45185,2006
"22",2401,195805,195920,2006
"23",2402,269035,269200,2006
"24",2403,645320,646645,2006
"25",2404,471210,472490,2006
"26",2405,292620,293295,2006
"27",2406,1776710,1823890,2006
"28",2407,336210,337475,2006
"29",2408,141405,141545,2006
"30",2409,93670,94435,2006
"31",2410,14830,14855,2006
"32",2411,93060,93115,2006
"33",2412,386890,387070,2006
"34",2413,358970,364625,2006
"35",2414,424155,425165,2006
"36",2415,504970,506015,2006
"37",2416,1333905,1339720,2006
"38",2417,8240,10585,2006
"39",2418,12335,14110,2006
"40",3526,114365,114860,2006
"41",3527,122270,122825,2006
"42",3530,554555,557330,2006
"43",3531,83480,84255,2006
"44",3533,154935,155440,2006
"45",3534,106040,106565,2006
"46",3535,168200,168430,2006
"47",3536,432055,435395,2006
"48",3537,488895,497400,2006
"49",3538,153440,153705,2006
"50",3539,58190,58590,2006
"51",3540,106570,107145,2006
"52",3541,179355,179920,2006
"53",3542,125545,125830,2006
"54",3543,160155,160370,2006
"55",3544,412915,417665,2006
"56",3546,419170,421745,2006
"57",3547,121145,121255,2006
"58",3549,76040,76475,2006
"59",3551,790975,801275,2006
"60",3552,101045,101455,2006
"61",3553,1110885,1154070,2006
"62",3554,72920,73430,2006
"63",3555,130865,131035,2006
"64",3556,79105,79225,2006
"65",3557,97470,97580,2006
"66",3558,187000,187320,2006
"67",3560,471925,473245,2006
"68",3561,189645,190025,2006
"69",3562,157920,158890,2006
"70",3563,33310,33335,2006
"71",3565,466180,473255,2006
"72",3566,250555,252555,2006
"73",3568,383120,389585,2006
"74",3570,851675,887000,2006
"75",3595,2346385,2476565,2006
"76",4601,631205,637620,2006
"77",4602,153365,154030,2006
"78",4603,117010,117465,2006
"79",4604,66620,67405,2006
"80",4605,154005,156445,2006
"81",4701,50430,50510,2006
"82",4702,51745,51970,2006
"83",4703,40495,40715,2006
"84",4704,234820,235705,2006
"85",4705,53400,53515,2006
"86",4706,279575,280810,2006
"87",4707,40330,40520,2006
"88",4708,40965,41145,2006
"89",4709,73230,73430,2006
"90",4710,65390,65555,2006
"91",4711,18035,18445,2006
"92",4712,10880,11045,2006
"93",4713,3295,3430,2006
"94",4831,254410,256250,2006
"95",4832,1170615,1192360,2006
"96",4833,399525,400830,2006
"97",4834,1015445,1029725,2006
"98",4835,366775,368910,2006
"99",5911,74300,74420,2006
"100",5912,74370,74600,2006
"101",5913,307580,309365,2006
"102",5914,194955,195755,2006
"103",5921,244930,252540,2006
"104",5922,517135,538350,2006
"105",5923,597315,622815,2006
"106",5931,158320,173565,2006
"107",5932,539120,583900,2006
"108",5933,250635,253520,2006
"109",5941,334925,337190,2006
"110",5942,241805,242530,2006
"111",5943,107910,108320,2006
"112",5951,71300,71835,2006
"113",5952,136835,137515,2006
"114",5953,60750,61145,2006
"115",6001,29955,30055,2006
"116",6101,40755,41025,2006
"117",6201,27045,29310,2006
