"","Employment.HR_code","Employment.Nom","Employment.Den","Employment.Year"
"1",1011,122535,135805,2011
"2",1012,27755,34260,2011
"3",1013,25120,31595,2011
"4",1014,13695,16510,2011
"5",1100,54475,61610,2011
"6",1211,25590,28335,2011
"7",1212,22705,26080,2011
"8",1223,34670,39165,2011
"9",1234,33800,37650,2011
"10",1235,6555,7370,2011
"11",1246,18700,21045,2011
"12",1247,17725,20025,2011
"13",1258,46105,55540,2011
"14",1269,216815,234070,2011
"15",1301,97740,107855,2011
"16",1302,75995,83440,2011
"17",1303,76390,84160,2011
"18",1304,14845,16575,2011
"19",1305,9145,10730,2011
"20",1306,26815,31370,2011
"21",1307,15340,19010,2011
"22",2401,83325,91110,2011
"23",2402,124820,136360,2011
"24",2403,363020,381770,2011
"25",2404,222825,240885,2011
"26",2405,143960,153505,2011
"27",2406,889595,984865,2011
"28",2407,182090,194115,2011
"29",2408,62630,67895,2011
"30",2409,38125,41565,2011
"31",2410,6160,6845,2011
"32",2411,33705,40090,2011
"33",2412,210460,220580,2011
"34",2413,200535,215155,2011
"35",2414,232195,247500,2011
"36",2415,272085,291350,2011
"37",2416,729110,773835,2011
"38",2417,4685,5445,2011
"39",2418,5740,6705,2011
"40",3526,43495,48970,2011
"41",3527,63780,68815,2011
"42",3530,308860,337935,2011
"43",3531,40470,44465,2011
"44",3533,76305,82095,2011
"45",3534,51800,56155,2011
"46",3535,74585,81470,2011
"47",3536,263855,281625,2011
"48",3537,243075,266200,2011
"49",3538,68590,74300,2011
"50",3539,29740,31520,2011
"51",3540,45695,50885,2011
"52",3541,88425,96080,2011
"53",3542,55885,61720,2011
"54",3543,67900,72870,2011
"55",3544,215255,235045,2011
"56",3546,202280,221215,2011
"57",3547,47860,52975,2011
"58",3549,33370,36895,2011
"59",3551,463625,498370,2011
"60",3552,53425,56900,2011
"61",3553,647805,711175,2011
"62",3554,40135,42455,2011
"63",3555,52555,57460,2011
"64",3556,37990,41605,2011
"65",3557,41015,44090,2011
"66",3558,96420,103410,2011
"67",3560,234380,255625,2011
"68",3561,86565,94400,2011
"69",3562,68205,74920,2011
"70",3563,9895,10990,2011
"71",3565,263815,283670,2011
"72",3566,136540,145680,2011
"73",3568,168380,186565,2011
"74",3570,528350,569895,2011
"75",3595,1269150,1399985,2011
"76",4601,354155,376195,2011
"77",4602,78760,83700,2011
"78",4603,47050,50240,2011
"79",4604,23875,27805,2011
"80",4605,83240,87710,2011
"81",4701,30400,32105,2011
"82",4702,28395,29780,2011
"83",4703,14995,15560,2011
"84",4704,140020,147390,2011
"85",4705,28405,29855,2011
"86",4706,171000,180455,2011
"87",4707,21430,22475,2011
"88",4708,19745,21610,2011
"89",4709,33950,37925,2011
"90",4710,34195,36835,2011
"91",4711,6315,7630,2011
"92",4712,2445,2930,2011
"93",4713,530,715,2011
"94",4831,136190,145480,2011
"95",4832,760705,808370,2011
"96",4833,229385,243305,2011
"97",4834,646100,684430,2011
"98",4835,224895,238340,2011
"99",5911,28140,30500,2011
"100",5912,35415,39265,2011
"101",5913,158800,173815,2011
"102",5914,98870,110505,2011
"103",5921,130120,141095,2011
"104",5922,311665,335890,2011
"105",5923,354080,382250,2011
"106",5931,92850,99910,2011
"107",5932,330045,355310,2011
"108",5933,136130,146445,2011
"109",5941,185440,197375,2011
"110",5942,113415,124265,2011
"111",5943,52705,58075,2011
"112",5951,30420,34300,2011
"113",5952,68180,76365,2011
"114",5953,35765,38220,2011
"115",6001,16535,18205,2011
"116",6101,21205,23925,2011
"117",6201,9945,12095,2011
