"","Housing_type.census_id","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1,3878500,12437465,2006
"2",10,41670,197185,2006
"3",11,13715,53135,2006
"4",12,103870,376845,2006
"5",13,71235,295960,2006
"6",24,1267940,3189345,2006
"7",35,1312295,4555025,2006
"8",46,127895,448780,2006
"9",47,99125,387145,2006
"10",48,330280,1256195,2006
"11",59,494000,1643150,2006
"12",60,3840,12615,2006
"13",61,6570,14235,2006
"14",62,6065,7855,2006
