"","Immigrant_type.census_id","Immigrant_type.Nom","Immigrant_type.Den","Immigrant_type.Year"
"1",1,6775765,32852320,2011
"2",10,9160,507270,2011
"3",11,7085,137380,2011
"4",12,48275,906175,2011
"5",13,28465,735835,2011
"6",24,974895,7732520,2011
"7",35,3611365,12651795,2011
"8",46,184505,1174345,2011
"9",47,68775,1008760,2011
"10",48,644110,3567975,2011
"11",59,1191875,4324455,2011
"12",60,3755,33320,2011
"13",61,2880,40800,2011
"14",62,610,31700,2011
