"","clsc.pop.values.CLSC_code","clsc.pop.values.Total_population","clsc.pop.values.0.14","clsc.pop.values.15.64","clsc.pop.values.65.","clsc.pop.values.Year"
"150",16122,116030,19320,75445,21285,26208
"151",16211,63580,9345,42325,11915,34272
"152",16212,71065,11130,46485,13445,28224
"153",16213,119220,21520,77940,19755,4032
"154",16221,112225,20620,71520,20090,24192
"155",16222,87100,14330,55510,17255,2016
"156",16223,15595,2630,9815,3145,2016
"157",16231,51025,6620,31525,12885,2016
"158",16311,149350,29280,98940,21130,2016
"159",16321,57595,8140,36440,13020,10080
"160",16331,22455,3495,14060,4900,2016
"161",16341,72670,13210,47305,12160,14112
"162",16342,105495,20605,71355,13535,14112
"163",16343,27870,4980,18230,4655,2016
"164",17011,7195,2625,4320,245,28224
"165",17012,5995,1805,3945,240,30240
"166",18011,17130,5390,10825,930,36288
