"","Language_FrEn.census_id","Language_FrEn.Nom","Language_FrEn.Den","Language_FrEn.Year"
"1",1,34118285,34767250,2016
"2",10,514860,515680,2016
"3",11,139765,141015,2016
"4",12,909565,912300,2016
"5",13,733910,736285,2016
"6",24,7991495,8066560,2016
"7",35,12985935,13312865,2016
"8",46,1245335,1261615,2016
"9",47,1075290,1083240,2016
"10",48,3967375,4026650,2016
"11",59,4444500,4598415,2016
"12",60,35410,35560,2016
"13",61,41185,41380,2016
"14",62,33650,35695,2016
