"","Lowincome_LICO_0_17.census_id","Lowincome_LICO_0_17.Nom","Lowincome_LICO_0_17.Den","Lowincome_LICO_0_17.Year"
"1",1,696025,6836375,2016
"2",10,6065,89425,2016
"3",11,2040,27505,2016
"4",12,15285,159820,2016
"5",13,11520,131930,2016
"6",24,129325,1564410,2016
"7",35,304390,2656535,2016
"8",46,33260,260905,2016
"9",47,17865,230200,2016
"10",48,76930,893255,2016
"11",59,99330,822390,2016
"12",60,0,0,2016
"13",61,0,0,2016
"14",62,0,0,2016
