"","Employment.census_id","Employment.Nom","Employment.Den","Employment.Year"
"1",1,16021180,17146135,2006
"2",10,202525,248680,2006
"3",11,66855,75210,2006
"4",12,432595,476125,2006
"5",13,344770,382965,2006
"6",24,3735505,4015200,2006
"7",35,6164245,6587580,2006
"8",46,577705,611285,2006
"9",47,494900,524305,2006
"10",48,1859960,1942825,2006
"11",59,2092770,2226385,2006
"12",60,17310,19120,2006
"13",61,21350,23830,2006
"14",62,10670,12635,2006
