"","Edu_lowerthanhigh.census_id","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1,5239575,28643015,2016
"2",10,102665,437935,2016
"3",11,22425,117050,2016
"4",12,153705,774750,2016
"5",13,136745,620395,2016
"6",24,1323065,6634280,2016
"7",35,1935360,11038440,2016
"8",46,220390,1001310,2016
"9",47,177210,857295,2016
"10",48,540665,3206045,2016
"11",59,601640,3870380,2016
"12",60,4715,28875,2016
"13",61,8860,32325,2016
"14",62,12135,23935,2016
