"","Household_type.census_id","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1,9103965,13320615,2011
"2",10,155520,208845,2011
"3",11,40150,56460,2011
"4",12,264455,390280,2011
"5",13,220100,314005,2011
"6",24,2174255,3395345,2011
"7",35,3475030,4887505,2011
"8",46,317475,466140,2011
"9",47,277880,409645,2011
"10",48,969750,1390275,2011
"11",59,1183070,1764635,2011
"12",60,9070,14120,2011
"13",61,10450,14700,2011
"14",62,6760,8665,2011
