"","Lowincome_LICO_total.census_id","Lowincome_LICO_total.Nom","Lowincome_LICO_total.Den","Lowincome_LICO_total.Year"
"1",1,3128995,33968300,2016
"2",10,29200,509340,2016
"3",11,8730,139090,2016
"4",12,70750,898345,2016
"5",13,49825,722555,2016
"6",24,731340,7921505,2016
"7",35,1298585,13184055,2016
"8",46,115965,1175715,2016
"9",47,59435,1014605,2016
"10",48,273515,3925220,2016
"11",59,491645,4477875,2016
"12",60,0,0,2016
"13",61,0,0,2016
"14",62,0,0,2016
