"","Household_type.CLSC_code","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1111,6235,8970,2006
"2",1121,9575,14140,2006
"3",1131,6360,9115,2006
"4",1141,2740,4095,2006
"5",1151,15035,23195,2006
"6",1161,5470,8205,2006
"7",1171,6525,10050,2006
"8",1181,5550,7975,2006
"9",2111,9160,13305,2006
"10",2121,7785,11185,2006
"11",2131,14785,20740,2006
"12",2141,19055,27765,2006
"13",2151,21940,32000,2006
"14",2161,6850,9420,2006
"15",3111,13780,19665,2006
"16",3121,18045,23120,2006
"17",3122,12090,18530,2006
"18",3123,19530,36645,2006
"19",3124,7615,21355,2006
"20",3125,5645,15050,2006
"21",3126,14240,31650,2006
"22",3131,24370,31960,2006
"23",3132,27925,40680,2006
"24",3133,22415,32150,2006
"25",3134,8935,12250,2006
"26",3141,3730,5415,2006
"27",3142,4885,6790,2006
"28",4111,4275,6335,2006
"29",4121,3865,5810,2006
"30",4122,3505,5120,2006
"31",4131,6860,10240,2006
"32",4141,18590,29740,2006
"33",4151,22760,38690,2006
"34",4152,13355,20360,2006
"35",4161,6590,9440,2006
"36",4162,5370,7840,2006
"37",4171,26135,39510,2006
"38",4181,18725,27580,2006
"39",4182,6720,9605,2006
"40",5111,14290,20870,2006
"41",5121,25340,36900,2006
"42",5131,13490,19930,2006
"43",5141,5255,7280,2006
"44",5151,39460,65990,2006
"45",5161,8465,11870,2006
"46",5171,4285,6400,2006
"47",5181,6335,8830,2006
"48",5191,6540,9365,2006
"49",6111,22125,28885,2006
"50",6112,22465,30150,2006
"51",6113,13135,16340,2006
"52",6121,15840,26505,2006
"53",6122,20370,33230,2006
"54",6211,12630,20825,2006
"55",6212,18035,32315,2006
"56",6221,7385,11940,2006
"57",6222,11270,17430,2006
"58",6223,7735,13015,2006
"59",6224,11835,24645,2006
"60",6225,11840,29205,2006
"61",6311,6830,14190,2006
"62",6312,8030,14535,2006
"63",6313,17285,32330,2006
"64",6314,3280,6670,2006
"65",6321,8135,19730,2006
"66",6322,10950,29275,2006
"67",6323,6460,19020,2006
"68",6324,2180,5390,2006
"69",6411,13555,21800,2006
"70",6412,20815,31995,2006
"71",6421,19320,37115,2006
"72",6422,21505,36495,2006
"73",6431,14305,29730,2006
"74",6432,10465,24635,2006
"75",6511,14320,22080,2006
"76",6512,20380,29995,2006
"77",6521,14880,19835,2006
"78",6522,11460,18985,2006
"79",6523,14950,22460,2006
"80",6524,11230,19150,2006
"81",6531,20245,43345,2006
"82",6532,10430,19700,2006
"83",6533,10350,24705,2006
"84",7111,5740,7965,2006
"85",7121,5990,8960,2006
"86",7131,7870,10175,2006
"87",7151,3495,4555,2006
"88",7152,4665,6765,2006
"89",8111,6035,8760,2006
"90",8121,6950,9915,2006
"91",8131,11480,17415,2006
"92",8141,11860,17665,2006
"93",8151,3845,5550,2006
"94",8152,1050,1460,2006
"95",9111,965,1405,2006
"96",9121,1595,2250,2006
"97",9122,1945,2830,2006
"98",9123,9640,13685,2006
"99",9131,2265,3240,2006
"100",9141,7740,11370,2006
"101",9151,1855,2440,2006
"102",9161,1515,1895,2006
"103",9171,115,135,2006
"104",10011,420,605,2006
"105",10012,490,655,2006
"106",10013,825,1070,2006
"107",10014,2735,3785,2006
"108",11111,4270,6150,2006
"109",11112,5345,7520,2006
"110",11121,3455,5110,2006
"111",11131,845,1125,2006
"112",11132,4670,6375,2006
"113",11133,250,370,2006
"114",11141,5170,7485,2006
"115",11211,3930,5190,2006
"116",12111,7945,10850,2006
"117",12112,25030,32775,2006
"118",12113,14380,21885,2006
"119",12114,9630,13320,2006
"120",12115,7470,10155,2006
"121",12121,12625,18965,2006
"122",12131,5395,7470,2006
"123",12132,13840,20440,2006
"124",12141,4955,7235,2006
"125",12151,6660,10010,2006
"126",12152,5445,7900,2006
"127",13111,34590,43855,2006
"128",13112,15320,19860,2006
"129",13113,23555,37305,2006
"130",13114,30155,42910,2006
"131",14111,14585,21715,2006
"132",14112,12310,16945,2006
"133",14113,16420,25190,2006
"134",14114,11800,16525,2006
"135",14121,37600,46895,2006
"136",14122,32420,42435,2006
"137",15111,10600,15300,2006
"138",15121,12560,19065,2006
"139",15131,11065,17135,2006
"140",15141,8725,12850,2006
"141",15151,29510,38970,2006
"142",15161,35190,50225,2006
"143",15171,40965,53250,2006
"144",16111,32185,46685,2006
"145",16112,22105,29610,2006
"146",16121,16450,21675,2006
"147",16122,30965,44690,2006
"148",16211,17240,31270,2006
"149",16212,18240,28035,2006
"150",16213,32355,40650,2006
"151",16221,29985,38650,2006
"152",16222,22620,33945,2006
"153",16223,4395,6280,2006
"154",16231,14860,22075,2006
"155",16311,35285,45840,2006
"156",16321,15845,24100,2006
"157",16331,6325,9045,2006
"158",16341,18295,23880,2006
"159",16342,27045,34345,2006
"160",16343,6880,9160,2006
"161",17011,1050,1300,2006
"162",17012,970,1305,2006
"163",18011,2815,3220,2006
