"","Household_type.census_id","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1,8651335,12437470,2006
"2",10,152035,197180,2006
"3",11,38580,53130,2006
"4",12,262455,376840,2006
"5",13,213395,295960,2006
"6",24,2094900,3189345,2006
"7",35,3301130,4555025,2006
"8",46,304815,448780,2006
"9",47,261795,387140,2006
"10",48,881140,1256200,2006
"11",59,1116360,1643150,2006
"12",60,8175,12610,2006
"13",61,10410,14235,2006
"14",62,6125,7855,2006
