"","Household_type.HR_code","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1011,90095,124155,2011
"2",1012,30210,38530,2011
"3",1013,24180,32385,2011
"4",1014,10980,13685,2011
"5",1100,40170,56465,2011
"6",1211,18155,25585,2011
"7",1212,17485,25090,2011
"8",1223,24200,34555,2011
"9",1234,21880,30575,2011
"10",1235,9235,13695,2011
"11",1246,13505,19475,2011
"12",1247,12610,18300,2011
"13",1258,34155,49950,2011
"14",1269,113190,172965,2011
"15",1301,59390,85610,2011
"16",1302,50590,72090,2011
"17",1303,50650,71540,2011
"18",1304,14740,21065,2011
"19",1305,7975,11900,2011
"20",1306,23365,33380,2011
"21",1307,13320,18375,2011
"22",2401,57025,88390,2011
"23",2402,80200,119235,2011
"24",2403,193390,320685,2011
"25",2404,139980,223260,2011
"26",2405,86640,137885,2011
"27",2406,466665,849440,2011
"28",2407,103965,155090,2011
"29",2408,41420,62550,2011
"30",2409,27450,39685,2011
"31",2410,4225,6030,2011
"32",2411,27220,40040,2011
"33",2412,118585,173415,2011
"34",2413,110425,154455,2011
"35",2414,136715,190465,2011
"36",2415,160870,231985,2011
"37",2416,412590,594115,2011
"38",2417,2405,3130,2011
"39",2418,3070,3565,2011
"40",3526,33795,50155,2011
"41",3527,36380,50435,2011
"42",3530,167885,213740,2011
"43",3531,24825,33495,2011
"44",3533,46615,65235,2011
"45",3534,31420,41865,2011
"46",3535,51720,70615,2011
"47",3536,139835,179015,2011
"48",3537,139870,203810,2011
"49",3538,46280,65215,2011
"50",3539,16960,23635,2011
"51",3540,29985,42990,2011
"52",3541,53460,79035,2011
"53",3542,36640,52765,2011
"54",3543,49225,67890,2011
"55",3544,119095,179820,2011
"56",3546,121995,174685,2011
"57",3547,36450,53225,2011
"58",3549,20175,28585,2011
"59",3551,234315,353240,2011
"60",3552,30355,41555,2011
"61",3553,330590,402950,2011
"62",3554,20840,29405,2011
"63",3555,38695,55635,2011
"64",3556,24570,35025,2011
"65",3557,29700,42365,2011
"66",3558,57395,79130,2011
"67",3560,143790,192665,2011
"68",3561,56490,82150,2011
"69",3562,43755,65625,2011
"70",3563,9820,14540,2011
"71",3565,138380,191600,2011
"72",3566,73410,99140,2011
"73",3568,106470,152285,2011
"74",3570,275185,323550,2011
"75",3595,656955,1047875,2011
"76",4601,177485,273805,2011
"77",4602,43405,64885,2011
"78",4603,35160,47255,2011
"79",4604,15215,19930,2011
"80",4605,45380,59370,2011
"81",4701,15760,22750,2011
"82",4702,15105,23205,2011
"83",4703,11400,16855,2011
"84",4704,68855,102385,2011
"85",4705,15835,23905,2011
"86",4706,83930,125975,2011
"87",4707,11595,17180,2011
"88",4708,11990,17240,2011
"89",4709,19890,27915,2011
"90",4710,17970,25165,2011
"91",4711,4040,4995,2011
"92",4712,2340,2975,2011
"93",4713,870,1055,2011
"94",4831,73120,103700,2011
"95",4832,359240,516620,2011
"96",4833,119525,167905,2011
"97",4834,306710,449740,2011
"98",4835,111440,151615,2011
"99",5911,22755,32645,2011
"100",5912,23285,35375,2011
"101",5913,98395,145025,2011
"102",5914,62645,90540,2011
"103",5921,73175,101610,2011
"104",5922,160650,232020,2011
"105",5923,185185,246205,2011
"106",5931,51680,67975,2011
"107",5932,146680,270160,2011
"108",5933,75040,110770,2011
"109",5941,97530,160645,2011
"110",5942,75550,111320,2011
"111",5943,34805,51355,2011
"112",5951,20370,29230,2011
"113",5952,39635,56860,2011
"114",5953,17630,25360,2011
"115",6001,8920,13875,2011
"116",6101,10400,14615,2011
"117",6201,6675,8550,2011
