"","Housing_type.census_id","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1,4474530,14072075,2016
"2",10,50530,218670,2016
"3",11,17575,59470,2016
"4",12,123595,401990,2016
"5",13,79865,319775,2016
"6",24,1362010,3531665,2016
"7",35,1559715,5169175,2016
"8",46,140260,489050,2016
"9",47,109680,432620,2016
"10",48,412150,1527680,2016
"11",59,599355,1881965,2016
"12",60,5005,15215,2016
"13",61,6915,14980,2016
"14",62,7860,9815,2016
