"","Immigrant_type.HR_code","Immigrant_type.Nom","Immigrant_type.Den","Immigrant_type.Year"
"1",1011,6250,252960,2011
"2",1012,680,72460,2011
"3",1013,640,69665,2011
"4",1014,325,27265,2011
"5",1100,6095,108590,2011
"6",1211,3065,57110,2011
"7",1212,1580,51685,2011
"8",1223,3720,78600,2011
"9",1234,2065,67765,2011
"10",1235,345,14660,2011
"11",1246,990,41130,2011
"12",1247,1260,37440,2011
"13",1258,2235,112195,2011
"14",1269,31845,403155,2011
"15",1301,7645,186345,2011
"16",1302,6985,156420,2011
"17",1303,8130,148970,2011
"18",1304,1055,31430,2011
"19",1305,275,23735,2011
"20",1306,550,62145,2011
"21",1307,585,35865,2011
"22",2401,1930,177765,2011
"23",2402,2270,262565,2011
"24",2403,30475,678530,2011
"25",2404,9435,464185,2011
"26",2405,14180,295385,2011
"27",2406,612930,1844495,2011
"28",2407,31305,340640,2011
"29",2408,1060,124180,2011
"30",2409,740,71520,2011
"31",2410,150,12210,2011
"32",2411,630,82500,2011
"33",2412,5205,396385,2011
"34",2413,96645,392725,2011
"35",2414,18935,450255,2011
"36",2415,23355,529275,2011
"37",2416,120050,1389750,2011
"38",2417,115,12065,2011
"39",2418,0,0,2011
"40",3526,8935,98235,2011
"41",3527,15000,127035,2011
"42",3530,125840,601520,2011
"43",3531,10925,85870,2011
"44",3533,11650,153810,2011
"45",3534,10795,105585,2011
"46",3535,14760,159430,2011
"47",3536,128740,495440,2011
"48",3537,125010,509635,2011
"49",3538,10315,145990,2011
"50",3539,4205,57890,2011
"51",3540,8695,101680,2011
"52",3541,19320,176455,2011
"53",3542,12275,121725,2011
"54",3543,9485,137300,2011
"55",3544,83795,430115,2011
"56",3546,69720,422805,2011
"57",3547,5185,103620,2011
"58",3549,3070,60760,2011
"59",3551,202605,867085,2011
"60",3552,9810,104110,2011
"61",3553,650530,1289015,2011
"62",3554,6160,73480,2011
"63",3555,9175,110330,2011
"64",3556,1640,79555,2011
"65",3557,4210,82745,2011
"66",3558,11465,192145,2011
"67",3560,52630,469725,2011
"68",3561,10460,175010,2011
"69",3562,12040,139200,2011
"70",3563,790,22410,2011
"71",3565,111500,499615,2011
"72",3566,40255,255335,2011
"73",3568,81720,381350,2011
"74",3570,463125,1023985,2011
"75",3595,1252215,2576025,2011
"76",4601,143705,664575,2011
"77",4602,10235,147410,2011
"78",4603,5130,82710,2011
"79",4604,1310,33160,2011
"80",4605,20665,162685,2011
"81",4701,1450,53525,2011
"82",4702,1955,53080,2011
"83",4703,1685,26410,2011
"84",4704,21580,245350,2011
"85",4705,1300,52615,2011
"86",4706,27890,306570,2011
"87",4707,995,39620,2011
"88",4708,1095,38700,2011
"89",4709,1655,65010,2011
"90",4710,2080,59135,2011
"91",4711,200,10565,2011
"92",4712,15,7460,2011
"93",4713,0,240,2011
"94",4831,27680,256495,2011
"95",4832,326730,1333040,2011
"96",4833,24935,411730,2011
"97",4834,231555,1137255,2011
"98",4835,26410,389070,2011
"99",5911,5120,56370,2011
"100",5912,7885,78120,2011
"101",5913,43595,330295,2011
"102",5914,18745,203420,2011
"103",5921,52000,266720,2011
"104",5922,229270,595610,2011
"105",5923,243290,709245,2011
"106",5931,112875,189305,2011
"107",5932,264995,602590,2011
"108",5933,75225,260195,2011
"109",5941,63160,347490,2011
"110",5942,34170,245575,2011
"111",5943,13065,109005,2011
"112",5951,7265,59295,2011
"113",5952,12650,135540,2011
"114",5953,3760,62720,2011
"115",6001,3060,28015,2011
"116",6101,2870,40515,2011
"117",6201,560,27600,2011
