"","Housing_type.census_id","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1,4078225,13319250,2011
"2",10,46545,208840,2011
"3",11,14910,56460,2011
"4",12,111870,390280,2011
"5",13,74670,314035,2011
"6",24,1311200,3395220,2011
"7",35,1389915,4886655,2011
"8",46,127215,465800,2011
"9",47,100995,409575,2011
"10",48,357950,1390280,2011
"11",59,524995,1764635,2011
"12",60,4140,14115,2011
"13",61,6975,14700,2011
"14",62,6840,8660,2011
