"","Employment.CLSC_code","Employment.Nom","Employment.Den","Employment.Year"
"1",1111,10085,10900,2006
"2",1121,16435,17610,2006
"3",1131,8760,9955,2006
"4",1141,3860,4395,2006
"5",1151,25880,28125,2006
"6",1161,7990,9040,2006
"7",1171,9325,10540,2006
"8",1181,7150,8675,2006
"9",2111,14160,15700,2006
"10",2121,10775,12410,2006
"11",2131,22480,25015,2006
"12",2141,28470,31570,2006
"13",2151,35450,38750,2006
"14",2161,9970,11110,2006
"15",3111,22130,23430,2006
"16",3121,34505,35705,2006
"17",3122,23390,24410,2006
"18",3123,38540,40905,2006
"19",3124,19040,20210,2006
"20",3125,12605,13880,2006
"21",3126,28100,30300,2006
"22",3131,44460,46315,2006
"23",3132,50175,52290,2006
"24",3133,41475,43085,2006
"25",3134,15270,16120,2006
"26",3141,5730,6380,2006
"27",3142,7335,8200,2006
"28",4111,6060,6790,2006
"29",4121,5000,5570,2006
"30",4122,5305,5720,2006
"31",4131,10580,11490,2006
"32",4141,27120,29755,2006
"33",4151,39020,42185,2006
"34",4152,21305,23015,2006
"35",4161,11045,11700,2006
"36",4162,8850,9465,2006
"37",4171,45570,49020,2006
"38",4181,32840,34780,2006
"39",4182,11515,12250,2006
"40",5111,24885,26190,2006
"41",5121,45895,48245,2006
"42",5131,21560,23320,2006
"43",5141,9075,9525,2006
"44",5151,72095,77435,2006
"45",5161,14435,15120,2006
"46",5171,6465,6970,2006
"47",5181,10270,11070,2006
"48",5191,10915,11835,2006
"49",6111,39560,42050,2006
"50",6112,41990,44910,2006
"51",6113,25260,27095,2006
"52",6121,29535,31575,2006
"53",6122,36000,39245,2006
"54",6211,21630,23365,2006
"55",6212,34685,38135,2006
"56",6221,10755,13120,2006
"57",6222,21440,22575,2006
"58",6223,13975,15985,2006
"59",6224,23905,27525,2006
"60",6225,26855,29655,2006
"61",6311,14355,15950,2006
"62",6312,14055,15565,2006
"63",6313,32095,35165,2006
"64",6314,6060,6890,2006
"65",6321,22730,24655,2006
"66",6322,32445,34970,2006
"67",6323,18485,20490,2006
"68",6324,5345,5760,2006
"69",6411,22130,24945,2006
"70",6412,35050,38790,2006
"71",6421,37410,41025,2006
"72",6422,32845,37515,2006
"73",6431,31170,34395,2006
"74",6432,26465,28890,2006
"75",6511,22950,26225,2006
"76",6512,30980,34635,2006
"77",6521,26710,28775,2006
"78",6522,19600,20935,2006
"79",6523,26760,28370,2006
"80",6524,20510,21975,2006
"81",6531,41740,45595,2006
"82",6532,19700,21280,2006
"83",6533,24495,27110,2006
"84",7111,8650,9515,2006
"85",7121,8215,9580,2006
"86",7131,14585,15300,2006
"87",7151,5425,5890,2006
"88",7152,6665,7335,2006
"89",8111,8825,9795,2006
"90",8121,11290,12635,2006
"91",8131,18935,20690,2006
"92",8141,19495,21270,2006
"93",8151,5715,6425,2006
"94",8152,1710,1870,2006
"95",9111,1910,2075,2006
"96",9121,2285,2695,2006
"97",9122,2430,3040,2006
"98",9123,15975,17595,2006
"99",9131,3455,3780,2006
"100",9141,12885,14050,2006
"101",9151,2660,3260,2006
"102",9161,1715,2670,2006
"103",9171,140,175,2006
"104",10011,650,740,2006
"105",10012,705,800,2006
"106",10013,1455,1645,2006
"107",10014,4680,5215,2006
"108",11111,5390,6530,2006
"109",11112,6460,8035,2006
"110",11121,3985,4895,2006
"111",11131,705,1045,2006
"112",11132,6405,7525,2006
"113",11133,225,370,2006
"114",11141,6045,7305,2006
"115",11211,5990,7035,2006
"116",12111,14425,14975,2006
"117",12112,49245,50875,2006
"118",12113,26850,28070,2006
"119",12114,16660,17395,2006
"120",12115,14625,15040,2006
"121",12121,20085,21475,2006
"122",12131,9740,10085,2006
"123",12132,26715,27880,2006
"124",12141,7860,8580,2006
"125",12151,10780,11630,2006
"126",12152,8630,9310,2006
"127",13111,65460,68700,2006
"128",13112,27340,28750,2006
"129",13113,43180,45850,2006
"130",13114,53470,57190,2006
"131",14111,20690,22850,2006
"132",14112,19780,21505,2006
"133",14113,27835,29515,2006
"134",14114,18760,20205,2006
"135",14121,71235,74395,2006
"136",14122,58825,61655,2006
"137",15111,14530,16265,2006
"138",15121,20225,22115,2006
"139",15131,18065,19535,2006
"140",15141,13890,14605,2006
"141",15151,54125,56740,2006
"142",15161,63450,67310,2006
"143",15171,77225,80915,2006
"144",16111,57785,61685,2006
"145",16112,41270,43645,2006
"146",16121,30235,31745,2006
"147",16122,55345,58130,2006
"148",16211,31385,34225,2006
"149",16212,34595,36965,2006
"150",16213,60760,62775,2006
"151",16221,54985,57530,2006
"152",16222,41970,44410,2006
"153",16223,7675,8270,2006
"154",16231,22345,24110,2006
"155",16311,65770,68875,2006
"156",16321,25975,27925,2006
"157",16331,9835,10655,2006
"158",16341,31240,33215,2006
"159",16342,51440,53690,2006
"160",16343,12650,13290,2006
"161",17011,1835,2315,2006
"162",17012,1900,2265,2006
"163",18011,5260,6270,2006
