"","Housing_type.HR_code","Housing_type.Nom","Housing_type.Den","Housing_type.Year"
"1",1011,31965,131035,2016
"2",1012,7585,39780,2016
"3",1013,8065,33860,2016
"4",1014,2880,13885,2016
"5",1100,17580,59460,2016
"6",1211,5145,26180,2016
"7",1212,5335,25210,2016
"8",1223,9700,35340,2016
"9",1234,8015,31655,2016
"10",1235,3230,13615,2016
"11",1246,4720,19305,2016
"12",1247,3580,18385,2016
"13",1258,12920,50795,2016
"14",1269,70905,181455,2016
"15",1301,24320,89465,2016
"16",1302,19215,71975,2016
"17",1303,18250,73140,2016
"18",1304,5165,21110,2016
"19",1305,2500,11515,2016
"20",1306,7025,33800,2016
"21",1307,4610,24590,2016
"22",2401,26535,89720,2016
"23",2402,39270,122775,2016
"24",2403,133425,334265,2016
"25",2404,81615,230765,2016
"26",2405,53625,142860,2016
"27",2406,522145,870365,2016
"28",2407,52170,163095,2016
"29",2408,20220,64555,2016
"30",2409,10320,39950,2016
"31",2410,1535,6035,2016
"32",2411,10360,40945,2016
"33",2412,47975,180810,2016
"34",2413,49045,160325,2016
"35",2414,50625,202140,2016
"36",2415,70470,249420,2016
"37",2416,188315,626040,2016
"38",2417,3540,3625,2016
"39",2418,845,4010,2016
"40",3526,14210,50660,2016
"41",3527,14560,52770,2016
"42",3530,42920,227905,2016
"43",3531,8590,34995,2016
"44",3533,14565,68650,2016
"45",3534,8145,43510,2016
"46",3535,13210,75180,2016
"47",3536,36815,192935,2016
"48",3537,68545,211595,2016
"49",3538,17840,67740,2016
"50",3539,5320,24200,2016
"51",3540,11970,43175,2016
"52",3541,25835,81355,2016
"53",3542,13735,54480,2016
"54",3543,15430,71315,2016
"55",3544,69355,189980,2016
"56",3546,47715,183830,2016
"57",3547,14880,53715,2016
"58",3549,6575,30310,2016
"59",3551,128285,373755,2016
"60",3552,11625,44265,2016
"61",3553,105350,451260,2016
"62",3554,8245,30715,2016
"63",3555,20855,88845,2016
"64",3556,10585,35775,2016
"65",3557,10420,43340,2016
"66",3558,21955,83215,2016
"67",3560,43395,210070,2016
"68",3561,26540,84305,2016
"69",3562,16730,67215,2016
"70",3563,3825,14830,2016
"71",3565,64760,203825,2016
"72",3566,26880,112280,2016
"73",3568,43255,159050,2016
"74",3570,50530,357070,2016
"75",3595,525835,1112930,2016
"76",4601,99165,286545,2016
"77",4602,16810,67240,2016
"78",4603,6085,49595,2016
"79",4604,5670,20885,2016
"80",4605,12880,66240,2016
"81",4701,4820,23185,2016
"82",4702,5985,23350,2016
"83",4703,3590,17100,2016
"84",4704,31200,113370,2016
"85",4705,4655,24030,2016
"86",4706,37405,137070,2016
"87",4707,2955,17020,2016
"88",4708,3255,17400,2016
"89",4709,7070,29045,2016
"90",4710,6730,27690,2016
"91",4711,1415,6100,2016
"92",4712,1150,3200,2016
"93",4713,185,1260,2016
"94",4831,28600,109655,2016
"95",4832,152260,577970,2016
"96",4833,41410,179300,2016
"97",4834,151680,502390,2016
"98",4835,38095,159310,2016
"99",5911,7625,34965,2016
"100",5912,8075,36640,2016
"101",5913,40345,155060,2016
"102",5914,21530,93880,2016
"103",5921,28885,108240,2016
"104",5922,80155,249965,2016
"105",5923,71735,270295,2016
"106",5931,18910,73455,2016
"107",5932,154150,290590,2016
"108",5933,33720,116655,2016
"109",5941,62270,170145,2016
"110",5942,29530,117995,2016
"111",5943,13485,53980,2016
"112",5951,7620,29625,2016
"113",5952,14705,58135,2016
"114",5953,7445,26335,2016
"115",6001,5005,15125,2016
"116",6101,6930,14960,2016
"117",6201,7870,9815,2016
