"","Lowincome_LIM_0_17.census_id","Lowincome_LIM_0_17.Nom","Lowincome_LIM_0_17.Den","Lowincome_LIM_0_17.Year"
"1",1,1163825,6836375,2016
"2",10,15920,89425,2016
"3",11,5975,27505,2016
"4",12,35525,159820,2016
"5",13,29250,131930,2016
"6",24,222955,1564410,2016
"7",35,489905,2656535,2016
"8",46,57185,260905,2016
"9",47,41015,230200,2016
"10",48,114220,893255,2016
"11",59,151880,822390,2016
"12",60,0,0,2016
"13",61,0,0,2016
"14",62,0,0,2016
