"","Journey_towork.CLSC_code","Journey_towork.Nom","Journey_towork.Den","Journey_towork.Year"
"1",1111,970,8815,2011
"2",1121,1205,15730,2011
"3",1131,770,7570,2011
"4",1141,395,3115,2011
"5",1151,2525,25075,2011
"6",1161,620,7305,2011
"7",1171,550,8635,2011
"8",1181,405,6660,2011
"9",2111,1050,13040,2011
"10",2121,970,10125,2011
"11",2131,1480,22790,2011
"12",2141,1145,28740,2011
"13",2151,1655,34190,2011
"14",2161,495,9075,2011
"15",3111,1265,22640,2011
"16",3121,1210,32005,2011
"17",3122,735,25385,2011
"18",3123,4665,36630,2011
"19",3124,5850,16670,2011
"20",3125,3725,12255,2011
"21",3126,3795,26870,2011
"22",3131,1215,47810,2011
"23",3132,1415,52565,2011
"24",3133,1425,42735,2011
"25",3134,720,15420,2011
"26",3141,415,5245,2011
"27",3142,360,6490,2011
"28",4111,1015,5685,2011
"29",4121,475,4640,2011
"30",4122,345,5005,2011
"31",4131,635,9000,2011
"32",4141,1665,24905,2011
"33",4151,2690,39110,2011
"34",4152,755,20895,2011
"35",4161,1040,9055,2011
"36",4162,490,8565,2011
"37",4171,2730,43835,2011
"38",4181,2595,31750,2011
"39",4182,1295,10330,2011
"40",5111,1780,21570,2011
"41",5121,2535,45045,2011
"42",5131,1370,20605,2011
"43",5141,635,8315,2011
"44",5151,5470,70130,2011
"45",5161,960,13415,2011
"46",5171,465,5180,2011
"47",5181,565,9230,2011
"48",5191,1075,9405,2011
"49",6111,1605,35915,2011
"50",6112,1070,40880,2011
"51",6113,600,22505,2011
"52",6121,1940,27515,2011
"53",6122,1615,31215,2011
"54",6211,1210,19690,2011
"55",6212,3370,32275,2011
"56",6221,805,9980,2011
"57",6222,2780,18700,2011
"58",6223,1370,13510,2011
"59",6224,2795,21050,2011
"60",6225,8590,23405,2011
"61",6311,1930,11610,2011
"62",6312,1225,13595,2011
"63",6313,2410,29855,2011
"64",6314,915,5925,2011
"65",6321,6565,19000,2011
"66",6322,8525,29355,2011
"67",6323,4800,18655,2011
"68",6324,2535,6130,2011
"69",6411,895,19835,2011
"70",6412,1790,36110,2011
"71",6421,3045,34935,2011
"72",6422,2065,30025,2011
"73",6431,3375,29240,2011
"74",6432,4855,25340,2011
"75",6511,1120,20405,2011
"76",6512,1125,29045,2011
"77",6521,560,26060,2011
"78",6522,780,16665,2011
"79",6523,970,24590,2011
"80",6524,950,19985,2011
"81",6531,4250,39220,2011
"82",6532,1425,18565,2011
"83",6533,3145,23570,2011
"84",7111,375,7595,2011
"85",7121,420,7560,2011
"86",7131,355,17550,2011
"87",7141,1005,20245,2011
"88",7142,4690,35810,2011
"89",7143,2250,59965,2011
"90",7151,555,17645,2011
"91",7152,275,5165,2011
"92",8111,785,8350,2011
"93",8121,1255,11385,2011
"94",8131,1970,19825,2011
"95",8141,1870,20335,2011
"96",8151,550,4145,2011
"97",8152,30,255,2011
"98",9111,395,1965,2011
"99",9121,185,2260,2011
"100",9122,130,2095,2011
"101",9123,1195,14955,2011
"102",9131,265,3465,2011
"103",9141,690,11650,2011
"104",9151,135,405,2011
"105",9161,115,205,2011
"106",9171,95,165,2011
"107",10011,55,625,2011
"108",10012,0,0,2011
"109",10013,95,880,2011
"110",10014,800,4455,2011
"111",11111,275,5225,2011
"112",11112,365,6435,2011
"113",11121,220,3715,2011
"114",11131,80,730,2011
"115",11132,380,7195,2011
"116",11133,35,235,2011
"117",11141,135,5625,2011
"118",11211,170,5475,2011
"119",12111,1140,14115,2011
"120",12112,1475,48780,2011
"121",12113,1700,26945,2011
"122",12114,1135,16220,2011
"123",12115,985,14095,2011
"124",12121,1335,17550,2011
"125",12131,555,8680,2011
"126",12132,1355,24265,2011
"127",12141,460,7040,2011
"128",12151,730,9630,2011
"129",12152,665,7785,2011
"130",13111,1365,67965,2011
"131",13112,455,27665,2011
"132",13113,1620,40410,2011
"133",13114,1260,48470,2011
"134",14111,1425,18615,2011
"135",14112,970,20875,2011
"136",14113,2500,28060,2011
"137",14114,985,18260,2011
"138",14121,1875,77750,2011
"139",14122,2485,59580,2011
"140",15111,1000,12925,2011
"141",15121,1560,19045,2011
"142",15131,885,17355,2011
"143",15141,640,13365,2011
"144",15151,1825,52845,2011
"145",15161,2530,63380,2011
"146",15171,3460,75770,2011
"147",16111,2830,56195,2011
"148",16112,1375,40530,2011
"149",16121,1610,32980,2011
"150",16122,2975,51935,2011
"151",16211,1965,28635,2011
"152",16212,1595,31375,2011
"153",16213,2665,58900,2011
"154",16221,2625,54360,2011
"155",16222,3610,40200,2011
"156",16223,640,6530,2011
"157",16231,1445,21250,2011
"158",16311,2150,69845,2011
"159",16321,1430,23885,2011
"160",16331,730,8445,2011
"161",16341,1235,31325,2011
"162",16342,1185,51670,2011
"163",16343,645,12405,2011
"164",17011,1305,2220,2011
"165",17012,1085,2375,2011
"166",18011,1920,5680,2011
