"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"107","5932","Total","288890","Male",2006
"108","5933","Total","125590","Male",2006
"109","5941","Total","164145","Male",2006
"110","5942","Total","119675","Male",2006
"111","5943","Total","55810","Male",2006
"112","5951","Total","37070","Male",2006
"113","5952","Total","70665","Male",2006
"114","5953","Total","32515","Male",2006
"115","6001","Total","15195","Male",2006
"116","6101","Total","21210","Male",2006
"117","6201","Total","15100","Male",2006
"118","1011","0 - 4","6965","Male",2006
"119","1012","0 - 4","2035","Male",2006
"120","1013","0 - 4","1605","Male",2006
"121","1014","0 - 4","1000","Male",2006
"122","1100","0 - 4","3390","Male",2006
"123","1211","0 - 4","1130","Male",2006
"124","1212","0 - 4","1300","Male",2006
"125","1223","0 - 4","1880","Male",2006
"126","1234","0 - 4","1770","Male",2006
"127","1235","0 - 4","670","Male",2006
"128","1246","0 - 4","1065","Male",2006
"129","1247","0 - 4","1045","Male",2006
"130","1258","0 - 4","2740","Male",2006
"131","1269","0 - 4","9715","Male",2006
"132","1301","0 - 4","4740","Male",2006
"133","1302","0 - 4","4300","Male",2006
"134","1303","0 - 4","4395","Male",2006
"135","1304","0 - 4","1085","Male",2006
"136","1305","0 - 4","520","Male",2006
"137","1306","0 - 4","1490","Male",2006
"138","1307","0 - 4","1035","Male",2006
"139","2401","0 - 4","4495","Male",2006
"140","2402","0 - 4","6260","Male",2006
"141","2403","0 - 4","14360","Male",2006
"142","2404","0 - 4","11145","Male",2006
"143","2405","0 - 4","7665","Male",2006
"144","2406","0 - 4","48140","Male",2006
"145","2407","0 - 4","9290","Male",2006
"146","2408","0 - 4","3770","Male",2006
"147","2409","0 - 4","2525","Male",2006
"148","2410","0 - 4","425","Male",2006
"149","2411","0 - 4","1780","Male",2006
"150","2412","0 - 4","10165","Male",2006
"151","2413","0 - 4","9680","Male",2006
"152","2414","0 - 4","10720","Male",2006
"153","2415","0 - 4","13610","Male",2006
"154","2416","0 - 4","35635","Male",2006
"155","2417","0 - 4","680","Male",2006
"156","2418","0 - 4","960","Male",2006
"157","3526","0 - 4","2435","Male",2006
"158","3527","0 - 4","3505","Male",2006
"159","3530","0 - 4","16755","Male",2006
"160","3531","0 - 4","2605","Male",2006
"161","3533","0 - 4","3740","Male",2006
"162","3534","0 - 4","2850","Male",2006
"163","3535","0 - 4","3595","Male",2006
"164","3536","0 - 4","14290","Male",2006
"165","3537","0 - 4","13785","Male",2006
"166","3538","0 - 4","3750","Male",2006
"167","3539","0 - 4","1580","Male",2006
"168","3540","0 - 4","3025","Male",2006
"169","3541","0 - 4","4535","Male",2006
"170","3542","0 - 4","3190","Male",2006
"171","3543","0 - 4","3870","Male",2006
"172","3544","0 - 4","11460","Male",2006
"173","3546","0 - 4","10725","Male",2006
"174","3547","0 - 4","2720","Male",2006
"175","3549","0 - 4","2460","Male",2006
"176","3551","0 - 4","22515","Male",2006
"177","3552","0 - 4","3080","Male",2006
"178","3553","0 - 4","38820","Male",2006
"179","3554","0 - 4","2310","Male",2006
"180","3555","0 - 4","2950","Male",2006
"181","3556","0 - 4","2000","Male",2006
"182","3557","0 - 4","2550","Male",2006
"183","3558","0 - 4","4850","Male",2006
"184","3560","0 - 4","12850","Male",2006
"185","3561","0 - 4","4695","Male",2006
"186","3562","0 - 4","4120","Male",2006
"187","3563","0 - 4","705","Male",2006
"188","3565","0 - 4","15000","Male",2006
"189","3566","0 - 4","7665","Male",2006
"190","3568","0 - 4","11920","Male",2006
"191","3570","0 - 4","27055","Male",2006
"192","3595","0 - 4","69095","Male",2006
"193","4601","0 - 4","17700","Male",2006
"194","4602","0 - 4","4700","Male",2006
"195","4603","0 - 4","3340","Male",2006
"196","4604","0 - 4","3590","Male",2006
"197","4605","0 - 4","5860","Male",2006
"198","4701","0 - 4","1480","Male",2006
"199","4702","0 - 4","1375","Male",2006
"200","4703","0 - 4","1150","Male",2006
"201","4704","0 - 4","6810","Male",2006
"202","4705","0 - 4","1405","Male",2006
"203","4706","0 - 4","8265","Male",2006
"204","4707","0 - 4","1100","Male",2006
"205","4708","0 - 4","1195","Male",2006
"206","4709","0 - 4","2685","Male",2006
"207","4710","0 - 4","2515","Male",2006
"208","4711","0 - 4","1160","Male",2006
"209","4712","0 - 4","525","Male",2006
"210","4713","0 - 4","165","Male",2006
"211","4831","0 - 4","8395","Male",2006
"212","4832","0 - 4","37750","Male",2006
"213","4833","0 - 4","12980","Male",2006
"214","4834","0 - 4","30770","Male",2006
"215","4835","0 - 4","14015","Male",2006
"216","5911","0 - 4","1785","Male",2006
"217","5912","0 - 4","1715","Male",2006
"218","5913","0 - 4","6685","Male",2006
"219","5914","0 - 4","4785","Male",2006
"220","5921","0 - 4","8085","Male",2006
"221","5922","0 - 4","13980","Male",2006
"222","5923","0 - 4","18680","Male",2006
"223","5931","0 - 4","4025","Male",2006
"224","5932","0 - 4","13210","Male",2006
"225","5933","0 - 4","5905","Male",2006
"226","5941","0 - 4","7285","Male",2006
"227","5942","0 - 4","5245","Male",2006
"228","5943","0 - 4","2715","Male",2006
"229","5951","0 - 4","2260","Male",2006
"230","5952","0 - 4","4115","Male",2006
"231","5953","0 - 4","2350","Male",2006
"232","6001","0 - 4","880","Male",2006
"233","6101","0 - 4","1595","Male",2006
"234","6201","0 - 4","1755","Male",2006
"235","1011","5 - 9","7765","Male",2006
"236","1012","5 - 9","2355","Male",2006
"237","1013","5 - 9","1885","Male",2006
"238","1014","5 - 9","1210","Male",2006
"239","1100","5 - 9","4050","Male",2006
"240","1211","5 - 9","1385","Male",2006
"241","1212","5 - 9","1600","Male",2006
"242","1223","5 - 9","2350","Male",2006
"243","1234","5 - 9","2265","Male",2006
"244","1235","5 - 9","855","Male",2006
"245","1246","5 - 9","1255","Male",2006
"246","1247","5 - 9","1170","Male",2006
"247","1258","5 - 9","3260","Male",2006
"248","1269","5 - 9","10385","Male",2006
"249","1301","5 - 9","4955","Male",2006
"250","1302","5 - 9","4975","Male",2006
"251","1303","5 - 9","4955","Male",2006
"252","1304","5 - 9","1280","Male",2006
"253","1305","5 - 9","665","Male",2006
"254","1306","5 - 9","1905","Male",2006
"255","1307","5 - 9","1310","Male",2006
"256","2401","5 - 9","4755","Male",2006
"257","2402","5 - 9","7005","Male",2006
"258","2403","5 - 9","15120","Male",2006
"259","2404","5 - 9","12115","Male",2006
"260","2405","5 - 9","8380","Male",2006
"261","2406","5 - 9","47105","Male",2006
"262","2407","5 - 9","9770","Male",2006
"263","2408","5 - 9","4245","Male",2006
"264","2409","5 - 9","2755","Male",2006
"265","2410","5 - 9","460","Male",2006
"266","2411","5 - 9","2195","Male",2006
"267","2412","5 - 9","10685","Male",2006
"268","2413","5 - 9","10840","Male",2006
"269","2414","5 - 9","12530","Male",2006
"270","2415","5 - 9","15180","Male",2006
"271","2416","5 - 9","39165","Male",2006
"272","2417","5 - 9","685","Male",2006
"273","2418","5 - 9","800","Male",2006
"274","3526","5 - 9","2920","Male",2006
"275","3527","5 - 9","3910","Male",2006
"276","3530","5 - 9","19120","Male",2006
"277","3531","5 - 9","2875","Male",2006
"278","3533","5 - 9","4290","Male",2006
"279","3534","5 - 9","3170","Male",2006
"280","3535","5 - 9","4425","Male",2006
"281","3536","5 - 9","14595","Male",2006
"282","3537","5 - 9","15145","Male",2006
"283","3538","5 - 9","4230","Male",2006
"284","3539","5 - 9","1890","Male",2006
"285","3540","5 - 9","3265","Male",2006
"286","3541","5 - 9","4915","Male",2006
"287","3542","5 - 9","3420","Male",2006
"288","3543","5 - 9","4565","Male",2006
"289","3544","5 - 9","12325","Male",2006
"290","3546","5 - 9","11930","Male",2006
"291","3547","5 - 9","3240","Male",2006
"292","3549","5 - 9","2675","Male",2006
"293","3551","5 - 9","23460","Male",2006
"294","3552","5 - 9","3295","Male",2006
"295","3553","5 - 9","42005","Male",2006
"296","3554","5 - 9","2475","Male",2006
"297","3555","5 - 9","3290","Male",2006
"298","3556","5 - 9","2415","Male",2006
"299","3557","5 - 9","2795","Male",2006
"300","3558","5 - 9","5595","Male",2006
"301","3560","5 - 9","14725","Male",2006
"302","3561","5 - 9","5440","Male",2006
"303","3562","5 - 9","4650","Male",2006
"304","3563","5 - 9","995","Male",2006
"305","3565","5 - 9","15290","Male",2006
"306","3566","5 - 9","8535","Male",2006
"307","3568","5 - 9","12830","Male",2006
"308","3570","5 - 9","30050","Male",2006
"309","3595","5 - 9","68655","Male",2006
"310","4601","5 - 9","19300","Male",2006
"311","4602","5 - 9","4970","Male",2006
"312","4603","5 - 9","4075","Male",2006
"313","4604","5 - 9","3740","Male",2006
"314","4605","5 - 9","6270","Male",2006
"315","4701","5 - 9","1615","Male",2006
"316","4702","5 - 9","1450","Male",2006
"317","4703","5 - 9","1280","Male",2006
"318","4704","5 - 9","7260","Male",2006
"319","4705","5 - 9","1545","Male",2006
"320","4706","5 - 9","8955","Male",2006
"321","4707","5 - 9","1230","Male",2006
"322","4708","5 - 9","1325","Male",2006
"323","4709","5 - 9","2760","Male",2006
"324","4710","5 - 9","2585","Male",2006
"325","4711","5 - 9","1150","Male",2006
"326","4712","5 - 9","590","Male",2006
"327","4713","5 - 9","160","Male",2006
"328","4831","5 - 9","8655","Male",2006
"329","4832","5 - 9","37205","Male",2006
"330","4833","5 - 9","13575","Male",2006
"331","4834","5 - 9","31170","Male",2006
"332","4835","5 - 9","14145","Male",2006
"333","5911","5 - 9","2085","Male",2006
"334","5912","5 - 9","1990","Male",2006
"335","5913","5 - 9","7990","Male",2006
"336","5914","5 - 9","5380","Male",2006
"337","5921","5 - 9","8470","Male",2006
"338","5922","5 - 9","15160","Male",2006
"339","5923","5 - 9","20745","Male",2006
"340","5931","5 - 9","4500","Male",2006
"341","5932","5 - 9","12515","Male",2006
"342","5933","5 - 9","7090","Male",2006
"343","5941","5 - 9","7770","Male",2006
"344","5942","5 - 9","6185","Male",2006
"345","5943","5 - 9","3105","Male",2006
"346","5951","5 - 9","2660","Male",2006
"347","5952","5 - 9","4585","Male",2006
"348","5953","5 - 9","2315","Male",2006
"349","6001","5 - 9","940","Male",2006
"350","6101","5 - 9","1560","Male",2006
"351","6201","5 - 9","1690","Male",2006
"352","1011","10 - 14","8600","Male",2006
"353","1012","10 - 14","2675","Male",2006
"354","1013","10 - 14","2440","Male",2006
"355","1014","10 - 14","1360","Male",2006
"356","1100","10 - 14","4835","Male",2006
"357","1211","10 - 14","1725","Male",2006
"358","1212","10 - 14","1940","Male",2006
"359","1223","10 - 14","2650","Male",2006
"360","1234","10 - 14","2540","Male",2006
"361","1235","10 - 14","955","Male",2006
"362","1246","10 - 14","1440","Male",2006
"363","1247","10 - 14","1390","Male",2006
"364","1258","10 - 14","4065","Male",2006
"365","1269","10 - 14","11975","Male",2006
"366","1301","10 - 14","5615","Male",2006
"367","1302","10 - 14","5955","Male",2006
"368","1303","10 - 14","5435","Male",2006
"369","1304","10 - 14","1465","Male",2006
"370","1305","10 - 14","845","Male",2006
"371","1306","10 - 14","2270","Male",2006
"372","1307","10 - 14","1410","Male",2006
"373","2401","10 - 14","5895","Male",2006
"374","2402","10 - 14","8680","Male",2006
"375","2403","10 - 14","18565","Male",2006
"376","2404","10 - 14","15135","Male",2006
"377","2405","10 - 14","9630","Male",2006
"378","2406","10 - 14","50765","Male",2006
"379","2407","10 - 14","12080","Male",2006
"380","2408","10 - 14","5230","Male",2006
"381","2409","10 - 14","3345","Male",2006
"382","2410","10 - 14","555","Male",2006
"383","2411","10 - 14","2825","Male",2006
"384","2412","10 - 14","12685","Male",2006
"385","2413","10 - 14","12805","Male",2006
"386","2414","10 - 14","16440","Male",2006
"387","2415","10 - 14","18995","Male",2006
"388","2416","10 - 14","48385","Male",2006
"389","2417","10 - 14","630","Male",2006
"390","2418","10 - 14","780","Male",2006
"391","3526","10 - 14","3760","Male",2006
"392","3527","10 - 14","4350","Male",2006
"393","3530","10 - 14","23085","Male",2006
"394","3531","10 - 14","3110","Male",2006
"395","3533","10 - 14","5275","Male",2006
"396","3534","10 - 14","3935","Male",2006
"397","3535","10 - 14","5730","Male",2006
"398","3536","10 - 14","16165","Male",2006
"399","3537","10 - 14","17225","Male",2006
"400","3538","10 - 14","5385","Male",2006
"401","3539","10 - 14","2125","Male",2006
"402","3540","10 - 14","3705","Male",2006
"403","3541","10 - 14","5920","Male",2006
"404","3542","10 - 14","4380","Male",2006
"405","3543","10 - 14","5820","Male",2006
"406","3544","10 - 14","14835","Male",2006
"407","3546","10 - 14","14095","Male",2006
"408","3547","10 - 14","3975","Male",2006
"409","3549","10 - 14","3090","Male",2006
"410","3551","10 - 14","26650","Male",2006
"411","3552","10 - 14","3800","Male",2006
"412","3553","10 - 14","45575","Male",2006
"413","3554","10 - 14","2745","Male",2006
"414","3555","10 - 14","4150","Male",2006
"415","3556","10 - 14","2785","Male",2006
"416","3557","10 - 14","3340","Male",2006
"417","3558","10 - 14","7155","Male",2006
"418","3560","10 - 14","18000","Male",2006
"419","3561","10 - 14","6470","Male",2006
"420","3562","10 - 14","5570","Male",2006
"421","3563","10 - 14","1160","Male",2006
"422","3565","10 - 14","16775","Male",2006
"423","3566","10 - 14","9535","Male",2006
"424","3568","10 - 14","13790","Male",2006
"425","3570","10 - 14","34205","Male",2006
"426","3595","10 - 14","72755","Male",2006
"427","4601","10 - 14","21355","Male",2006
"428","4602","10 - 14","5600","Male",2006
"429","4603","10 - 14","4960","Male",2006
"430","4604","10 - 14","3815","Male",2006
"431","4605","10 - 14","7055","Male",2006
"432","4701","10 - 14","1925","Male",2006
"433","4702","10 - 14","1780","Male",2006
"434","4703","10 - 14","1450","Male",2006
"435","4704","10 - 14","8385","Male",2006
"436","4705","10 - 14","1755","Male",2006
"437","4706","10 - 14","9985","Male",2006
"438","4707","10 - 14","1475","Male",2006
"439","4708","10 - 14","1535","Male",2006
"440","4709","10 - 14","3110","Male",2006
"441","4710","10 - 14","2825","Male",2006
"442","4711","10 - 14","1220","Male",2006
"443","4712","10 - 14","665","Male",2006
"444","4713","10 - 14","195","Male",2006
"445","4831","10 - 14","9555","Male",2006
"446","4832","10 - 14","40320","Male",2006
"447","4833","10 - 14","15400","Male",2006
"448","4834","10 - 14","34435","Male",2006
"449","4835","10 - 14","15470","Male",2006
"450","5911","10 - 14","2405","Male",2006
"451","5912","10 - 14","2480","Male",2006
"452","5913","10 - 14","9755","Male",2006
"453","5914","10 - 14","6715","Male",2006
"454","5921","10 - 14","9710","Male",2006
"455","5922","10 - 14","17930","Male",2006
"456","5923","10 - 14","23415","Male",2006
"457","5931","10 - 14","5415","Male",2006
"458","5932","10 - 14","13500","Male",2006
"459","5933","10 - 14","8730","Male",2006
"460","5941","10 - 14","9345","Male",2006
"461","5942","10 - 14","7870","Male",2006
"462","5943","10 - 14","3745","Male",2006
"463","5951","10 - 14","3090","Male",2006
"464","5952","10 - 14","5325","Male",2006
"465","5953","10 - 14","2470","Male",2006
"466","6001","10 - 14","1075","Male",2006
"467","6101","10 - 14","1855","Male",2006
"468","6201","10 - 14","1665","Male",2006
"469","1011","15 - 19","9940","Male",2006
"470","1012","15 - 19","3130","Male",2006
"471","1013","15 - 19","2765","Male",2006
"472","1014","15 - 19","1430","Male",2006
"473","1100","15 - 19","4980","Male",2006
"474","1211","15 - 19","1875","Male",2006
"475","1212","15 - 19","2015","Male",2006
"476","1223","15 - 19","2765","Male",2006
"477","1234","15 - 19","2575","Male",2006
"478","1235","15 - 19","1050","Male",2006
"479","1246","15 - 19","1580","Male",2006
"480","1247","15 - 19","1690","Male",2006
"481","1258","15 - 19","4610","Male",2006
"482","1269","15 - 19","13055","Male",2006
"483","1301","15 - 19","6130","Male",2006
"484","1302","15 - 19","6160","Male",2006
"485","1303","15 - 19","5445","Male",2006
"486","1304","15 - 19","1715","Male",2006
"487","1305","15 - 19","910","Male",2006
"488","1306","15 - 19","2495","Male",2006
"489","1307","15 - 19","1560","Male",2006
"490","2401","15 - 19","6700","Male",2006
"491","2402","15 - 19","9415","Male",2006
"492","2403","15 - 19","18855","Male",2006
"493","2404","15 - 19","15560","Male",2006
"494","2405","15 - 19","9770","Male",2006
"495","2406","15 - 19","51375","Male",2006
"496","2407","15 - 19","11950","Male",2006
"497","2408","15 - 19","5265","Male",2006
"498","2409","15 - 19","3275","Male",2006
"499","2410","15 - 19","575","Male",2006
"500","2411","15 - 19","2900","Male",2006
"501","2412","15 - 19","13145","Male",2006
"502","2413","15 - 19","12260","Male",2006
"503","2414","15 - 19","15655","Male",2006
"504","2415","15 - 19","17535","Male",2006
"505","2416","15 - 19","46505","Male",2006
"506","2417","15 - 19","605","Male",2006
"507","2418","15 - 19","660","Male",2006
"508","3526","15 - 19","4090","Male",2006
"509","3527","15 - 19","4420","Male",2006
"510","3530","15 - 19","22175","Male",2006
"511","3531","15 - 19","3225","Male",2006
"512","3533","15 - 19","5820","Male",2006
"513","3534","15 - 19","4160","Male",2006
"514","3535","15 - 19","6115","Male",2006
"515","3536","15 - 19","15115","Male",2006
"516","3537","15 - 19","17805","Male",2006
"517","3538","15 - 19","5630","Male",2006
"518","3539","15 - 19","2205","Male",2006
"519","3540","15 - 19","3965","Male",2006
"520","3541","15 - 19","6255","Male",2006
"521","3542","15 - 19","4695","Male",2006
"522","3543","15 - 19","5895","Male",2006
"523","3544","15 - 19","15050","Male",2006
"524","3546","15 - 19","15105","Male",2006
"525","3547","15 - 19","4425","Male",2006
"526","3549","15 - 19","3145","Male",2006
"527","3551","15 - 19","27650","Male",2006
"528","3552","15 - 19","3690","Male",2006
"529","3553","15 - 19","43580","Male",2006
"530","3554","15 - 19","2790","Male",2006
"531","3555","15 - 19","4750","Male",2006
"532","3556","15 - 19","2975","Male",2006
"533","3557","15 - 19","3380","Male",2006
"534","3558","15 - 19","7190","Male",2006
"535","3560","15 - 19","17405","Male",2006
"536","3561","15 - 19","6535","Male",2006
"537","3562","15 - 19","5765","Male",2006
"538","3563","15 - 19","1210","Male",2006
"539","3565","15 - 19","17380","Male",2006
"540","3566","15 - 19","9455","Male",2006
"541","3568","15 - 19","13975","Male",2006
"542","3570","15 - 19","34915","Male",2006
"543","3595","15 - 19","74975","Male",2006
"544","4601","15 - 19","22040","Male",2006
"545","4602","15 - 19","5905","Male",2006
"546","4603","15 - 19","4630","Male",2006
"547","4604","15 - 19","3375","Male",2006
"548","4605","15 - 19","6720","Male",2006
"549","4701","15 - 19","1935","Male",2006
"550","4702","15 - 19","2125","Male",2006
"551","4703","15 - 19","1520","Male",2006
"552","4704","15 - 19","9305","Male",2006
"553","4705","15 - 19","1860","Male",2006
"554","4706","15 - 19","11155","Male",2006
"555","4707","15 - 19","1725","Male",2006
"556","4708","15 - 19","1595","Male",2006
"557","4709","15 - 19","3250","Male",2006
"558","4710","15 - 19","2935","Male",2006
"559","4711","15 - 19","1085","Male",2006
"560","4712","15 - 19","650","Male",2006
"561","4713","15 - 19","195","Male",2006
"562","4831","15 - 19","10115","Male",2006
"563","4832","15 - 19","42580","Male",2006
"564","4833","15 - 19","16415","Male",2006
"565","4834","15 - 19","37915","Male",2006
"566","4835","15 - 19","15320","Male",2006
"567","5911","15 - 19","2645","Male",2006
"568","5912","15 - 19","2580","Male",2006
"569","5913","15 - 19","10825","Male",2006
"570","5914","15 - 19","7265","Male",2006
"571","5921","15 - 19","9570","Male",2006
"572","5922","15 - 19","19300","Male",2006
"573","5923","15 - 19","22965","Male",2006
"574","5931","15 - 19","6145","Male",2006
"575","5932","15 - 19","15605","Male",2006
"576","5933","15 - 19","9015","Male",2006
"577","5941","15 - 19","10300","Male",2006
"578","5942","15 - 19","8375","Male",2006
"579","5943","15 - 19","4165","Male",2006
"580","5951","15 - 19","3100","Male",2006
"581","5952","15 - 19","5575","Male",2006
"582","5953","15 - 19","2510","Male",2006
"583","6001","15 - 19","1230","Male",2006
"584","6101","15 - 19","1800","Male",2006
"585","6201","15 - 19","1640","Male",2006
"586","1011","20 - 24","9800","Male",2006
"587","1012","20 - 24","2265","Male",2006
"588","1013","20 - 24","2080","Male",2006
"589","1014","20 - 24","1170","Male",2006
"590","1100","20 - 24","4165","Male",2006
"591","1211","20 - 24","1345","Male",2006
"592","1212","20 - 24","1500","Male",2006
"593","1223","20 - 24","2185","Male",2006
"594","1234","20 - 24","1930","Male",2006
"595","1235","20 - 24","780","Male",2006
"596","1246","20 - 24","1230","Male",2006
"597","1247","20 - 24","1285","Male",2006
"598","1258","20 - 24","3585","Male",2006
"599","1269","20 - 24","14185","Male",2006
"600","1301","20 - 24","6205","Male",2006
"601","1302","20 - 24","4895","Male",2006
"602","1303","20 - 24","5630","Male",2006
"603","1304","20 - 24","1470","Male",2006
"604","1305","20 - 24","650","Male",2006
"605","1306","20 - 24","2105","Male",2006
"606","1307","20 - 24","1345","Male",2006
"607","2401","20 - 24","5830","Male",2006
"608","2402","20 - 24","8855","Male",2006
"609","2403","20 - 24","22005","Male",2006
"610","2404","20 - 24","14730","Male",2006
"611","2405","20 - 24","10005","Male",2006
"612","2406","20 - 24","65155","Male",2006
"613","2407","20 - 24","10530","Male",2006
"614","2408","20 - 24","4390","Male",2006
"615","2409","20 - 24","2870","Male",2006
"616","2410","20 - 24","460","Male",2006
"617","2411","20 - 24","2325","Male",2006
"618","2412","20 - 24","12555","Male",2006
"619","2413","20 - 24","11205","Male",2006
"620","2414","20 - 24","12140","Male",2006
"621","2415","20 - 24","13710","Male",2006
"622","2416","20 - 24","40255","Male",2006
"623","2417","20 - 24","460","Male",2006
"624","2418","20 - 24","575","Male",2006
"625","3526","20 - 24","3305","Male",2006
"626","3527","20 - 24","3985","Male",2006
"627","3530","20 - 24","17915","Male",2006
"628","3531","20 - 24","2575","Male",2006
"629","3533","20 - 24","4715","Male",2006
"630","3534","20 - 24","3335","Male",2006
"631","3535","20 - 24","4515","Male",2006
"632","3536","20 - 24","12610","Male",2006
"633","3537","20 - 24","17335","Male",2006
"634","3538","20 - 24","4400","Male",2006
"635","3539","20 - 24","1745","Male",2006
"636","3540","20 - 24","3525","Male",2006
"637","3541","20 - 24","6275","Male",2006
"638","3542","20 - 24","4070","Male",2006
"639","3543","20 - 24","4130","Male",2006
"640","3544","20 - 24","15825","Male",2006
"641","3546","20 - 24","13425","Male",2006
"642","3547","20 - 24","3640","Male",2006
"643","3549","20 - 24","2305","Male",2006
"644","3551","20 - 24","29140","Male",2006
"645","3552","20 - 24","3230","Male",2006
"646","3553","20 - 24","39730","Male",2006
"647","3554","20 - 24","2435","Male",2006
"648","3555","20 - 24","4675","Male",2006
"649","3556","20 - 24","2345","Male",2006
"650","3557","20 - 24","3035","Male",2006
"651","3558","20 - 24","5035","Male",2006
"652","3560","20 - 24","14225","Male",2006
"653","3561","20 - 24","5955","Male",2006
"654","3562","20 - 24","5105","Male",2006
"655","3563","20 - 24","890","Male",2006
"656","3565","20 - 24","18130","Male",2006
"657","3566","20 - 24","8695","Male",2006
"658","3568","20 - 24","13175","Male",2006
"659","3570","20 - 24","30370","Male",2006
"660","3595","20 - 24","84465","Male",2006
"661","4601","20 - 24","23480","Male",2006
"662","4602","20 - 24","4765","Male",2006
"663","4603","20 - 24","3175","Male",2006
"664","4604","20 - 24","2530","Male",2006
"665","4605","20 - 24","5025","Male",2006
"666","4701","20 - 24","1560","Male",2006
"667","4702","20 - 24","1600","Male",2006
"668","4703","20 - 24","1175","Male",2006
"669","4704","20 - 24","8900","Male",2006
"670","4705","20 - 24","1300","Male",2006
"671","4706","20 - 24","11495","Male",2006
"672","4707","20 - 24","1180","Male",2006
"673","4708","20 - 24","1110","Male",2006
"674","4709","20 - 24","2195","Male",2006
"675","4710","20 - 24","2465","Male",2006
"676","4711","20 - 24","740","Male",2006
"677","4712","20 - 24","435","Male",2006
"678","4713","20 - 24","165","Male",2006
"679","4831","20 - 24","10065","Male",2006
