"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"1","1011","Total","141740","Male",2006
"2","1012","Total","46385","Male",2006
"3","1013","Total","38275","Male",2006
"4","1014","Total","18685","Male",2006
"5","1100","Total","65610","Male",2006
"6","1211","Total","28530","Male",2006
"7","1212","Total","29425","Male",2006
"8","1223","Total","39485","Male",2006
"9","1234","Total","35395","Male",2006
"10","1235","Total","15510","Male",2006
"11","1246","Total","22345","Male",2006
"12","1247","Total","21755","Male",2006
"13","1258","Total","59395","Male",2006
"14","1269","Total","188400","Male",2006
"15","1301","Total","93400","Male",2006
"16","1302","Total","81710","Male",2006
"17","1303","Total","81000","Male",2006
"18","1304","Total","24470","Male",2006
"19","1305","Total","13355","Male",2006
"20","1306","Total","38750","Male",2006
"21","1307","Total","22590","Male",2006
"22","2401","Total","98435","Male",2006
"23","2402","Total","134760","Male",2006
"24","2403","Total","317565","Male",2006
"25","2404","Total","236470","Male",2006
"26","2405","Total","146095","Male",2006
"27","2406","Total","892490","Male",2006
"28","2407","Total","167285","Male",2006
"29","2408","Total","71790","Male",2006
"30","2409","Total","48410","Male",2006
"31","2410","Total","7720","Male",2006
"32","2411","Total","46145","Male",2006
"33","2412","Total","195635","Male",2006
"34","2413","Total","179215","Male",2006
"35","2414","Total","212670","Male",2006
"36","2415","Total","252395","Male",2006
"37","2416","Total","665410","Male",2006
"38","2417","Total","5485","Male",2006
"39","2418","Total","7175","Male",2006
"40","3526","Total","56570","Male",2006
"41","3527","Total","60475","Male",2006
"42","3530","Total","274535","Male",2006
"43","3531","Total","42010","Male",2006
"44","3533","Total","77880","Male",2006
"45","3534","Total","53480","Male",2006
"46","3535","Total","84245","Male",2006
"47","3536","Total","213650","Male",2006
"48","3537","Total","245685","Male",2006
"49","3538","Total","76235","Male",2006
"50","3539","Total","29260","Male",2006
"51","3540","Total","52855","Male",2006
"52","3541","Total","90005","Male",2006
"53","3542","Total","62105","Male",2006
"54","3543","Total","79575","Male",2006
"55","3544","Total","204665","Male",2006
"56","3546","Total","206850","Male",2006
"57","3547","Total","60095","Male",2006
"58","3549","Total","38755","Male",2006
"59","3551","Total","393000","Male",2006
"60","3552","Total","50460","Male",2006
"61","3553","Total","570395","Male",2006
"62","3554","Total","36450","Male",2006
"63","3555","Total","63760","Male",2006
"64","3556","Total","39905","Male",2006
"65","3557","Total","48880","Male",2006
"66","3558","Total","93595","Male",2006
"67","3560","Total","236065","Male",2006
"68","3561","Total","93985","Male",2006
"69","3562","Total","79310","Male",2006
"70","3563","Total","16700","Male",2006
"71","3565","Total","235540","Male",2006
"72","3566","Total","125715","Male",2006
"73","3568","Total","193925","Male",2006
"74","3570","Total","437335","Male",2006
"75","3595","Total","1205370","Male",2006
"76","4601","Total","313150","Male",2006
"77","4602","Total","77225","Male",2006
"78","4603","Total","59990","Male",2006
"79","4604","Total","35835","Male",2006
"80","4605","Total","78840","Male",2006
"81","4701","Total","26010","Male",2006
"82","4702","Total","26240","Male",2006
"83","4703","Total","20540","Male",2006
"84","4704","Total","116510","Male",2006
"85","4705","Total","26895","Male",2006
"86","4706","Total","139730","Male",2006
"87","4707","Total","20765","Male",2006
"88","4708","Total","20905","Male",2006
"89","4709","Total","37065","Male",2006
"90","4710","Total","33275","Male",2006
"91","4711","Total","10170","Male",2006
"92","4712","Total","5560","Male",2006
"93","4713","Total","1755","Male",2006
"94","4831","Total","128815","Male",2006
"95","4832","Total","603375","Male",2006
"96","4833","Total","205095","Male",2006
"97","4834","Total","516450","Male",2006
"98","4835","Total","194745","Male",2006
"99","5911","Total","37455","Male",2006
"100","5912","Total","38190","Male",2006
"101","5913","Total","153545","Male",2006
"102","5914","Total","100605","Male",2006
"103","5921","Total","125765","Male",2006
"104","5922","Total","265375","Male",2006
"105","5923","Total","307905","Male",2006
"106","5931","Total","83690","Male",2006
