"","Employment.census_id","Employment.Nom","Employment.Den","Employment.Year"
"1",1,17230040,18672470,2016
"2",10,216705,256850,2016
"3",11,68115,77680,2016
"4",12,427315,474595,2016
"5",13,339045,381795,2016
"6",24,3949330,4255495,2016
"7",35,6612150,7141675,2016
"8",46,617465,662150,2016
"9",47,544095,585535,2016
"10",48,2096110,2302940,2016
"11",59,2305690,2471670,2016
"12",60,19790,21800,2016
"13",61,21415,23945,2016
"14",62,12825,16335,2016
