"","Household_type.census_id","Household_type.Nom","Household_type.Den","Household_type.Year"
"1",1,9519945,14072080,2016
"2",10,157515,218675,2016
"3",11,40960,59475,2016
"4",12,265570,401990,2016
"5",13,218515,319775,2016
"6",24,2226935,3531665,2016
"7",35,3627505,5169175,2016
"8",46,334240,489050,2016
"9",47,293650,432620,2016
"10",48,1076110,1527675,2016
"11",59,1251355,1881970,2016
"12",60,9590,15215,2016
"13",61,10495,14980,2016
"14",62,7495,9820,2016
