"","ca.pop.values.census_id","ca.pop.values.Total_population","ca.pop.values.Year"
"1",1,33476685,2011
"2",10,514540,2011
"3",11,140205,2011
"4",12,921730,2011
"5",13,751170,2011
"6",24,7903000,2011
"7",35,12851820,2011
"8",46,1208265,2011
"9",47,1033380,2011
"10",48,3645260,2011
"11",59,4400060,2011
"12",60,33900,2011
"13",61,41465,2011
"14",62,31905,2011
