"","Edu_lowerthanhigh.HR_code","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1011,44715,213325,2011
"2",1012,23290,62740,2011
"3",1013,19745,59875,2011
"4",1014,7680,24050,2011
"5",1100,19190,90750,2011
"6",1211,13755,49750,2011
"7",1212,15465,44400,2011
"8",1223,16850,66610,2011
"9",1234,14640,57820,2011
"10",1235,3270,12540,2011
"11",1246,8940,35105,2011
"12",1247,8280,32540,2011
"13",1258,25950,100105,2011
"14",1269,56320,340650,2011
"15",1301,36345,159795,2011
"16",1302,27665,130315,2011
"17",1303,23925,126040,2011
"18",1304,7545,27295,2011
"19",1305,7085,21110,2011
"20",1306,18675,54105,2011
"21",1307,9220,32295,2011
"22",2401,40250,152440,2011
"23",2402,50465,224345,2011
"24",2403,95100,580755,2011
"25",2404,101375,397300,2011
"26",2405,59765,247360,2011
"27",2406,294620,1557050,2011
"28",2407,63195,282290,2011
"29",2408,31710,105665,2011
"30",2409,20830,66175,2011
"31",2410,3220,10160,2011
"32",2411,25920,73780,2011
"33",2412,81170,330520,2011
"34",2413,66315,323470,2011
"35",2414,94495,373725,2011
"36",2415,102585,437000,2011
"37",2416,248240,1151650,2011
"38",2417,4765,7895,2011
"39",2418,6080,10910,2011
"40",3526,19165,86700,2011
"41",3527,24750,104590,2011
"42",3530,83450,488660,2011
"43",3531,17805,69220,2011
"44",3533,28720,131195,2011
"45",3534,21245,88180,2011
"46",3535,28620,137150,2011
"47",3536,50995,396540,2011
"48",3537,92385,424055,2011
"49",3538,28755,125575,2011
"50",3539,12585,47830,2011
"51",3540,22135,84415,2011
"52",3541,24965,148860,2011
"53",3542,19385,103785,2011
"54",3543,22610,116140,2011
"55",3544,63275,358755,2011
"56",3546,72795,356410,2011
"57",3547,19600,89065,2011
"58",3549,16610,58245,2011
"59",3551,92930,718955,2011
"60",3552,21090,84835,2011
"61",3553,177290,1034075,2011
"62",3554,15530,59815,2011
"63",3555,18290,95100,2011
"64",3556,21065,68240,2011
"65",3557,14195,69010,2011
"66",3558,37595,160235,2011
"67",3560,78285,390045,2011
"68",3561,33160,151305,2011
"69",3562,27865,121625,2011
"70",3563,5220,19050,2011
"71",3565,82015,406695,2011
"72",3566,40730,207720,2011
"73",3568,63980,312715,2011
"74",3570,138520,832055,2011
"75",3595,380965,2175830,2011
"76",4601,108670,550410,2011
"77",4602,36205,126075,2011
"78",4603,22490,77390,2011
"79",4604,23755,48085,2011
"80",4605,41175,127555,2011
"81",4701,11790,43900,2011
"82",4702,11255,44395,2011
"83",4703,5325,21995,2011
"84",4704,42055,206945,2011
"85",4705,13795,45125,2011
"86",4706,48900,252740,2011
"87",4707,8915,32275,2011
"88",4708,10885,33555,2011
"89",4709,17335,58180,2011
"90",4710,16955,53705,2011
"91",4711,7835,15245,2011
"92",4712,4500,7510,2011
"93",4713,1095,1470,2011
"94",4831,47960,209805,2011
"95",4832,166630,1090025,2011
"96",4833,83470,337985,2011
"97",4834,162690,935775,2011
"98",4835,88100,320640,2011
"99",5911,9505,47695,2011
"100",5912,12210,66435,2011
"101",5913,51745,286400,2011
"102",5914,37630,179180,2011
"103",5921,47525,219460,2011
"104",5922,67140,501840,2011
"105",5923,102975,578300,2011
"106",5931,22995,162045,2011
"107",5932,73080,530530,2011
"108",5933,25220,226030,2011
"109",5941,38600,303680,2011
"110",5942,39680,216650,2011
"111",5943,18630,95020,2011
"112",5951,13700,52220,2011
"113",5952,27450,113490,2011
"114",5953,13350,50770,2011
"115",6001,4105,23070,2011
"116",6101,9860,31725,2011
"117",6201,10200,18635,2011
