"","Lowincome_LIM_total.census_id","Lowincome_LIM_total.Nom","Lowincome_LIM_total.Den","Lowincome_LIM_total.Year"
"1",1,4812120,32386170,2011
"2",10,90245,504110,2011
"3",11,21570,136875,2011
"4",12,156245,896640,2011
"5",13,124885,727865,2011
"6",24,1284595,7691755,2011
"7",35,1745900,12600230,2011
"8",46,181945,1111380,2011
"9",47,133060,952135,2011
"10",48,376820,3519390,2011
"11",59,696855,4245795,2011
"12",60,0,0,2011
"13",61,0,0,2011
"14",62,0,0,2011
