"","ca.pop.values.census_id","ca.pop.values.Total_population","ca.pop.values.Year"
"1",1,35151730,2016
"2",10,519715,2016
"3",11,142905,2016
"4",12,923595,2016
"5",13,747100,2016
"6",24,8164365,2016
"7",35,13448495,2016
"8",46,1278365,2016
"9",47,1098355,2016
"10",48,4067175,2016
"11",59,4648055,2016
"12",60,35875,2016
"13",61,41785,2016
"14",62,35945,2016
