"","Edu_lowerthanhigh.census_id","Edu_lowerthanhigh.Nom","Edu_lowerthanhigh.Den","Edu_lowerthanhigh.Year"
"1",1,5485395,27259525,2011
"2",10,120640,431045,2011
"3",11,24860,114200,2011
"4",12,171510,768060,2011
"5",13,154890,622435,2011
"6",24,1436025,6474590,2011
"7",35,1954520,10473665,2011
"8",46,237610,946945,2011
"9",47,200425,812505,2011
"10",48,550465,2888735,2011
"11",59,607660,3646840,2011
"12",60,5040,27495,2011
"13",61,9865,31755,2011
"14",62,11890,21255,2011
