"","Employment.census_id","Employment.Nom","Employment.Den","Employment.Year"
"1",1,16595030,17990080,2011
"2",10,218625,255890,2011
"3",11,68635,78055,2011
"4",12,435895,484585,2011
"5",13,351935,395420,2011
"6",24,3880420,4183445,2011
"7",35,6297000,6864985,2011
"8",46,597290,636840,2011
"9",47,529100,562305,2011
"10",48,1993225,2115640,2011
"11",59,2171470,2354250,2011
"12",60,19160,21250,2011
"13",61,21200,23930,2011
"14",62,11070,13485,2011
