"","Lowincome_LIM_0_17.census_id","Lowincome_LIM_0_17.Nom","Lowincome_LIM_0_17.Den","Lowincome_LIM_0_17.Year"
"1",1,1162780,6726315,2011
"2",10,20820,92610,2011
"3",11,5190,28885,2011
"4",12,35250,168555,2011
"5",13,29175,138175,2011
"6",24,250330,1531220,2011
"7",35,463950,2674650,2011
"8",46,55250,252425,2011
"9",47,38035,214220,2011
"10",48,107535,802170,2011
"11",59,157245,823410,2011
"12",60,0,0,2011
"13",61,0,0,2011
"14",62,0,0,2011
